# Saved on 2025-07-12T13:19:02.121267
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE39
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0008
#   num_level: 1
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.6
#   v_rst: -0.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_800.00 uS
1.4400000000e-04,7.8179597040e-04
1.0001440000e+00,7.8573793871e-04
2.0001440000e+00,7.8705328633e-04
3.0001440000e+00,7.8735523857e-04
4.0001440000e+00,7.8639095591e-04
5.0001440000e+00,7.8715464042e-04
6.0001440000e+00,7.8690092778e-04
7.0001440000e+00,7.8568213212e-04
8.0001440000e+00,7.8622630099e-04
9.0001440000e+00,7.8631412180e-04
1.0000144000e+01,7.8564669820e-04
1.1000144000e+01,7.8590128396e-04
1.2000144000e+01,7.8653574747e-04
1.3000144000e+01,7.8641292930e-04
1.4000144000e+01,7.8621997091e-04
1.5000144000e+01,7.8493496403e-04
1.6000144000e+01,7.8493219917e-04
1.7000144000e+01,7.8574565123e-04
1.8000144000e+01,7.8597127867e-04
1.9000144000e+01,7.8342571214e-04
2.0000144000e+01,7.8370336269e-04
2.1000144000e+01,7.8423960076e-04
2.2000144000e+01,7.8468750871e-04
2.3000144000e+01,7.8464203398e-04
2.4000144000e+01,7.8450095316e-04
2.5000144000e+01,7.8477169154e-04
2.6000144000e+01,7.8435346950e-04
2.7000144000e+01,7.8516604844e-04
2.8000144000e+01,7.8361117630e-04
2.9000144000e+01,7.8488832514e-04
3.0000144000e+01,7.8315897554e-04
3.1000144000e+01,7.8379147453e-04
3.2000144000e+01,7.8388969996e-04
3.3000144000e+01,7.8542805568e-04
3.4000144000e+01,7.8480821685e-04
3.5000144000e+01,7.8353856225e-04
3.6000144000e+01,7.8417702753e-04
3.7000144000e+01,7.8527868027e-04
3.8000144000e+01,7.8397206380e-04
3.9000144000e+01,7.8420649515e-04
4.0000144000e+01,7.8483855759e-04
4.1000144000e+01,7.8323122580e-04
4.2000144000e+01,7.8392709838e-04
4.3000144000e+01,7.8317971202e-04
4.4000144000e+01,7.8343400673e-04
4.5000144000e+01,7.8453136666e-04
4.6000144000e+01,7.8498262155e-04
4.7000144000e+01,7.8418241173e-04
4.8000144000e+01,7.8328244854e-04
4.9000144000e+01,7.8228622442e-04
5.0000144000e+01,7.8454271716e-04
5.1000144000e+01,7.8460252553e-04
5.2000144000e+01,7.8315853898e-04
5.3000144000e+01,7.8533084888e-04
5.4000144000e+01,7.8356075392e-04
5.5000144000e+01,7.8425575339e-04
5.6000144000e+01,7.8448218119e-04
5.7000144000e+01,7.8404671513e-04
5.8000144000e+01,7.8596400272e-04
5.9000144000e+01,7.8471304732e-04
6.0000144000e+01,7.8542834672e-04
6.1000144000e+01,7.8486969869e-04
6.2000144000e+01,7.8521610703e-04
6.3000144000e+01,7.8453289461e-04
6.4000144000e+01,7.8431134170e-04
6.5000144000e+01,7.8466473497e-04
6.6000144000e+01,7.8696968558e-04
6.7000144000e+01,7.8558099631e-04
6.8000144000e+01,7.8467906860e-04
6.9000144000e+01,7.8714940173e-04
7.0000144000e+01,7.8376586316e-04
7.1000144000e+01,7.8535638750e-04
7.2000144000e+01,7.8494987974e-04
