# Saved on 2025-06-30T13:58:02.351813
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE10
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 10
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.0015
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
1.0000000000e+00,4.0680000000e-10
1.0000000000e+00,3.5693000000e-10
1.0000000000e+00,2.5302000000e-10
1.0000000000e+00,7.3900000000e-11
1.0000000000e+00,6.1351000000e-10
1.0000000000e+00,8.5570000000e-10
1.0000000000e+00,2.2674000000e-10
1.0000000000e+00,1.4470000000e-10
1.0000000000e+00,4.0650000000e-10
1.0000000000e+00,1.6080000000e-10
1.0000000000e+00,4.0070000000e-10
1.0000000000e+00,1.3330000000e-10
1.0000000000e+00,2.1813000000e-10
1.0000000000e+00,3.9380000000e-10
1.0000000000e+00,2.9550000000e-10
1.0000000000e+00,1.4130000000e-10
1.0000000000e+00,2.8740000000e-10
1.0000000000e+00,8.6400000000e-11
1.0000000000e+00,2.5630000000e-10
1.1000000000e+00,9.9950000000e-10
1.1000000000e+00,2.9500000000e-10
1.1000000000e+00,9.8750000000e-10
1.1000000000e+00,2.8790000000e-10
1.1000000000e+00,9.8030000000e-10
1.1000000000e+00,2.5500000000e-10
1.1000000000e+00,2.5950000000e-10
1.1000000000e+00,2.1240000000e-10
1.1000000000e+00,2.7850000000e-10
1.1000000000e+00,2.2780000000e-10
1.1000000000e+00,2.8550000000e-10
1.1000000000e+00,2.2270000000e-10
1.1000000000e+00,2.6840000000e-10
1.1000000000e+00,2.3190000000e-10
1.1000000000e+00,2.6660000000e-10
1.1000000000e+00,9.9150000000e-10
1.1000000000e+00,2.6640000000e-10
1.1000000000e+00,4.2360000000e-10
1.1000000000e+00,2.8450000000e-10
1.1000000000e+00,2.2930000000e-10
1.2000000000e+00,4.9620000000e-10
1.2000000000e+00,7.2320000000e-10
1.2000000000e+00,1.1000000000e-09
1.2000000000e+00,1.2242000000e-09
1.2000000000e+00,5.0230000000e-10
1.2000000000e+00,7.4030000000e-10
1.2000000000e+00,2.4620000000e-10
1.2000000000e+00,4.6010000000e-10
1.2000000000e+00,9.9580000000e-10
1.2000000000e+00,1.0061000000e-09
1.2000000000e+00,1.0687000000e-09
1.2000000000e+00,9.9170000000e-10
1.2000000000e+00,9.8550000000e-10
1.2000000000e+00,9.7400000000e-10
1.2000000000e+00,1.1231000000e-09
1.2000000000e+00,1.0342000000e-09
1.2000000000e+00,1.1112000000e-09
1.2000000000e+00,9.6700000000e-10
1.2000000000e+00,1.1139000000e-09
1.2000000000e+00,9.5440000000e-10
1.2000000000e+00,6.7510000000e-10
1.3000000000e+00,9.2710000000e-10
1.3000000000e+00,8.7260000000e-10
1.3000000000e+00,8.5700000000e-10
1.3000000000e+00,1.5586000000e-09
1.3000000000e+00,9.0760000000e-10
1.3000000000e+00,3.6060000000e-10
1.3000000000e+00,1.1120000000e-09
1.3000000000e+00,1.4594000000e-09
1.3000000000e+00,8.2750000000e-10
1.3000000000e+00,4.5600000000e-10
1.3000000000e+00,1.0765000000e-09
1.3000000000e+00,1.1626000000e-09
1.3000000000e+00,8.8430000000e-10
1.3000000000e+00,7.1830000000e-10
1.3000000000e+00,1.1698000000e-09
1.3000000000e+00,1.5765000000e-09
1.3000000000e+00,8.4670000000e-10
1.3000000000e+00,1.1350000000e-09
1.3000000000e+00,1.1643000000e-09
1.3000000000e+00,1.2850000000e-09
1.3000000000e+00,1.3953000000e-09
1.4000000000e+00,1.3693000000e-09
1.4000000000e+00,9.4560000000e-10
1.4000000000e+00,1.5046000000e-09
1.4000000000e+00,1.6386000000e-09
1.4000000000e+00,1.3819000000e-09
1.4000000000e+00,1.2422000000e-09
1.4000000000e+00,1.3882000000e-09
1.4000000000e+00,2.0889000000e-09
1.4000000000e+00,1.6100000000e-09
1.4000000000e+00,1.0473000000e-09
1.4000000000e+00,1.4934000000e-09
1.4000000000e+00,2.0123000000e-09
1.4000000000e+00,1.4630000000e-09
