# Saved on 2025-06-30T14:15:42.940490
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE10
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 10
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1.2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.0015
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.001
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -3.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A),Loop 6 (A),Loop 7 (A),Loop 8 (A),Loop 9 (A),Loop 10 (A)
0.0000000000e+00,3.3395000000e-08,6.3265000000e-08,1.1084000000e-08,2.1399000000e-08,6.4605000000e-08,3.8569000000e-08,4.6385000000e-08,3.2277000000e-08,6.5173000000e-08,3.5484000000e-08
-1.2000000000e-02,4.4098000000e-06,4.6238000000e-06,3.7736000000e-06,3.6417000000e-06,3.9221000000e-06,3.8248000000e-06,4.2513000000e-06,4.3439000000e-06,3.9484000000e-06,3.4928000000e-06
-2.4000000000e-02,9.1316000000e-06,9.6870000000e-06,7.5181000000e-06,7.1644000000e-06,7.7923000000e-06,8.1906000000e-06,8.9972000000e-06,8.5916000000e-06,7.7683000000e-06,7.2045000000e-06
-3.6000000000e-02,1.3368000000e-05,1.4480000000e-05,1.0930000000e-05,9.9360000000e-06,1.2018000000e-05,1.2016000000e-05,1.3284000000e-05,1.3534000000e-05,1.2148000000e-05,1.0592000000e-05
-4.8000000000e-02,1.8180000000e-05,1.9150000000e-05,1.4890000000e-05,1.3252000000e-05,1.6340000000e-05,1.6276000000e-05,1.8008000000e-05,1.7980000000e-05,1.6382000000e-05,1.4032000000e-05
-6.0000000000e-02,2.3038000000e-05,2.4394000000e-05,1.8734000000e-05,1.6622000000e-05,2.0626000000e-05,2.0378000000e-05,2.2766000000e-05,2.2834000000e-05,1.8624000000e-05,1.7952000000e-05
-7.2000000000e-02,2.7822000000e-05,2.9216000000e-05,2.2936000000e-05,2.0208000000e-05,2.5084000000e-05,2.4524000000e-05,2.7436000000e-05,2.7714000000e-05,2.2410000000e-05,2.2080000000e-05
-8.4000000000e-02,3.3498000000e-05,3.4292000000e-05,2.7022000000e-05,2.4078000000e-05,2.9728000000e-05,2.8884000000e-05,3.2376000000e-05,3.2540000000e-05,2.6524000000e-05,2.6530000000e-05
-9.6000000000e-02,3.8824000000e-05,4.0058000000e-05,3.1130000000e-05,2.7690000000e-05,3.4308000000e-05,3.3076000000e-05,3.5852000000e-05,3.7636000000e-05,3.0212000000e-05,3.0986000000e-05
-1.0800000000e-01,4.3010000000e-05,4.5502000000e-05,3.5738000000e-05,3.1904000000e-05,3.8904000000e-05,3.7784000000e-05,4.0846000000e-05,4.2978000000e-05,3.3992000000e-05,3.7200000000e-05
