Time (s),Voltage (V),Current (A)
0.05402,0.0,-3.66e-08
0.09837,-0.03,-0.0001204
0.10423,-0.06,-0.00023688
0.11011,-0.09,-0.00035528
0.11596,-0.12,-0.00047106
0.12181,-0.15,-0.00058792
0.12768,-0.18,-0.00071156
0.13354,-0.21,-0.00083004
0.1394,-0.24,-0.00094586
0.14527,-0.27,-0.0010659
0.1783,-0.3,-0.0011842
0.18416,-0.33,-0.0013012
0.19003,-0.36,-0.0014178
0.19588,-0.39,-0.0015374
0.20176,-0.42,-0.0016552
0.20764,-0.45,-0.0017754
0.2135,-0.48,-0.001895
0.21936,-0.51,-0.0020084
0.22523,-0.54,-0.0021258
0.23115,-0.57,-0.0022458
0.23705,-0.6,-0.0023624
0.24291,-0.63,-0.0024806
0.24876,-0.66,-0.0025996
0.25469,-0.69,-0.0027152
0.2603,-0.72,-0.0028334
0.26617,-0.75,-0.0029464
0.27203,-0.78,-0.0030668
0.27788,-0.81,-0.0031866
0.28373,-0.84,-0.003302
0.28959,-0.87,-0.0034186
0.29545,-0.9,-0.0035364
0.30132,-0.93,-0.0036542
0.30718,-0.96,-0.0037692
0.31309,-0.99,-0.0038886
0.31895,-1.02,-0.0040062
0.32481,-1.05,-0.0041222
0.33066,-1.08,-0.0042366
0.33652,-1.11,-0.0043532
0.34238,-1.14,-0.0044698
0.34825,-1.17,-0.004587
0.35417,-1.2,-0.0047016
0.36004,-1.23,-0.004818
0.36589,-1.26,-0.0049322
0.37176,-1.29,-0.0050454
0.37759,-1.32,-0.0051646
0.38345,-1.35,-0.0052806
0.3893,-1.38,-0.0053932
0.39516,-1.41,-0.0055108
0.40103,-1.44,-0.0056236
0.40689,-1.47,-0.005737
0.41277,-1.5,-0.0058534
0.41863,-1.53,-0.0059678
0.42449,-1.56,-0.0060866
0.43034,-1.59,-0.006198
0.4362,-1.62,-0.0063086
0.44208,-1.65,-0.006424
0.44792,-1.68,-0.0065382
0.45379,-1.71,-0.0066508
0.45966,-1.74,-0.0067632
0.46552,-1.77,-0.0068782
0.47147,-1.8,-0.0069878
0.47734,-1.83,-0.0071006
0.4832,-1.86,-0.007216
0.48906,-1.89,-0.0073284
0.49492,-1.92,-0.0074416
0.50086,-1.95,-0.0075526
0.50672,-1.98,-0.0076628
0.5126,-2.01,-0.0077764
0.51845,-2.04,-0.007888
0.52432,-2.07,-0.0080026
0.53017,-2.1,-0.0081152
0.53603,-2.13,-0.0082224
0.54191,-2.16,-0.0083344
0.54778,-2.19,-0.0084486
0.55363,-2.22,-0.0085574
0.55949,-2.25,-0.0086698
0.56535,-2.28,-0.0087826
0.57121,-2.31,-0.0088912
0.57708,-2.34,-0.0090012
0.58294,-2.37,-0.0091086
0.58879,-2.4,-0.0092232
0.59466,-2.43,-0.0093344
0.6005,-2.46,-0.0094446
0.60636,-2.49,-0.0095546
0.61224,-2.52,-0.0096656
0.61817,-2.55,-0.009776
0.62402,-2.58,-0.0098858
0.62989,-2.61,-0.0099992
0.63575,-2.64,-0.0101074
0.64162,-2.67,-0.0102152
0.64748,-2.7,-0.0103262
0.65332,-2.73,-0.0104358
0.65918,-2.76,-0.0105464
0.66504,-2.79,-0.0106568
0.67091,-2.82,-0.0107652
0.67676,-2.85,-0.010875
0.68263,-2.88,-0.0109818
0.68848,-2.91,-0.0110908
