Time (s),Voltage (V),Current (A)
0.06056,0.0,2.7712e-07
0.10793,-0.053,-0.00021914
0.11368,-0.106,-0.00043534
0.11943,-0.159,-0.0006576
0.12516,-0.212,-0.00087274
0.1309,-0.265,-0.00108826
0.16383,-0.318,-0.0013092
0.16958,-0.371,-0.001527
0.17533,-0.424,-0.0017458
0.18107,-0.477,-0.0019614
0.18682,-0.53,-0.0021794
0.19262,-0.583,-0.0023984
0.19836,-0.636,-0.0026142
0.20411,-0.689,-0.0028354
0.20992,-0.742,-0.0030508
0.21564,-0.795,-0.0032672
0.22145,-0.848,-0.0034818
0.22718,-0.901,-0.0036958
0.23293,-0.954,-0.0039152
0.23867,-1.007,-0.00413
0.24441,-1.06,-0.0043446
0.25022,-1.113,-0.0045596
0.25596,-1.166,-0.0047744
0.26172,-1.219,-0.0049884
0.26745,-1.272,-0.0052014
0.2732,-1.325,-0.0054178
0.27895,-1.378,-0.0056274
0.28469,-1.431,-0.0058382
0.29043,-1.484,-0.0060494
0.29617,-1.537,-0.0062622
0.30192,-1.59,-0.006479
0.3077,-1.643,-0.006689
0.31344,-1.696,-0.0068962
0.3192,-1.749,-0.0071098
0.32493,-1.802,-0.0073168
0.33067,-1.855,-0.0075268
0.3364,-1.908,-0.0077364
0.34213,-1.961,-0.0079438
0.34787,-2.014,-0.0081526
0.35362,-2.067,-0.0083606
0.3594,-2.12,-0.008569
0.36521,-2.173,-0.0087768
0.37095,-2.226,-0.0089828
0.37669,-2.279,-0.009188
0.38242,-2.332,-0.0093916
0.38816,-2.385,-0.009596
0.39391,-2.438,-0.0098
0.39964,-2.491,-0.0100066
0.4054,-2.544,-0.0102084
0.41113,-2.597,-0.0104076
0.41688,-2.65,-0.0106134
0.42261,-2.703,-0.0108152
0.42834,-2.756,-0.0110164
0.43411,-2.809,-0.0112156
0.43987,-2.862,-0.0114162
0.4613,-2.915,-0.011636
0.46697,-2.968,-0.011836
0.47266,-3.021,-0.012036
0.47834,-3.074,-0.012234
0.48404,-3.127,-0.012428
0.48972,-3.18,-0.01263
0.49541,-3.233,-0.012824
0.50084,-3.286,-0.013022
0.50652,-3.339,-0.01322
0.51221,-3.392,-0.013414
0.5179,-3.445,-0.013608
0.5236,-3.498,-0.013804
0.52929,-3.551,-0.014
0.53497,-3.604,-0.014198
0.54065,-3.657,-0.014388
0.54633,-3.71,-0.014582
0.552,-3.763,-0.01478
0.55767,-3.816,-0.01497
0.56337,-3.869,-0.015162
0.56906,-3.922,-0.015352
0.57475,-3.975,-0.015542
0.58042,-4.028,-0.015734
0.58609,-4.081,-0.015928
0.59179,-4.134,-0.016116
0.59747,-4.187,-0.016306
0.60317,-4.24,-0.016498
0.60885,-4.293,-0.016688
0.61454,-4.346,-0.016878
0.62024,-4.399,-0.017066
0.62593,-4.452,-0.017254
0.63162,-4.505,-0.01744
0.63729,-4.558,-0.017632
0.64298,-4.611,-0.017818
0.64865,-4.664,-0.018012
0.65434,-4.717,-0.018196
0.66003,-4.77,-0.018382
0.66572,-4.823,-0.018568
0.67139,-4.876,-0.018756
0.67707,-4.929,-0.018976
0.68275,-4.982,-0.019192
0.68844,-5.035,-0.019384
0.69414,-5.088,-0.019578
0.69983,-5.141,-0.01975
0.70552,-5.194,-0.01994
0.71119,-5.247,-0.020118
0.71685,-5.3,-0.020302
0.7202,-5.3,-0.020292
0.72594,-5.247,-0.020096
0.73163,-5.194,-0.019908
0.73731,-5.141,-0.019728
0.74303,-5.088,-0.019546
0.74871,-5.035,-0.01936
0.7544,-4.982,-0.019184
0.76017,-4.929,-0.018998
0.76585,-4.876,-0.01882
0.77154,-4.823,-0.018636
0.77721,-4.77,-0.018448
0.7829,-4.717,-0.01826
0.78859,-4.664,-0.018074
0.79428,-4.611,-0.017886
0.79997,-4.558,-0.0177
0.80564,-4.505,-0.01751
0.81133,-4.452,-0.01732
0.81701,-4.399,-0.017134
0.82269,-4.346,-0.016946
0.82837,-4.293,-0.016756
0.83406,-4.24,-0.016568
0.83976,-4.187,-0.016382
0.84545,-4.134,-0.016188
0.85113,-4.081,-0.016
0.85681,-4.028,-0.015806
0.8625,-3.975,-0.015614
0.86818,-3.922,-0.015422
0.87386,-3.869,-0.01523
0.87955,-3.816,-0.015042
0.88523,-3.763,-0.014852
0.89092,-3.71,-0.014658
0.8966,-3.657,-0.014466
0.90229,-3.604,-0.014272
0.90797,-3.551,-0.014076
0.91367,-3.498,-0.013882
0.91935,-3.445,-0.013686
0.92503,-3.392,-0.013492
0.93072,-3.339,-0.013294
0.9364,-3.286,-0.0131
0.94209,-3.233,-0.0129
0.94778,-3.18,-0.012704
0.95347,-3.127,-0.012506
0.95916,-3.074,-0.01231
0.96484,-3.021,-0.012112
0.97052,-2.968,-0.011912
0.9762,-2.915,-0.011714
0.98188,-2.862,-0.011516
0.98763,-2.809,-0.011316
0.99333,-2.756,-0.011116
0.99902,-2.703,-0.010912
1.00479,-2.65,-0.01071
1.01047,-2.597,-0.010504
1.01614,-2.544,-0.010304
1.02184,-2.491,-0.010102
1.03586,-2.438,-0.0098758
1.0416,-2.385,-0.0096714
1.04735,-2.332,-0.0094636
1.05311,-2.279,-0.0092604
1.05886,-2.226,-0.0090532
1.06462,-2.173,-0.0088462
1.07037,-2.12,-0.0086424
1.07611,-2.067,-0.0084332
1.08185,-2.014,-0.0082286
1.08759,-1.961,-0.008019
1.09335,-1.908,-0.0078082
1.09912,-1.855,-0.0075986
1.10487,-1.802,-0.0073862
1.11061,-1.749,-0.0071778
1.11634,-1.696,-0.0069656
1.12209,-1.643,-0.0067554
1.12784,-1.59,-0.0065438
1.13358,-1.537,-0.0063302
1.13933,-1.484,-0.0061198
1.14508,-1.431,-0.0059022
1.15082,-1.378,-0.0056896
1.15657,-1.325,-0.005477
1.16238,-1.272,-0.0052572
1.16813,-1.219,-0.0050428
1.17388,-1.166,-0.004823
1.17962,-1.113,-0.0046118
1.18536,-1.06,-0.0043984
1.19109,-1.007,-0.0041786
1.19683,-0.954,-0.0039606
1.20258,-0.901,-0.0037428
1.20831,-0.848,-0.0035248
1.21407,-0.795,-0.0033024
1.21983,-0.742,-0.0030872
1.22556,-0.689,-0.002869
1.23131,-0.636,-0.0026454
1.23706,-0.583,-0.0024294
1.2428,-0.53,-0.0022078
1.24853,-0.477,-0.0019916
1.25427,-0.424,-0.0017728
1.26002,-0.371,-0.001547
1.26576,-0.318,-0.0013268
1.2715,-0.265,-0.0011036
1.28355,-0.212,-0.0008853
1.2893,-0.159,-0.0006672
1.29503,-0.106,-0.00044184
1.30075,-0.053,-0.00022224
1.32701,0.0,2.5208e-07
