Time (s),Voltage (V),Current (A)
0.02982,0.0,1.9731e-06
0.05603,0.01,3.9188e-05
0.06176,0.02,7.7766e-05
0.08085,0.03,0.00011892
0.08668,0.04,0.00015868
0.09249,0.05,0.0001966
0.09828,0.06,0.00023634
0.10408,0.07,0.00027756
0.10988,0.08,0.00031498
0.11568,0.09,0.00035408
0.12148,0.1,0.00038976
0.12728,0.11,0.00043026
0.1331,0.12,0.00047414
0.1389,0.13,0.0005136
0.14472,0.14,0.00055028
0.15052,0.15,0.00059192
0.15633,0.16,0.00062962
0.16214,0.17,0.00066796
0.16794,0.18,0.00070894
0.17374,0.19,0.00074768
0.17954,0.2,0.00078782
0.18533,0.21,0.00082988
0.19114,0.22,0.00086808
0.19696,0.23,0.00090548
0.20278,0.24,0.00094414
0.20857,0.25,0.00098398
0.21437,0.26,0.00100004
0.22018,0.27,0.00100004
0.226,0.28,0.00100004
0.2318,0.29,0.00100004
0.23762,0.3,0.00100006
0.24342,0.31,0.00100004
0.24923,0.32,0.00100004
0.25503,0.33,0.00100004
0.26083,0.34,0.00100006
0.26665,0.35,0.00100004
0.27246,0.36,0.00100004
0.27827,0.37,0.00100004
0.28408,0.38,0.00100004
0.28989,0.39,0.00100004
0.2957,0.4,0.00100004
0.30155,0.41,0.00100004
0.30744,0.42,0.00100006
0.31326,0.43,0.00100006
0.31882,0.44,0.00100004
0.32438,0.45,0.00100006
0.32993,0.46,0.00100004
0.33581,0.47,0.00100004
0.3416,0.48,0.00100004
0.34744,0.49,0.00100006
0.35325,0.5,0.00100004
0.35906,0.51,0.00100006
0.36492,0.52,0.00100004
0.37072,0.53,0.00100004
0.37655,0.54,0.00100004
0.38235,0.55,0.00100004
0.38816,0.56,0.00100002
0.39396,0.57,0.00100004
0.39976,0.58,0.00100004
0.40557,0.59,0.00100004
0.41138,0.6,0.00100004
0.41719,0.61,0.00100004
0.42301,0.62,0.00100004
0.42882,0.63,0.00100004
0.43463,0.64,0.00100004
0.44044,0.65,0.00100004
0.44626,0.66,0.00100004
0.45207,0.67,0.00100004
0.45789,0.68,0.00100004
0.46369,0.69,0.00100004
0.46949,0.7,0.00100004
0.47531,0.71,0.00100004
0.48112,0.72,0.00100004
0.48692,0.73,0.00100004
0.49274,0.74,0.00100004
0.49855,0.75,0.00100004
0.50436,0.76,0.00100004
0.51016,0.77,0.00100004
0.51599,0.78,0.00100004
0.5218,0.79,0.00100006
0.52763,0.8,0.00100006
0.53343,0.81,0.00100004
0.53924,0.82,0.00100004
0.54505,0.83,0.00100006
0.55091,0.84,0.00100004
0.55673,0.85,0.00100004
0.56255,0.86,0.00100004
0.56836,0.87,0.00100004
0.57416,0.88,0.00100004
0.57996,0.89,0.00100004
0.58575,0.9,0.00100004
0.59156,0.91,0.00100004
0.59734,0.92,0.00100004
0.60316,0.93,0.00100004
0.60897,0.94,0.00100004
0.61478,0.95,0.00100004
0.62059,0.96,0.00100006
0.62641,0.97,0.00100004
0.63232,0.98,0.00100004
0.63813,0.99,0.00100004
0.64392,1.0,0.00100006
0.64726,1.0,0.00100006
0.65308,0.99,0.00100004
0.65889,0.98,0.00100004
0.6647,0.97,0.00100006
0.67051,0.96,0.00100002
0.67633,0.95,0.00100004
0.68213,0.94,0.00100004
0.68795,0.93,0.00100002
0.69376,0.92,0.00100004
0.69956,0.91,0.00100006
0.70536,0.9,0.00100004
0.71118,0.89,0.00100004
0.71699,0.88,0.00100004
0.72281,0.87,0.00100004
0.72862,0.86,0.00100004
0.73443,0.85,0.00100006
0.74024,0.84,0.00100004
0.74606,0.83,0.00100006
0.75188,0.82,0.00100004
0.7577,0.81,0.00100004
0.76351,0.8,0.00100004
0.76931,0.79,0.00100006
0.77513,0.78,0.00100004
0.78091,0.77,0.00100004
0.78673,0.76,0.00100004
0.79256,0.75,0.00100006
0.79838,0.74,0.00100004
0.80419,0.73,0.00100004
0.81,0.72,0.00100004
0.81582,0.71,0.00100004
0.82163,0.7,0.00100004
0.82745,0.69,0.00100006
0.83326,0.68,0.00100004
0.83907,0.67,0.00100004
0.84488,0.66,0.00100004
0.85068,0.65,0.00100006
0.8565,0.64,0.00100004
0.8623,0.63,0.00100006
0.86817,0.62,0.00100004
0.87397,0.61,0.00100006
0.87977,0.6,0.00100006
0.88558,0.59,0.00100004
0.89139,0.58,0.00100004
0.8972,0.57,0.00100006
0.903,0.56,0.00100004
0.9088,0.55,0.00100004
0.91463,0.54,0.00100006
0.92044,0.53,0.00100004
0.92627,0.52,0.00100004
0.93207,0.51,0.00100004
0.93788,0.5,0.00100004
0.94369,0.49,0.00100004
0.9495,0.48,0.00100004
0.95532,0.47,0.00100006
0.96111,0.46,0.00100004
0.96693,0.45,0.00100006
0.97275,0.44,0.00100004
0.97857,0.43,0.00100004
0.98437,0.42,0.00100004
0.99018,0.41,0.00100004
0.996,0.4,0.00100006
1.00181,0.39,0.00100006
1.00764,0.38,0.00100004
1.01344,0.37,0.00100002
1.01924,0.36,0.00100004
1.02505,0.35,0.00100006
1.03086,0.34,0.00100006
1.03667,0.33,0.00100004
1.0425,0.32,0.00100004
1.04831,0.31,0.00100004
1.05417,0.3,0.00100004
1.05998,0.29,0.00100004
1.0658,0.28,0.00100004
1.0716,0.27,0.00100004
1.07743,0.26,0.00100006
1.08322,0.25,0.00098564
1.08903,0.24,0.0009451
1.09484,0.23,0.0009042
1.10063,0.22,0.00086696
1.10653,0.21,0.00082636
1.11242,0.2,0.00078572
1.11822,0.19,0.00074828
1.12403,0.18,0.00070948
1.12983,0.17,0.0006737
1.13563,0.16,0.00063292
1.14143,0.15,0.00058942
1.14724,0.14,0.00055022
1.15305,0.13,0.00051302
1.15884,0.12,0.00047168
1.16473,0.11,0.000434
1.17053,0.1,0.00039546
1.17634,0.09,0.00035466
1.18214,0.08,0.00031534
1.18794,0.07,0.00027492
1.19374,0.06,0.00023296
1.19954,0.05,0.00019574
1.20535,0.04,0.00015842
1.21116,0.03,0.00011862
1.22285,0.02,7.8564e-05
1.22851,0.01,3.8284e-05
1.25582,0.0,4.4513e-08
