Time (s),Voltage (V),Current (A)
0.06649,0.0,5.5659e-08
0.14342,0.001,2.1901e-06
0.14985,0.002,4.5004e-06
0.15629,0.003,6.5264e-06
0.1627,0.004,1.0777e-05
0.21397,0.005,1.2688e-05
0.21952,0.006,1.386e-05
0.22506,0.007,1.7104e-05
0.23061,0.008,1.9918e-05
0.23615,0.009,2.126e-05
0.24166,0.01,2.4382e-05
0.2472,0.011,2.7276e-05
0.25273,0.012,2.8596e-05
0.25827,0.013,3.1746e-05
0.26382,0.014,3.4576e-05
0.26936,0.015,3.5966e-05
0.27491,0.016,3.8952e-05
0.28045,0.017,4.1838e-05
0.28601,0.018,4.3264e-05
0.29156,0.019,4.6326e-05
0.2971,0.02,4.907e-05
0.30267,0.021,5.057e-05
0.30829,0.022,5.3562e-05
0.31381,0.023,5.636e-05
0.3194,0.024,5.7838e-05
0.32495,0.025,6.0856e-05
0.33054,0.026,6.3598e-05
0.33612,0.027,6.5014e-05
0.34172,0.028,6.8134e-05
0.34725,0.029,7.0866e-05
0.35283,0.03,7.221e-05
0.35838,0.031,7.532e-05
0.3639,0.032,7.8202e-05
0.36952,0.033,7.9546e-05
0.37507,0.034,8.2606e-05
0.38061,0.035,8.5418e-05
0.3862,0.036,8.6826e-05
0.39176,0.037,8.9904e-05
0.3973,0.038,9.2692e-05
0.40292,0.039,9.412e-05
0.40847,0.04,9.7228e-05
0.41401,0.041,0.000100078
0.41955,0.042,0.00010139
0.42511,0.043,0.000104466
0.43066,0.044,0.000107264
0.4362,0.045,0.000108622
0.44176,0.046,0.000111658
0.44729,0.047,0.000114588
0.48956,0.048,0.00011486
0.49533,0.049,0.00011854
0.50114,0.05,0.00012108
0.50688,0.051,0.00012288
0.51263,0.052,0.00012676
0.51835,0.053,0.0001294
0.52409,0.054,0.00013398
0.52984,0.055,0.00013454
0.53558,0.056,0.00013476
0.54132,0.057,0.00013682
0.54706,0.058,0.0001408
0.5528,0.059,0.00014262
0.55853,0.06,0.00014544
0.56428,0.061,0.00014856
0.57003,0.062,0.00015024
0.57575,0.063,0.00015278
0.5815,0.064,0.00015618
0.58724,0.065,0.0001575
0.59296,0.066,0.00016018
0.5987,0.067,0.0001625
0.60443,0.068,0.0001635
0.61016,0.069,0.00016546
0.61597,0.07,0.00016718
0.62174,0.071,0.00017192
0.62748,0.072,0.0001755
0.63321,0.073,0.00017742
0.63894,0.074,0.00017868
0.64468,0.075,0.00018262
0.65042,0.076,0.0001843
0.65617,0.077,0.0001857
0.66193,0.078,0.00018888
0.66765,0.079,0.00019172
0.6734,0.08,0.00019316
0.67914,0.081,0.00019688
0.68489,0.082,0.0001992
0.69063,0.083,0.00020332
0.69638,0.084,0.00020636
0.70212,0.085,0.00020698
0.70786,0.086,0.00020888
0.71361,0.087,0.00021076
0.71933,0.088,0.00021336
0.72509,0.089,0.00021642
0.73084,0.09,0.00021918
0.7366,0.091,0.00022048
0.74235,0.092,0.00022394
0.74818,0.093,0.00022706
0.75392,0.094,0.00022798
0.75967,0.095,0.0002305
0.7654,0.096,0.00023334
0.77115,0.097,0.00023466
0.77686,0.098,0.00023674
0.78261,0.099,0.00023726
0.78834,0.1,0.00024144
0.79179,0.1,0.00024332
0.79758,0.099,0.00024102
0.80332,0.098,0.00023764
0.80907,0.097,0.00023586
0.81481,0.096,0.00023406
0.82055,0.095,0.00023054
0.82631,0.094,0.00022794
0.83205,0.093,0.00022606
0.83779,0.092,0.0002225
0.84352,0.091,0.00021972
0.84926,0.09,0.00021522
0.85502,0.089,0.00021434
0.86081,0.088,0.00021428
0.86656,0.087,0.00021216
0.8723,0.086,0.00020834
0.87804,0.085,0.00020646
0.88377,0.084,0.00020356
0.88951,0.083,0.00020046
0.89525,0.082,0.0001987
0.90099,0.081,0.00019646
0.90674,0.08,0.0001928
0.91248,0.079,0.00019182
0.91822,0.078,0.00018888
0.92396,0.077,0.00018714
0.92971,0.076,0.00018618
0.93546,0.075,0.00018314
0.94119,0.074,0.00018166
0.94693,0.073,0.00017692
0.95267,0.072,0.00017394
0.9584,0.071,0.0001719
0.96414,0.07,0.0001705
0.96988,0.069,0.00016682
0.97562,0.068,0.00016506
0.98136,0.067,0.00016346
0.98711,0.066,0.00016026
0.99284,0.065,0.00015748
0.99857,0.064,0.00015618
1.00431,0.063,0.0001526
1.01006,0.062,0.00015026
1.0158,0.061,0.00014652
1.02154,0.06,0.00014306
1.02727,0.059,0.00014182
1.03301,0.058,0.00013972
1.03875,0.057,0.00013846
1.0445,0.056,0.00013598
1.05024,0.055,0.00013286
1.05599,0.054,0.00013002
1.06174,0.053,0.00012874
1.06748,0.052,0.0001257
1.07321,0.051,0.00012236
1.07895,0.05,0.0001209
1.08468,0.049,0.00011878
1.09043,0.048,0.00011532
1.09617,0.047,0.00011424
1.10192,0.046,0.0001118
1.10767,0.045,0.00011154
1.11341,0.044,0.00010854
1.11913,0.043,0.00010392
1.12489,0.042,0.00010058
1.13063,0.041,9.884e-05
1.14224,0.04,9.7002e-05
1.1478,0.039,9.503e-05
1.15334,0.038,9.148e-05
1.15889,0.037,8.977e-05
1.16443,0.036,8.785e-05
1.16998,0.035,8.424e-05
1.17553,0.034,8.2558e-05
1.18107,0.033,8.0526e-05
1.18663,0.032,7.7012e-05
1.19218,0.031,7.5286e-05
1.19773,0.03,7.328e-05
1.20327,0.029,6.9902e-05
1.20882,0.028,6.8048e-05
1.21443,0.027,6.612e-05
1.21998,0.026,6.2574e-05
1.22553,0.025,6.0778e-05
1.23105,0.024,5.8768e-05
1.23661,0.023,5.537e-05
1.24216,0.022,5.3568e-05
1.24771,0.021,5.1432e-05
1.25323,0.02,4.8204e-05
1.25878,0.019,4.6218e-05
1.26433,0.018,4.41e-05
1.26984,0.017,4.096e-05
1.27539,0.016,3.8632e-05
1.28092,0.015,3.6522e-05
1.28647,0.014,3.3716e-05
1.29202,0.013,3.1206e-05
1.29756,0.012,2.917e-05
1.30311,0.011,2.6268e-05
1.30865,0.01,2.3722e-05
1.3142,0.009,2.1784e-05
1.31975,0.008,1.89e-05
1.32529,0.007,1.625e-05
1.33084,0.006,1.4326e-05
1.3364,0.005,1.155e-05
1.34199,0.004,9.128e-06
1.35336,0.003,6.9985e-06
1.3598,0.002,4.8389e-06
1.36622,0.001,1.0919e-06
1.37263,0.0,-4.399e-07
