# Saved on 2025-07-01T15:15:43.643438
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
Voltage (V),Current (A)
1.0000000000e+00,7.3130000000e-10
1.0000000000e+00,6.2610000000e-10
1.0000000000e+00,7.6420000000e-10
1.0000000000e+00,6.2650000000e-10
1.0000000000e+00,7.7370000000e-10
1.0000000000e+00,1.0613000000e-09
1.0000000000e+00,7.7990000000e-10
1.0000000000e+00,1.0603000000e-09
1.0000000000e+00,7.9260000000e-10
1.0000000000e+00,1.0669000000e-09
1.0000000000e+00,8.0930000000e-10
1.0000000000e+00,1.0651000000e-09
1.0000000000e+00,8.1390000000e-10
1.0000000000e+00,1.0564000000e-09
1.0000000000e+00,8.2610000000e-10
1.0000000000e+00,1.0595000000e-09
1.0000000000e+00,1.0676000000e-09
1.0000000000e+00,9.5290000000e-10
1.0000000000e+00,1.0572000000e-09
1.0000000000e+00,6.6420000000e-10
1.1000000000e+00,1.5296000000e-09
1.1000000000e+00,1.0894000000e-09
1.1000000000e+00,9.4320000000e-10
1.1000000000e+00,1.2943000000e-09
1.1000000000e+00,1.4104000000e-09
1.1000000000e+00,1.1377000000e-09
1.1000000000e+00,1.0656000000e-09
1.1000000000e+00,1.2359000000e-09
1.1000000000e+00,1.2741000000e-09
1.1000000000e+00,1.1898000000e-09
1.1000000000e+00,1.0922000000e-09
1.1000000000e+00,1.1288000000e-09
