# Saved on 2025-06-30T11:17:24.289686
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.1
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.001
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,3.2679000000e-08,0.0000000000e+00
-1.2000000000e-02,4.7813000000e-05,0.0000000000e+00
-2.4000000000e-02,9.5598000000e-05,0.0000000000e+00
-3.6000000000e-02,1.4351000000e-04,0.0000000000e+00
-4.8000000000e-02,1.9132000000e-04,0.0000000000e+00
-6.0000000000e-02,2.3943000000e-04,0.0000000000e+00
-7.2000000000e-02,2.8581000000e-04,0.0000000000e+00
-8.4000000000e-02,3.3548000000e-04,0.0000000000e+00
-9.6000000000e-02,3.8201000000e-04,0.0000000000e+00
-1.0800000000e-01,4.3013000000e-04,0.0000000000e+00
-1.2000000000e-01,4.7791000000e-04,0.0000000000e+00
-1.3200000000e-01,5.2613000000e-04,0.0000000000e+00
-1.4400000000e-01,5.7345000000e-04,0.0000000000e+00
-1.5600000000e-01,6.2100000000e-04,0.0000000000e+00
-1.6800000000e-01,6.6928000000e-04,0.0000000000e+00
-1.8000000000e-01,7.1563000000e-04,0.0000000000e+00
-1.9200000000e-01,7.6490000000e-04,0.0000000000e+00
-2.0400000000e-01,8.1160000000e-04,0.0000000000e+00
-2.1600000000e-01,8.6007000000e-04,0.0000000000e+00
-2.2800000000e-01,9.0739000000e-04,0.0000000000e+00
-2.4000000000e-01,9.5536000000e-04,0.0000000000e+00
-2.5200000000e-01,1.0000100000e-03,0.0000000000e+00
-2.6400000000e-01,1.0000100000e-03,0.0000000000e+00
-2.7600000000e-01,1.0000100000e-03,0.0000000000e+00
-2.8800000000e-01,1.0000100000e-03,0.0000000000e+00
-3.0000000000e-01,1.0000100000e-03,0.0000000000e+00
-3.1200000000e-01,1.0000100000e-03,0.0000000000e+00
-3.2400000000e-01,1.0000100000e-03,0.0000000000e+00
-3.3600000000e-01,1.0000100000e-03,0.0000000000e+00
-3.4800000000e-01,1.0000100000e-03,0.0000000000e+00
-3.6000000000e-01,1.0000100000e-03,0.0000000000e+00
-3.7200000000e-01,1.0000100000e-03,0.0000000000e+00
-3.8400000000e-01,1.0000100000e-03,0.0000000000e+00
-3.9600000000e-01,1.0000100000e-03,0.0000000000e+00
-4.0800000000e-01,1.0000100000e-03,0.0000000000e+00
-4.2000000000e-01,1.0000100000e-03,0.0000000000e+00
-4.3200000000e-01,1.0000100000e-03,0.0000000000e+00
-4.4400000000e-01,1.0000100000e-03,0.0000000000e+00
-4.5600000000e-01,1.0000100000e-03,0.0000000000e+00
-4.6800000000e-01,1.0000100000e-03,0.0000000000e+00
-4.8000000000e-01,1.0000100000e-03,0.0000000000e+00
-4.9200000000e-01,1.0000100000e-03,0.0000000000e+00
-5.0400000000e-01,1.0000100000e-03,0.0000000000e+00
-5.1600000000e-01,1.0000100000e-03,0.0000000000e+00
