# Saved on 2025-06-30T11:17:42.479607
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.1
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.001
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,1.0227000000e-06,0.0000000000e+00
-1.3000000000e-02,5.1999000000e-05,0.0000000000e+00
-2.6000000000e-02,1.0377000000e-04,0.0000000000e+00
-3.9000000000e-02,1.5546000000e-04,0.0000000000e+00
-5.2000000000e-02,2.0782000000e-04,0.0000000000e+00
-6.5000000000e-02,2.5793000000e-04,0.0000000000e+00
-7.8000000000e-02,3.1140000000e-04,0.0000000000e+00
-9.1000000000e-02,3.6193000000e-04,0.0000000000e+00
-1.0400000000e-01,4.1411000000e-04,0.0000000000e+00
-1.1700000000e-01,4.6590000000e-04,0.0000000000e+00
-1.3000000000e-01,5.1789000000e-04,0.0000000000e+00
-1.4300000000e-01,5.6922000000e-04,0.0000000000e+00
-1.5600000000e-01,6.2114000000e-04,0.0000000000e+00
-1.6900000000e-01,6.7331000000e-04,0.0000000000e+00
-1.8200000000e-01,7.2361000000e-04,0.0000000000e+00
-1.9500000000e-01,7.7698000000e-04,0.0000000000e+00
-2.0800000000e-01,8.2751000000e-04,0.0000000000e+00
-2.2100000000e-01,8.7997000000e-04,0.0000000000e+00
-2.3400000000e-01,9.3116000000e-04,0.0000000000e+00
-2.4700000000e-01,9.8329000000e-04,0.0000000000e+00
-2.6000000000e-01,1.0000100000e-03,0.0000000000e+00
-2.7300000000e-01,1.0000100000e-03,0.0000000000e+00
-2.8600000000e-01,1.0000100000e-03,0.0000000000e+00
-2.9900000000e-01,1.0000100000e-03,0.0000000000e+00
-3.1200000000e-01,1.0000100000e-03,0.0000000000e+00
-3.2500000000e-01,1.0000100000e-03,0.0000000000e+00
-3.3800000000e-01,1.0000100000e-03,0.0000000000e+00
-3.5100000000e-01,1.0000100000e-03,0.0000000000e+00
-3.6400000000e-01,1.0000100000e-03,0.0000000000e+00
-3.7700000000e-01,1.0000100000e-03,0.0000000000e+00
-3.9000000000e-01,1.0000100000e-03,0.0000000000e+00
-4.0300000000e-01,1.0000100000e-03,0.0000000000e+00
-4.1600000000e-01,1.0000100000e-03,0.0000000000e+00
-4.2900000000e-01,1.0000100000e-03,0.0000000000e+00
-4.4200000000e-01,1.0000100000e-03,0.0000000000e+00
-4.5500000000e-01,1.0000100000e-03,0.0000000000e+00
-4.6800000000e-01,1.0000100000e-03,0.0000000000e+00
-4.8100000000e-01,1.0000100000e-03,0.0000000000e+00
-4.9400000000e-01,1.0000100000e-03,0.0000000000e+00
-5.0700000000e-01,1.0000100000e-03,0.0000000000e+00
-5.2000000000e-01,1.0000100000e-03,0.0000000000e+00
-5.3300000000e-01,1.0000100000e-03,0.0000000000e+00
-5.4600000000e-01,1.0000100000e-03,0.0000000000e+00
-5.5900000000e-01,1.0000100000e-03,0.0000000000e+00
-5.7200000000e-01,1.0000100000e-03,0.0000000000e+00
-5.8500000000e-01,1.0000100000e-03,0.0000000000e+00
-5.9800000000e-01,1.0000100000e-03,0.0000000000e+00
-6.1100000000e-01,1.0000100000e-03,0.0000000000e+00
-6.2400000000e-01,1.0000100000e-03,0.0000000000e+00
-6.3700000000e-01,1.0000100000e-03,0.0000000000e+00
-6.5000000000e-01,1.0000100000e-03,0.0000000000e+00
-6.6300000000e-01,1.0000100000e-03,0.0000000000e+00
-6.7600000000e-01,1.0000100000e-03,0.0000000000e+00
-6.8900000000e-01,1.0000100000e-03,0.0000000000e+00
-7.0200000000e-01,1.0000100000e-03,0.0000000000e+00
-7.1500000000e-01,1.0000100000e-03,0.0000000000e+00
-7.2800000000e-01,1.0000100000e-03,0.0000000000e+00
-7.4100000000e-01,1.0000100000e-03,0.0000000000e+00
-7.5400000000e-01,1.0000100000e-03,0.0000000000e+00
-7.6700000000e-01,1.0000100000e-03,0.0000000000e+00
