# Saved on 2025-06-30T11:24:51.602858
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.2
#   Neg_Voltage: -1
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1.5e-05
#   ProgramTargetOffset: 1.5e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,6.1300000000e-09,0.0000000000e+00
-1.0000000000e-02,7.5151000000e-06,0.0000000000e+00
-2.0000000000e-02,1.5162000000e-05,0.0000000000e+00
-3.0000000000e-02,2.2764000000e-05,0.0000000000e+00
-4.0000000000e-02,3.0653000000e-05,0.0000000000e+00
-5.0000000000e-02,3.8814000000e-05,0.0000000000e+00
-6.0000000000e-02,4.7020000000e-05,0.0000000000e+00
-7.0000000000e-02,5.5885000000e-05,0.0000000000e+00
-8.0000000000e-02,6.4255000000e-05,0.0000000000e+00
-9.0000000000e-02,7.3713000000e-05,0.0000000000e+00
-1.0000000000e-01,8.2998000000e-05,0.0000000000e+00
-1.1000000000e-01,9.2874000000e-05,0.0000000000e+00
-1.2000000000e-01,1.0331000000e-04,0.0000000000e+00
-1.3000000000e-01,1.1390000000e-04,0.0000000000e+00
-1.4000000000e-01,1.2519000000e-04,0.0000000000e+00
-1.5000000000e-01,1.3664000000e-04,0.0000000000e+00
-1.6000000000e-01,1.4860000000e-04,0.0000000000e+00
-1.7000000000e-01,1.6109000000e-04,0.0000000000e+00
-1.8000000000e-01,1.7357000000e-04,0.0000000000e+00
-1.9000000000e-01,1.8696000000e-04,0.0000000000e+00
-2.0000000000e-01,2.0039000000e-04,0.0000000000e+00
-2.1000000000e-01,2.1440000000e-04,0.0000000000e+00
-2.2000000000e-01,2.2872000000e-04,0.0000000000e+00
-2.3000000000e-01,2.4387000000e-04,0.0000000000e+00
-2.4000000000e-01,2.5912000000e-04,0.0000000000e+00
-2.5000000000e-01,2.7450000000e-04,0.0000000000e+00
-2.6000000000e-01,2.9120000000e-04,0.0000000000e+00
-2.7000000000e-01,3.0691000000e-04,0.0000000000e+00
-2.8000000000e-01,3.2389000000e-04,0.0000000000e+00
-2.9000000000e-01,3.4135000000e-04,0.0000000000e+00
-3.0000000000e-01,3.5876000000e-04,0.0000000000e+00
-3.1000000000e-01,3.7701000000e-04,0.0000000000e+00
-3.2000000000e-01,3.9459000000e-04,0.0000000000e+00
-3.3000000000e-01,4.1389000000e-04,0.0000000000e+00
-3.4000000000e-01,4.3268000000e-04,0.0000000000e+00
-3.5000000000e-01,4.5263000000e-04,0.0000000000e+00
-3.6000000000e-01,4.7208000000e-04,0.0000000000e+00
-3.7000000000e-01,4.9251000000e-04,0.0000000000e+00
-3.8000000000e-01,5.1235000000e-04,0.0000000000e+00
-3.9000000000e-01,5.3340000000e-04,0.0000000000e+00
-4.0000000000e-01,5.5485000000e-04,0.0000000000e+00
-4.1000000000e-01,5.7542000000e-04,0.0000000000e+00
-4.2000000000e-01,5.9803000000e-04,0.0000000000e+00
-4.3000000000e-01,6.1901000000e-04,0.0000000000e+00
-4.4000000000e-01,6.4156000000e-04,0.0000000000e+00
-4.5000000000e-01,6.6378000000e-04,0.0000000000e+00
-4.6000000000e-01,6.8700000000e-04,0.0000000000e+00
-4.7000000000e-01,7.1031000000e-04,0.0000000000e+00
-4.8000000000e-01,7.3325000000e-04,0.0000000000e+00
-4.9000000000e-01,7.5831000000e-04,0.0000000000e+00
-5.0000000000e-01,7.8092000000e-04,0.0000000000e+00
-5.1000000000e-01,8.0570000000e-04,0.0000000000e+00
-5.2000000000e-01,8.2972000000e-04,0.0000000000e+00
-5.3000000000e-01,8.5469000000e-04,0.0000000000e+00
-5.4000000000e-01,8.7937000000e-04,0.0000000000e+00
-5.5000000000e-01,9.0477000000e-04,0.0000000000e+00
-5.6000000000e-01,9.3010000000e-04,0.0000000000e+00
-5.7000000000e-01,9.5481000000e-04,0.0000000000e+00
-5.8000000000e-01,9.8207000000e-04,0.0000000000e+00
-5.9000000000e-01,1.0087000000e-03,0.0000000000e+00
-6.0000000000e-01,1.0341000000e-03,0.0000000000e+00
-6.1000000000e-01,1.0610000000e-03,0.0000000000e+00
-6.2000000000e-01,1.0877000000e-03,0.0000000000e+00
-6.3000000000e-01,1.1150000000e-03,0.0000000000e+00
-6.4000000000e-01,1.1417000000e-03,0.0000000000e+00
-6.5000000000e-01,1.1694000000e-03,0.0000000000e+00
-6.6000000000e-01,1.1977000000e-03,0.0000000000e+00
-6.7000000000e-01,1.2246000000e-03,0.0000000000e+00
-6.8000000000e-01,1.2531000000e-03,0.0000000000e+00
-6.9000000000e-01,1.2811000000e-03,0.0000000000e+00
