# Saved on 2025-06-30T12:05:13.657047
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE34
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 10
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.3
#   Neg_Voltage: -1.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
1.0000000000e+00,5.2970000000e-11
1.0000000000e+00,2.6861000000e-10
1.0000000000e+00,4.1853000000e-10
1.0000000000e+00,1.1686000000e-10
1.0000000000e+00,7.6140000000e-11
1.0000000000e+00,7.1100000000e-11
1.0000000000e+00,6.7500000000e-11
1.0000000000e+00,8.9340000000e-11
1.0000000000e+00,2.8896000000e-10
1.0000000000e+00,4.5939000000e-10
1.0000000000e+00,1.2262000000e-10
1.0000000000e+00,5.8000000000e-11
1.0000000000e+00,6.5190000000e-11
1.0000000000e+00,9.9940000000e-11
1.0000000000e+00,1.0856000000e-10
1.0000000000e+00,2.9197000000e-10
1.0000000000e+00,5.7560000000e-11
1.0000000000e+00,1.7549000000e-10
1.1000000000e+00,3.7103000000e-10
1.1000000000e+00,5.4179000000e-10
1.1000000000e+00,4.3350000000e-10
1.1000000000e+00,1.6630000000e-10
1.1000000000e+00,6.4590000000e-10
1.1000000000e+00,4.3679000000e-10
1.1000000000e+00,4.6278000000e-10
1.1000000000e+00,2.8514000000e-10
1.1000000000e+00,3.6495000000e-10
1.1000000000e+00,7.2544000000e-10
1.1000000000e+00,4.8722000000e-10
1.1000000000e+00,5.1500000000e-10
1.1000000000e+00,5.8389000000e-10
1.1000000000e+00,4.5530000000e-10
1.1000000000e+00,4.7910000000e-10
1.1000000000e+00,3.4793000000e-10
1.1000000000e+00,6.5942000000e-10
1.1000000000e+00,3.4282000000e-10
1.2000000000e+00,6.9550000000e-10
1.2000000000e+00,7.7030000000e-10
1.2000000000e+00,6.1940000000e-10
1.2000000000e+00,7.5640000000e-10
1.2000000000e+00,5.8900000000e-10
1.2000000000e+00,7.8850000000e-10
