# Saved on 2025-06-30T11:51:35.452647
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE34
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,3.1020000000e-08,0.0000000000e+00
-1.0000000000e-02,8.5661000000e-06,0.0000000000e+00
-2.0000000000e-02,1.6938000000e-05,0.0000000000e+00
-3.0000000000e-02,2.5978000000e-05,0.0000000000e+00
-4.0000000000e-02,3.4564000000e-05,0.0000000000e+00
-5.0000000000e-02,4.3430000000e-05,0.0000000000e+00
-6.0000000000e-02,5.1982000000e-05,0.0000000000e+00
-7.0000000000e-02,6.0064000000e-05,0.0000000000e+00
-8.0000000000e-02,6.8710000000e-05,0.0000000000e+00
-9.0000000000e-02,7.7092000000e-05,0.0000000000e+00
-1.0000000000e-01,8.6232000000e-05,0.0000000000e+00
-1.1000000000e-01,9.5218000000e-05,0.0000000000e+00
-1.2000000000e-01,1.0426000000e-04,0.0000000000e+00
-1.3000000000e-01,1.1352000000e-04,0.0000000000e+00
-1.4000000000e-01,1.2282000000e-04,0.0000000000e+00
-1.5000000000e-01,1.3100000000e-04,0.0000000000e+00
-1.6000000000e-01,1.4046000000e-04,0.0000000000e+00
-1.7000000000e-01,1.5010000000e-04,0.0000000000e+00
-1.8000000000e-01,1.6018000000e-04,0.0000000000e+00
-1.9000000000e-01,1.6904000000e-04,0.0000000000e+00
-2.0000000000e-01,1.7862000000e-04,0.0000000000e+00
-2.1000000000e-01,1.8838000000e-04,0.0000000000e+00
-2.2000000000e-01,1.9766000000e-04,0.0000000000e+00
-2.3000000000e-01,2.0696000000e-04,0.0000000000e+00
-2.4000000000e-01,2.1784000000e-04,0.0000000000e+00
-2.5000000000e-01,2.2790000000e-04,0.0000000000e+00
-2.6000000000e-01,2.3666000000e-04,0.0000000000e+00
-2.7000000000e-01,2.4740000000e-04,0.0000000000e+00
-2.8000000000e-01,2.5684000000e-04,0.0000000000e+00
-2.9000000000e-01,2.6762000000e-04,0.0000000000e+00
-3.0000000000e-01,2.7764000000e-04,0.0000000000e+00
-3.1000000000e-01,2.8756000000e-04,0.0000000000e+00
-3.2000000000e-01,2.9874000000e-04,0.0000000000e+00
