# Saved on 2025-06-30T11:53:11.849464
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE34
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1.3
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,2.9680000000e-08,0.0000000000e+00
-1.3000000000e-02,1.0204400000e-05,0.0000000000e+00
-2.6000000000e-02,1.9700000000e-05,0.0000000000e+00
-3.9000000000e-02,3.0088000000e-05,0.0000000000e+00
-5.2000000000e-02,4.0172000000e-05,0.0000000000e+00
-6.5000000000e-02,4.9794000000e-05,0.0000000000e+00
-7.8000000000e-02,6.0458000000e-05,0.0000000000e+00
-9.1000000000e-02,7.0794000000e-05,0.0000000000e+00
-1.0400000000e-01,8.0656000000e-05,0.0000000000e+00
-1.1700000000e-01,9.1394000000e-05,0.0000000000e+00
-1.3000000000e-01,1.0158000000e-04,0.0000000000e+00
-1.4300000000e-01,1.1164000000e-04,0.0000000000e+00
-1.5600000000e-01,1.2348000000e-04,0.0000000000e+00
-1.6900000000e-01,1.3410000000e-04,0.0000000000e+00
-1.8200000000e-01,1.4530000000e-04,0.0000000000e+00
-1.9500000000e-01,1.5608000000e-04,0.0000000000e+00
-2.0800000000e-01,1.6706000000e-04,0.0000000000e+00
-2.2100000000e-01,1.7884000000e-04,0.0000000000e+00
-2.3400000000e-01,1.8946000000e-04,0.0000000000e+00
-2.4700000000e-01,2.0148000000e-04,0.0000000000e+00
-2.6000000000e-01,2.1398000000e-04,0.0000000000e+00
-2.7300000000e-01,2.2478000000e-04,0.0000000000e+00
-2.8600000000e-01,2.3784000000e-04,0.0000000000e+00
-2.9900000000e-01,2.4984000000e-04,0.0000000000e+00
-3.1200000000e-01,2.6180000000e-04,0.0000000000e+00
-3.2500000000e-01,2.7434000000e-04,0.0000000000e+00
-3.3800000000e-01,2.8690000000e-04,0.0000000000e+00
-3.5100000000e-01,3.0004000000e-04,0.0000000000e+00
-3.6400000000e-01,3.1166000000e-04,0.0000000000e+00
-3.7700000000e-01,3.2516000000e-04,0.0000000000e+00
-3.9000000000e-01,3.3890000000e-04,0.0000000000e+00
-4.0300000000e-01,3.5312000000e-04,0.0000000000e+00
-4.1600000000e-01,3.6632000000e-04,0.0000000000e+00
-4.2900000000e-01,3.8062000000e-04,0.0000000000e+00
-4.4200000000e-01,3.9326000000e-04,0.0000000000e+00
-4.5500000000e-01,4.0864000000e-04,0.0000000000e+00
-4.6800000000e-01,4.2004000000e-04,0.0000000000e+00
-4.8100000000e-01,4.3706000000e-04,0.0000000000e+00
-4.9400000000e-01,4.5244000000e-04,0.0000000000e+00
-5.0700000000e-01,4.6536000000e-04,0.0000000000e+00
-5.2000000000e-01,4.8034000000e-04,0.0000000000e+00
-5.3300000000e-01,4.9476000000e-04,0.0000000000e+00
-5.4600000000e-01,5.1194000000e-04,0.0000000000e+00
-5.5900000000e-01,5.2872000000e-04,0.0000000000e+00
-5.7200000000e-01,5.4270000000e-04,0.0000000000e+00
-5.8500000000e-01,5.5986000000e-04,0.0000000000e+00
