# Saved on 2025-06-30T11:57:11.260286
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE34
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,4.2730000000e-08,4.2678000000e-08
-2.0000000000e-02,9.5474000000e-06,9.4606000000e-06
-4.0000000000e-02,1.9240000000e-05,1.9186000000e-05
-6.0000000000e-02,2.9294000000e-05,2.8892000000e-05
-8.0000000000e-02,3.8892000000e-05,3.8276000000e-05
-1.0000000000e-01,4.9004000000e-05,4.8354000000e-05
-1.2000000000e-01,5.9642000000e-05,5.8606000000e-05
-1.4000000000e-01,7.0464000000e-05,6.8944000000e-05
-1.6000000000e-01,8.2052000000e-05,7.9980000000e-05
-1.8000000000e-01,9.3692000000e-05,9.1456000000e-05
-2.0000000000e-01,1.0562000000e-04,1.0236000000e-04
-2.2000000000e-01,1.1742000000e-04,1.1436000000e-04
-2.4000000000e-01,1.3042000000e-04,1.2676000000e-04
-2.6000000000e-01,1.4222000000e-04,1.3954000000e-04
-2.8000000000e-01,1.5548000000e-04,1.5208000000e-04
-3.0000000000e-01,1.6870000000e-04,1.6510000000e-04
-3.2000000000e-01,1.8316000000e-04,1.7910000000e-04
-3.4000000000e-01,1.9884000000e-04,1.9292000000e-04
-3.6000000000e-01,2.1218000000e-04,2.0660000000e-04
-3.8000000000e-01,2.2774000000e-04,2.2112000000e-04
-4.0000000000e-01,2.4296000000e-04,2.3570000000e-04
-4.2000000000e-01,2.5884000000e-04,2.5166000000e-04
-4.4000000000e-01,2.7554000000e-04,2.6746000000e-04
-4.6000000000e-01,2.9186000000e-04,2.8244000000e-04
-4.8000000000e-01,3.1014000000e-04,3.0020000000e-04
-5.0000000000e-01,3.2878000000e-04,3.1678000000e-04
-5.2000000000e-01,3.4716000000e-04,3.3430000000e-04
-5.4000000000e-01,3.6742000000e-04,3.5258000000e-04
-5.6000000000e-01,3.8706000000e-04,3.7038000000e-04
-5.8000000000e-01,4.0710000000e-04,3.9018000000e-04
-6.0000000000e-01,4.2904000000e-04,4.1044000000e-04
-6.2000000000e-01,4.4922000000e-04,4.2878000000e-04
-6.4000000000e-01,4.7184000000e-04,4.5046000000e-04
-6.6000000000e-01,4.9408000000e-04,4.7196000000e-04
-6.8000000000e-01,5.1702000000e-04,4.9268000000e-04
-7.0000000000e-01,5.4028000000e-04,5.1370000000e-04
-7.2000000000e-01,5.6344000000e-04,5.3770000000e-04
-7.4000000000e-01,5.9014000000e-04,5.6162000000e-04
-7.6000000000e-01,6.1514000000e-04,5.8590000000e-04
-7.8000000000e-01,6.4182000000e-04,6.1078000000e-04
-8.0000000000e-01,6.6920000000e-04,6.3632000000e-04
-8.2000000000e-01,6.9774000000e-04,6.6332000000e-04
-8.4000000000e-01,7.2724000000e-04,6.9130000000e-04
-8.6000000000e-01,7.5284000000e-04,7.1758000000e-04
-8.8000000000e-01,7.8442000000e-04,7.4650000000e-04
-9.0000000000e-01,8.1428000000e-04,7.7480000000e-04
-9.2000000000e-01,8.4752000000e-04,8.0610000000e-04
-9.4000000000e-01,8.7738000000e-04,8.3740000000e-04
-9.6000000000e-01,9.1154000000e-04,8.6830000000e-04
-9.8000000000e-01,9.5160000000e-04,9.0284000000e-04
-1.0000000000e+00,9.9140000000e-04,9.3460000000e-04
-1.0200000000e+00,1.0170000000e-03,9.6966000000e-04
-1.0400000000e+00,1.0574000000e-03,1.0082000000e-03
-1.0600000000e+00,1.1008000000e-03,1.0442000000e-03
-1.0800000000e+00,1.1356000000e-03,1.0854000000e-03
-1.1000000000e+00,1.1820000000e-03,1.1204000000e-03
-1.1200000000e+00,1.2182000000e-03,1.1656000000e-03
-1.1400000000e+00,1.2686000000e-03,1.2070000000e-03
-1.1600000000e+00,1.3108000000e-03,1.2466000000e-03
-1.1800000000e+00,1.3536000000e-03,1.2896000000e-03
-1.2000000000e+00,1.3912000000e-03,1.3348000000e-03
-1.2200000000e+00,1.4530000000e-03,1.3914000000e-03
-1.2400000000e+00,1.5020000000e-03,1.4460000000e-03
-1.2600000000e+00,1.5606000000e-03,1.5046000000e-03
-1.2800000000e+00,1.6050000000e-03,1.5528000000e-03
-1.3000000000e+00,1.6734000000e-03,1.6182000000e-03
-1.3200000000e+00,1.7312000000e-03,1.6714000000e-03
-1.3400000000e+00,1.7840000000e-03,1.7282000000e-03
-1.3600000000e+00,1.8556000000e-03,1.7924000000e-03
-1.3800000000e+00,1.9176000000e-03,1.8522000000e-03
-1.4000000000e+00,1.9796000000e-03,1.9262000000e-03
-1.4200000000e+00,2.0480000000e-03,1.9878000000e-03
-1.4400000000e+00,2.1096000000e-03,2.0458000000e-03
-1.4600000000e+00,2.1690000000e-03,2.1268000000e-03
-1.4800000000e+00,2.2452000000e-03,2.1988000000e-03
-1.5000000000e+00,2.3218000000e-03,2.2742000000e-03
-1.5200000000e+00,2.3844000000e-03,2.3462000000e-03
-1.5400000000e+00,2.4706000000e-03,2.4208000000e-03
-1.5600000000e+00,2.5288000000e-03,2.5052000000e-03
-1.5800000000e+00,2.6076000000e-03,2.5808000000e-03
-1.6000000000e+00,2.6780000000e-03,2.6434000000e-03
-1.6200000000e+00,2.7536000000e-03,2.7268000000e-03
-1.6400000000e+00,2.8334000000e-03,2.8080000000e-03
-1.6600000000e+00,2.9150000000e-03,2.8864000000e-03
-1.6800000000e+00,2.9956000000e-03,2.9528000000e-03
-1.7000000000e+00,3.0718000000e-03,3.0542000000e-03
-1.7200000000e+00,3.1606000000e-03,3.1348000000e-03
-1.7400000000e+00,3.2506000000e-03,3.2278000000e-03
-1.7600000000e+00,3.3256000000e-03,3.3076000000e-03
-1.7800000000e+00,3.4064000000e-03,3.3834000000e-03
-1.8000000000e+00,3.4870000000e-03,3.4728000000e-03
-1.8200000000e+00,3.5636000000e-03,3.5546000000e-03
-1.8400000000e+00,3.6486000000e-03,3.6392000000e-03
-1.8600000000e+00,3.7384000000e-03,3.7260000000e-03
-1.8800000000e+00,3.8148000000e-03,3.8126000000e-03
-1.9000000000e+00,3.9088000000e-03,3.8976000000e-03
-1.9200000000e+00,3.9944000000e-03,3.9774000000e-03
-1.9400000000e+00,4.0718000000e-03,4.0524000000e-03
-1.9600000000e+00,4.1540000000e-03,4.1414000000e-03
-1.9800000000e+00,4.2380000000e-03,4.2344000000e-03
-2.0000000000e+00,4.3160000000e-03,4.3180000000e-03
-2.0000000000e+00,4.3166000000e-03,4.3236000000e-03
-1.9800000000e+00,4.2274000000e-03,4.2398000000e-03
-1.9600000000e+00,4.1500000000e-03,4.1484000000e-03
-1.9400000000e+00,4.0636000000e-03,4.0644000000e-03
-1.9200000000e+00,3.9762000000e-03,3.9796000000e-03
-1.9000000000e+00,3.8822000000e-03,3.8958000000e-03
-1.8800000000e+00,3.7882000000e-03,3.8250000000e-03
-1.8600000000e+00,3.7148000000e-03,3.7400000000e-03
-1.8400000000e+00,3.6314000000e-03,3.6568000000e-03
-1.8200000000e+00,3.5456000000e-03,3.5642000000e-03
-1.8000000000e+00,3.4588000000e-03,3.4816000000e-03
-1.7800000000e+00,3.3728000000e-03,3.4090000000e-03
-1.7600000000e+00,3.2966000000e-03,3.3224000000e-03
-1.7400000000e+00,3.2074000000e-03,3.2418000000e-03
-1.7200000000e+00,3.1318000000e-03,3.1476000000e-03
-1.7000000000e+00,3.0528000000e-03,3.0878000000e-03
-1.6800000000e+00,2.9588000000e-03,3.0036000000e-03
-1.6600000000e+00,2.8896000000e-03,2.9136000000e-03
-1.6400000000e+00,2.8138000000e-03,2.8566000000e-03
-1.6200000000e+00,2.7286000000e-03,2.7738000000e-03
-1.6000000000e+00,2.6756000000e-03,2.7018000000e-03
-1.5800000000e+00,2.6012000000e-03,2.6142000000e-03
-1.5600000000e+00,2.5038000000e-03,2.5382000000e-03
-1.5400000000e+00,2.4548000000e-03,2.4594000000e-03
-1.5200000000e+00,2.3602000000e-03,2.3912000000e-03
-1.5000000000e+00,2.3080000000e-03,2.3228000000e-03
-1.4800000000e+00,2.2412000000e-03,2.2596000000e-03
-1.4600000000e+00,2.1704000000e-03,2.1922000000e-03
-1.4400000000e+00,2.1078000000e-03,2.1348000000e-03
-1.4200000000e+00,2.0318000000e-03,2.0828000000e-03
-1.4000000000e+00,1.9640000000e-03,2.0216000000e-03
-1.3800000000e+00,1.9294000000e-03,1.9638000000e-03
-1.3600000000e+00,1.8534000000e-03,1.9092000000e-03
-1.3400000000e+00,1.8040000000e-03,1.8692000000e-03
-1.3200000000e+00,1.7610000000e-03,1.8228000000e-03
-1.3000000000e+00,1.7046000000e-03,1.7318000000e-03
-1.2800000000e+00,1.6538000000e-03,1.6900000000e-03
-1.2600000000e+00,1.5988000000e-03,1.6606000000e-03
-1.2400000000e+00,1.5460000000e-03,1.6176000000e-03
-1.2200000000e+00,1.4848000000e-03,1.5964000000e-03
-1.2000000000e+00,1.4446000000e-03,1.5686000000e-03
