# Saved on 2025-06-30T12:47:14.932334
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 10
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.2
#   Neg_Voltage: -1
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.0001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
1.0000000000e+00,2.2180000000e-11
1.0000000000e+00,1.6977000000e-10
1.0000000000e+00,1.8258000000e-10
1.0000000000e+00,3.0875000000e-10
1.0000000000e+00,7.6790000000e-11
1.0000000000e+00,1.1160000000e-11
1.0000000000e+00,8.9960000000e-11
1.0000000000e+00,3.8200000000e-12
1.0000000000e+00,2.4879000000e-10
1.0000000000e+00,3.2560000000e-10
1.0000000000e+00,2.1636000000e-10
1.0000000000e+00,3.1541000000e-10
1.0000000000e+00,3.1569000000e-10
1.0000000000e+00,1.0751000000e-10
1.0000000000e+00,3.1947000000e-10
1.0000000000e+00,3.2230000000e-10
1.0000000000e+00,3.2260000000e-10
1.0000000000e+00,2.5757000000e-10
1.1000000000e+00,3.1511000000e-10
1.1000000000e+00,3.1921000000e-10
1.1000000000e+00,1.0412000000e-10
1.1000000000e+00,3.0740000000e-10
1.1000000000e+00,2.3920000000e-10
1.1000000000e+00,3.3400000000e-10
1.1000000000e+00,2.1608000000e-10
1.1000000000e+00,2.5580000000e-11
1.1000000000e+00,3.2346000000e-10
1.1000000000e+00,3.3474000000e-10
1.1000000000e+00,3.1880000000e-10
1.1000000000e+00,3.0404000000e-10
1.1000000000e+00,3.2516000000e-10
1.1000000000e+00,3.0988000000e-10
1.1000000000e+00,3.1032000000e-10
1.1000000000e+00,3.0177000000e-10
1.1000000000e+00,6.3850000000e-11
1.1000000000e+00,2.1380000000e-11
1.2000000000e+00,1.5596000000e-10
1.2000000000e+00,3.1832000000e-10
1.2000000000e+00,2.5313000000e-10
1.2000000000e+00,3.1134000000e-10
1.2000000000e+00,3.0360000000e-10
1.2000000000e+00,1.0417000000e-10
1.2000000000e+00,3.1806000000e-10
1.2000000000e+00,1.0801000000e-10
1.2000000000e+00,8.3200000000e-11
1.2000000000e+00,9.4810000000e-11
1.2000000000e+00,3.2144000000e-10
1.2000000000e+00,3.1712000000e-10
