# Saved on 2025-06-30T12:49:15.436057
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 10
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.0001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
1.0000000000e+00,4.2181000000e-09
1.0000000000e+00,3.9186000000e-09
1.0000000000e+00,4.5134000000e-09
1.0000000000e+00,4.3073000000e-09
1.0000000000e+00,4.0880000000e-09
1.0000000000e+00,4.1461000000e-09
1.0000000000e+00,4.4907000000e-09
1.0000000000e+00,4.5516000000e-09
1.0000000000e+00,4.2780000000e-09
1.0000000000e+00,3.7406000000e-09
1.0000000000e+00,4.2321000000e-09
1.0000000000e+00,4.1502000000e-09
1.0000000000e+00,4.0120000000e-09
1.0000000000e+00,4.1609000000e-09
1.0000000000e+00,3.9564000000e-09
1.0000000000e+00,4.1345000000e-09
1.0000000000e+00,4.2823000000e-09
1.0000000000e+00,4.3531000000e-09
1.0000000000e+00,4.0116000000e-09
1.0000000000e+00,4.3446000000e-09
1.0000000000e+00,4.7025000000e-09
1.1000000000e+00,5.0599000000e-09
1.1000000000e+00,4.6011000000e-09
1.1000000000e+00,5.0415000000e-09
1.1000000000e+00,5.1899000000e-09
1.1000000000e+00,4.9225000000e-09
1.1000000000e+00,4.6625000000e-09
1.1000000000e+00,4.9108000000e-09
1.1000000000e+00,5.2731000000e-09
1.1000000000e+00,4.8415000000e-09
1.1000000000e+00,4.8457000000e-09
1.1000000000e+00,4.9957000000e-09
1.1000000000e+00,5.1586000000e-09
1.1000000000e+00,5.1305000000e-09
1.1000000000e+00,4.8543000000e-09
1.1000000000e+00,5.0145000000e-09
1.1000000000e+00,5.0381000000e-09
1.1000000000e+00,4.8537000000e-09
1.1000000000e+00,4.8788000000e-09
