# Saved on 2025-06-30T12:47:50.966593
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 10
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.2
#   Neg_Voltage: -1
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.0001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
1.0000000000e+00,3.8100000000e-09
1.0000000000e+00,3.8627000000e-09
1.0000000000e+00,3.7210000000e-09
1.0000000000e+00,3.7126000000e-09
1.0000000000e+00,3.3356000000e-09
1.0000000000e+00,3.5940000000e-09
1.0000000000e+00,3.4937000000e-09
1.0000000000e+00,3.5110000000e-09
1.0000000000e+00,3.3570000000e-09
1.0000000000e+00,3.6022000000e-09
1.0000000000e+00,4.0128000000e-09
1.0000000000e+00,3.6469000000e-09
1.0000000000e+00,3.3366000000e-09
1.0000000000e+00,3.5649000000e-09
1.0000000000e+00,3.5005000000e-09
1.0000000000e+00,3.6985000000e-09
1.0000000000e+00,3.7662000000e-09
1.0000000000e+00,3.4702000000e-09
1.0000000000e+00,3.4843000000e-09
1.0000000000e+00,3.6818000000e-09
1.0000000000e+00,3.6725000000e-09
1.1000000000e+00,4.1956000000e-09
1.1000000000e+00,3.9337000000e-09
1.1000000000e+00,4.0362000000e-09
1.1000000000e+00,4.1731000000e-09
1.1000000000e+00,4.5420000000e-09
1.1000000000e+00,4.0118000000e-09
1.1000000000e+00,3.7984000000e-09
1.1000000000e+00,4.0912000000e-09
1.1000000000e+00,4.4518000000e-09
1.1000000000e+00,4.0082000000e-09
1.1000000000e+00,4.1311000000e-09
1.1000000000e+00,4.0869000000e-09
1.1000000000e+00,4.3646000000e-09
1.1000000000e+00,4.2412000000e-09
1.1000000000e+00,3.7371000000e-09
1.1000000000e+00,4.0013000000e-09
1.1000000000e+00,4.2984000000e-09
1.1000000000e+00,3.9951000000e-09
1.1000000000e+00,3.7718000000e-09
1.1000000000e+00,3.7553000000e-09
1.1000000000e+00,4.0898000000e-09
1.1000000000e+00,4.1708000000e-09
1.2000000000e+00,4.8310000000e-09
1.2000000000e+00,4.5214000000e-09
1.2000000000e+00,4.7768000000e-09
1.2000000000e+00,5.2868000000e-09
1.2000000000e+00,4.9510000000e-09
1.2000000000e+00,4.3881000000e-09
1.2000000000e+00,5.0025000000e-09
1.2000000000e+00,4.6332000000e-09
1.2000000000e+00,4.7197000000e-09
