# Saved on 2025-06-30T12:50:28.373797
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 10
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.0001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
1.0000000000e+00,4.5098000000e-09
1.0000000000e+00,4.5229000000e-09
1.0000000000e+00,4.6534000000e-09
1.0000000000e+00,4.7668000000e-09
1.0000000000e+00,4.6878000000e-09
1.0000000000e+00,4.8199000000e-09
1.0000000000e+00,4.8386000000e-09
1.0000000000e+00,5.0746000000e-09
1.0000000000e+00,4.7100000000e-09
1.0000000000e+00,4.2919000000e-09
1.0000000000e+00,4.5703000000e-09
1.0000000000e+00,4.9083000000e-09
1.0000000000e+00,5.0912000000e-09
1.0000000000e+00,4.6562000000e-09
1.0000000000e+00,4.4891000000e-09
1.0000000000e+00,4.5693000000e-09
1.0000000000e+00,5.0426000000e-09
1.0000000000e+00,4.8294000000e-09
1.0000000000e+00,4.5553000000e-09
1.0000000000e+00,5.0148000000e-09
1.0000000000e+00,4.8325000000e-09
1.1000000000e+00,5.4917000000e-09
1.1000000000e+00,5.1110000000e-09
1.1000000000e+00,5.4311000000e-09
1.1000000000e+00,5.7371000000e-09
1.1000000000e+00,5.3135000000e-09
1.1000000000e+00,5.5319000000e-09
1.1000000000e+00,5.7398000000e-09
1.1000000000e+00,5.8529000000e-09
1.1000000000e+00,5.4128000000e-09
1.1000000000e+00,5.4577000000e-09
1.1000000000e+00,5.6501000000e-09
1.1000000000e+00,5.5341000000e-09
1.1000000000e+00,5.7843000000e-09
1.1000000000e+00,5.4174000000e-09
1.1000000000e+00,5.3855000000e-09
1.1000000000e+00,5.4286000000e-09
1.1000000000e+00,5.5634000000e-09
1.1000000000e+00,5.2875000000e-09
1.1000000000e+00,5.2904000000e-09
1.1000000000e+00,5.3898000000e-09
1.1000000000e+00,5.2674000000e-09
1.2000000000e+00,6.3934000000e-09
1.2000000000e+00,6.1062000000e-09
1.2000000000e+00,6.4220000000e-09
1.2000000000e+00,6.0115000000e-09
1.2000000000e+00,6.2708000000e-09
1.2000000000e+00,6.1031000000e-09
1.2000000000e+00,6.3805000000e-09
1.2000000000e+00,6.5446000000e-09
1.2000000000e+00,6.2143000000e-09
1.2000000000e+00,6.7662000000e-09
1.2000000000e+00,6.3539000000e-09
1.2000000000e+00,5.9941000000e-09
1.2000000000e+00,5.7572000000e-09
1.2000000000e+00,6.6100000000e-09
1.2000000000e+00,6.4340000000e-09
1.2000000000e+00,6.3750000000e-09
1.2000000000e+00,6.3199000000e-09
1.2000000000e+00,6.2195000000e-09
1.2000000000e+00,6.0334000000e-09
1.2000000000e+00,6.0949000000e-09
1.2000000000e+00,6.1472000000e-09
1.3000000000e+00,7.2263000000e-09
1.3000000000e+00,6.8774000000e-09
1.3000000000e+00,7.0932000000e-09
1.3000000000e+00,7.7270000000e-09
1.3000000000e+00,7.7360000000e-09
1.3000000000e+00,7.0037000000e-09
1.3000000000e+00,7.4168000000e-09
1.3000000000e+00,7.6210000000e-09
1.3000000000e+00,7.9260000000e-09
1.3000000000e+00,7.9950000000e-09
1.3000000000e+00,7.8720000000e-09
1.3000000000e+00,7.0765000000e-09
1.3000000000e+00,7.0661000000e-09
1.3000000000e+00,7.2746000000e-09
1.3000000000e+00,7.5221000000e-09
1.3000000000e+00,7.0728000000e-09
1.3000000000e+00,7.3214000000e-09
1.3000000000e+00,7.5773000000e-09
1.3000000000e+00,7.6960000000e-09
1.3000000000e+00,7.6310000000e-09
1.3000000000e+00,7.1454000000e-09
1.3000000000e+00,7.8120000000e-09
1.3000000000e+00,7.0636000000e-09
1.4000000000e+00,8.9370000000e-09
1.4000000000e+00,8.8310000000e-09
1.4000000000e+00,9.0410000000e-09
1.4000000000e+00,9.0020000000e-09
1.4000000000e+00,8.8300000000e-09
1.4000000000e+00,8.7370000000e-09
1.4000000000e+00,9.3120000000e-09
1.4000000000e+00,9.3310000000e-09
1.4000000000e+00,8.8350000000e-09
1.4000000000e+00,8.7260000000e-09
1.4000000000e+00,9.3520000000e-09
1.4000000000e+00,9.2250000000e-09
1.4000000000e+00,8.9130000000e-09
1.4000000000e+00,9.2430000000e-09
1.4000000000e+00,9.2990000000e-09
1.4000000000e+00,9.2120000000e-09
1.4000000000e+00,8.9400000000e-09
1.4000000000e+00,9.2670000000e-09
1.4000000000e+00,9.0050000000e-09
1.4000000000e+00,8.8180000000e-09
1.4000000000e+00,8.8460000000e-09
1.4000000000e+00,8.8840000000e-09
1.4000000000e+00,9.0990000000e-09
1.4000000000e+00,9.0720000000e-09
1.4000000000e+00,9.1110000000e-09
1.4000000000e+00,9.1710000000e-09
1.5000000000e+00,1.0181000000e-08
1.5000000000e+00,1.0336000000e-08
1.5000000000e+00,1.0205000000e-08
1.5000000000e+00,1.0139000000e-08
1.5000000000e+00,1.0724000000e-08
1.5000000000e+00,1.0305000000e-08
1.5000000000e+00,1.0235000000e-08
1.5000000000e+00,1.0393000000e-08
1.5000000000e+00,9.8810000000e-09
1.5000000000e+00,1.0198000000e-08
1.5000000000e+00,9.9540000000e-09
1.5000000000e+00,9.6010000000e-09
1.5000000000e+00,9.8130000000e-09
