# Saved on 2025-06-30T12:55:51.715981
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.2
#   Neg_Voltage: -1.2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
1.0000000000e+00,1.1334000000e-05
1.0000000000e+00,1.0834000000e-05
1.0000000000e+00,1.0512000000e-05
1.0000000000e+00,1.4874000000e-05
1.0000000000e+00,1.7610000000e-05
1.0000000000e+00,1.6052000000e-05
1.0000000000e+00,1.6134000000e-05
1.0000000000e+00,1.4986000000e-05
1.0000000000e+00,1.5222000000e-05
1.0000000000e+00,1.5170000000e-05
1.0000000000e+00,1.4904000000e-05
1.0000000000e+00,1.5432000000e-05
1.0000000000e+00,1.7030000000e-05
1.0000000000e+00,1.4926000000e-05
1.0000000000e+00,1.5680000000e-05
1.0000000000e+00,1.6402000000e-05
1.0000000000e+00,1.4716000000e-05
1.0000000000e+00,7.8875000000e-06
1.0000000000e+00,7.0642000000e-06
1.0000000000e+00,5.9857000000e-06
1.0000000000e+00,7.5198000000e-06
1.0000000000e+00,1.1426000000e-05
1.0000000000e+00,1.4234000000e-05
1.0000000000e+00,1.0716000000e-05
1.0000000000e+00,1.1156000000e-05
1.0000000000e+00,1.0604000000e-05
1.0000000000e+00,1.0608000000e-05
1.0000000000e+00,1.0411600000e-05
1.0000000000e+00,1.2514000000e-05
1.0000000000e+00,1.3878000000e-05
1.0000000000e+00,1.4272000000e-05
1.0000000000e+00,1.4398000000e-05
1.0000000000e+00,1.4486000000e-05
1.0000000000e+00,1.4022000000e-05
1.0000000000e+00,1.4220000000e-05
1.0000000000e+00,1.4442000000e-05
1.0000000000e+00,1.4100000000e-05
1.0000000000e+00,1.4120000000e-05
1.0000000000e+00,1.4054000000e-05
1.0000000000e+00,1.4864000000e-05
1.0000000000e+00,1.3974000000e-05
1.0000000000e+00,1.4984000000e-05
1.0000000000e+00,1.4474000000e-05
1.0000000000e+00,1.4588000000e-05
1.0000000000e+00,1.4618000000e-05
1.0000000000e+00,1.4480000000e-05
1.0000000000e+00,1.3944000000e-05
1.0000000000e+00,1.3676000000e-05
1.0000000000e+00,1.3698000000e-05
1.1000000000e+00,1.5300000000e-05
1.1000000000e+00,1.4274000000e-05
