# Saved on 2025-06-30T12:57:23.880900
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.2
#   Neg_Voltage: -1.2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
1.0000000000e+00,9.3642000000e-07
1.0000000000e+00,2.2388000000e-06
1.0000000000e+00,6.7016000000e-07
1.0000000000e+00,1.1740000000e-06
1.0000000000e+00,5.2140000000e-07
1.0000000000e+00,4.5444000000e-07
1.0000000000e+00,9.4206000000e-07
1.0000000000e+00,3.7632000000e-07
1.0000000000e+00,3.9174000000e-07
1.0000000000e+00,3.9884000000e-07
1.0000000000e+00,4.0168000000e-07
1.0000000000e+00,4.0712000000e-07
1.0000000000e+00,5.7958000000e-07
1.0000000000e+00,4.0802000000e-07
1.0000000000e+00,5.0636000000e-07
1.0000000000e+00,5.8660000000e-07
1.0000000000e+00,5.9902000000e-07
1.0000000000e+00,5.1610000000e-07
1.0000000000e+00,5.7214000000e-07
1.0000000000e+00,6.7806000000e-07
1.0000000000e+00,6.7724000000e-07
1.0000000000e+00,6.9160000000e-07
1.0000000000e+00,7.5498000000e-07
1.0000000000e+00,8.5356000000e-07
1.0000000000e+00,1.2629000000e-06
1.0000000000e+00,7.0870000000e-07
1.0000000000e+00,1.3737000000e-06
1.0000000000e+00,8.0698000000e-07
1.0000000000e+00,5.4498000000e-07
1.0000000000e+00,1.0252000000e-06
1.0000000000e+00,9.7586000000e-07
1.0000000000e+00,8.6316000000e-07
1.0000000000e+00,5.1102000000e-07
1.0000000000e+00,6.4462000000e-07
1.0000000000e+00,6.4300000000e-07
1.1000000000e+00,1.1457400000e-06
1.1000000000e+00,8.4072000000e-07
1.1000000000e+00,5.4842000000e-07
1.1000000000e+00,5.5562000000e-07
1.1000000000e+00,1.5227000000e-06
1.1000000000e+00,1.5619000000e-06
1.1000000000e+00,1.2775000000e-06
1.1000000000e+00,1.2386000000e-06
1.1000000000e+00,8.2678000000e-07
1.1000000000e+00,1.5193000000e-06
1.1000000000e+00,1.1474000000e-06
1.1000000000e+00,1.4743000000e-06
1.1000000000e+00,1.3903000000e-06
1.1000000000e+00,1.2720000000e-06
1.1000000000e+00,1.5091000000e-06
1.1000000000e+00,6.3118000000e-07
