# Saved on 2025-06-30T13:01:46.350729
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.3
#   Neg_Voltage: -0.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.0005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,1.9228000000e-08,0.0000000000e+00
-5.0000000000e-03,3.2108000000e-06,0.0000000000e+00
-1.0000000000e-02,6.5288000000e-06,0.0000000000e+00
-1.5000000000e-02,9.8859000000e-06,0.0000000000e+00
-2.0000000000e-02,1.3494000000e-05,0.0000000000e+00
-2.5000000000e-02,1.6620000000e-05,0.0000000000e+00
-3.0000000000e-02,1.9490000000e-05,0.0000000000e+00
-3.5000000000e-02,2.3040000000e-05,0.0000000000e+00
-4.0000000000e-02,2.6188000000e-05,0.0000000000e+00
-4.5000000000e-02,2.9138000000e-05,0.0000000000e+00
-5.0000000000e-02,3.2686000000e-05,0.0000000000e+00
-5.5000000000e-02,3.6294000000e-05,0.0000000000e+00
-6.0000000000e-02,3.9210000000e-05,0.0000000000e+00
-6.5000000000e-02,4.2860000000e-05,0.0000000000e+00
-7.0000000000e-02,4.5924000000e-05,0.0000000000e+00
-7.5000000000e-02,4.8554000000e-05,0.0000000000e+00
-8.0000000000e-02,5.1788000000e-05,0.0000000000e+00
-8.5000000000e-02,5.5414000000e-05,0.0000000000e+00
-9.0000000000e-02,5.8748000000e-05,0.0000000000e+00
-9.5000000000e-02,6.2092000000e-05,0.0000000000e+00
-1.0000000000e-01,6.5152000000e-05,0.0000000000e+00
-1.0500000000e-01,6.8188000000e-05,0.0000000000e+00
-1.1000000000e-01,7.1584000000e-05,0.0000000000e+00
-1.1500000000e-01,7.4662000000e-05,0.0000000000e+00
-1.2000000000e-01,7.7716000000e-05,0.0000000000e+00
-1.2500000000e-01,8.0856000000e-05,0.0000000000e+00
-1.3000000000e-01,8.4982000000e-05,0.0000000000e+00
-1.3500000000e-01,8.8054000000e-05,0.0000000000e+00
-1.4000000000e-01,9.0878000000e-05,0.0000000000e+00
-1.4500000000e-01,9.3668000000e-05,0.0000000000e+00
-1.5000000000e-01,9.6566000000e-05,0.0000000000e+00
-1.5500000000e-01,1.0132000000e-04,0.0000000000e+00
-1.6000000000e-01,1.0452000000e-04,0.0000000000e+00
-1.6500000000e-01,1.0748000000e-04,0.0000000000e+00
-1.7000000000e-01,1.1114000000e-04,0.0000000000e+00
-1.7500000000e-01,1.1484000000e-04,0.0000000000e+00
-1.8000000000e-01,1.1824000000e-04,0.0000000000e+00
-1.8500000000e-01,1.2140000000e-04,0.0000000000e+00
-1.9000000000e-01,1.2406000000e-04,0.0000000000e+00
-1.9500000000e-01,1.2746000000e-04,0.0000000000e+00
-2.0000000000e-01,1.3064000000e-04,0.0000000000e+00
-2.0500000000e-01,1.3420000000e-04,0.0000000000e+00
-2.1000000000e-01,1.3696000000e-04,0.0000000000e+00
-2.1500000000e-01,1.4100000000e-04,0.0000000000e+00
-2.2000000000e-01,1.4452000000e-04,0.0000000000e+00
-2.2500000000e-01,1.4766000000e-04,0.0000000000e+00
-2.3000000000e-01,1.4976000000e-04,0.0000000000e+00
-2.3500000000e-01,1.5278000000e-04,0.0000000000e+00
-2.4000000000e-01,1.5690000000e-04,0.0000000000e+00
-2.4500000000e-01,1.6088000000e-04,0.0000000000e+00
-2.5000000000e-01,1.6308000000e-04,0.0000000000e+00
-2.5500000000e-01,1.6638000000e-04,0.0000000000e+00
-2.6000000000e-01,1.7006000000e-04,0.0000000000e+00
-2.6500000000e-01,1.7318000000e-04,0.0000000000e+00
-2.7000000000e-01,1.7766000000e-04,0.0000000000e+00
-2.7500000000e-01,1.8098000000e-04,0.0000000000e+00
-2.8000000000e-01,1.8516000000e-04,0.0000000000e+00
-2.8500000000e-01,1.8798000000e-04,0.0000000000e+00
-2.9000000000e-01,1.9104000000e-04,0.0000000000e+00
-2.9500000000e-01,1.9386000000e-04,0.0000000000e+00
-3.0000000000e-01,1.9826000000e-04,0.0000000000e+00
-3.0500000000e-01,2.0090000000e-04,0.0000000000e+00
-3.1000000000e-01,2.0460000000e-04,0.0000000000e+00
-3.1500000000e-01,2.0806000000e-04,0.0000000000e+00
-3.2000000000e-01,2.1154000000e-04,0.0000000000e+00
-3.2500000000e-01,2.1458000000e-04,0.0000000000e+00
-3.3000000000e-01,2.1728000000e-04,0.0000000000e+00
-3.3500000000e-01,2.2022000000e-04,0.0000000000e+00
-3.4000000000e-01,2.2228000000e-04,0.0000000000e+00
-3.4500000000e-01,2.2662000000e-04,0.0000000000e+00
-3.5000000000e-01,2.3130000000e-04,0.0000000000e+00
-3.5500000000e-01,2.3322000000e-04,0.0000000000e+00
-3.6000000000e-01,2.3636000000e-04,0.0000000000e+00
-3.6500000000e-01,2.4016000000e-04,0.0000000000e+00
-3.7000000000e-01,2.4386000000e-04,0.0000000000e+00
-3.7500000000e-01,2.4566000000e-04,0.0000000000e+00
-3.8000000000e-01,2.4982000000e-04,0.0000000000e+00
-3.8500000000e-01,2.5410000000e-04,0.0000000000e+00
-3.9000000000e-01,2.5752000000e-04,0.0000000000e+00
-3.9500000000e-01,2.6034000000e-04,0.0000000000e+00
-4.0000000000e-01,2.6800000000e-04,0.0000000000e+00
-4.0500000000e-01,2.7210000000e-04,0.0000000000e+00
