# Saved on 2025-06-30T13:02:39.687732
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.3
#   Neg_Voltage: -0.55
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.0005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,2.6740000000e-08,0.0000000000e+00
-5.5000000000e-03,5.1011000000e-06,0.0000000000e+00
-1.1000000000e-02,1.0524000000e-05,0.0000000000e+00
-1.6500000000e-02,1.5478000000e-05,0.0000000000e+00
-2.2000000000e-02,2.1086000000e-05,0.0000000000e+00
-2.7500000000e-02,2.6058000000e-05,0.0000000000e+00
-3.3000000000e-02,3.1052000000e-05,0.0000000000e+00
-3.8500000000e-02,3.6670000000e-05,0.0000000000e+00
-4.4000000000e-02,4.1758000000e-05,0.0000000000e+00
-4.9500000000e-02,4.6626000000e-05,0.0000000000e+00
-5.5000000000e-02,5.2220000000e-05,0.0000000000e+00
-6.0500000000e-02,5.7306000000e-05,0.0000000000e+00
-6.6000000000e-02,6.2280000000e-05,0.0000000000e+00
-7.1500000000e-02,6.7830000000e-05,0.0000000000e+00
-7.7000000000e-02,7.2878000000e-05,0.0000000000e+00
-8.2500000000e-02,7.7852000000e-05,0.0000000000e+00
-8.8000000000e-02,8.3456000000e-05,0.0000000000e+00
-9.3500000000e-02,8.8480000000e-05,0.0000000000e+00
-9.9000000000e-02,9.3438000000e-05,0.0000000000e+00
-1.0450000000e-01,9.9014000000e-05,0.0000000000e+00
-1.1000000000e-01,1.0420000000e-04,0.0000000000e+00
-1.1550000000e-01,1.1026000000e-04,0.0000000000e+00
-1.2100000000e-01,1.1540000000e-04,0.0000000000e+00
-1.2650000000e-01,1.1990000000e-04,0.0000000000e+00
-1.3200000000e-01,1.2502000000e-04,0.0000000000e+00
-1.3750000000e-01,1.2970000000e-04,0.0000000000e+00
-1.4300000000e-01,1.3532000000e-04,0.0000000000e+00
-1.4850000000e-01,1.4042000000e-04,0.0000000000e+00
-1.5400000000e-01,1.4534000000e-04,0.0000000000e+00
-1.5950000000e-01,1.5096000000e-04,0.0000000000e+00
-1.6500000000e-01,1.5630000000e-04,0.0000000000e+00
-1.7050000000e-01,1.6110000000e-04,0.0000000000e+00
-1.7600000000e-01,1.6692000000e-04,0.0000000000e+00
-1.8150000000e-01,1.7208000000e-04,0.0000000000e+00
-1.8700000000e-01,1.7640000000e-04,0.0000000000e+00
-1.9250000000e-01,1.8090000000e-04,0.0000000000e+00
-1.9800000000e-01,1.8692000000e-04,0.0000000000e+00
-2.0350000000e-01,1.9236000000e-04,0.0000000000e+00
-2.0900000000e-01,1.9810000000e-04,0.0000000000e+00
-2.1450000000e-01,2.0308000000e-04,0.0000000000e+00
-2.2000000000e-01,2.0848000000e-04,0.0000000000e+00
-2.2550000000e-01,2.1412000000e-04,0.0000000000e+00
-2.3100000000e-01,2.1890000000e-04,0.0000000000e+00
-2.3650000000e-01,2.2384000000e-04,0.0000000000e+00
-2.4200000000e-01,2.2966000000e-04,0.0000000000e+00
-2.4750000000e-01,2.3454000000e-04,0.0000000000e+00
-2.5300000000e-01,2.3942000000e-04,0.0000000000e+00
-2.5850000000e-01,2.4500000000e-04,0.0000000000e+00
-2.6400000000e-01,2.5122000000e-04,0.0000000000e+00
-2.6950000000e-01,2.5610000000e-04,0.0000000000e+00
-2.7500000000e-01,2.6136000000e-04,0.0000000000e+00
-2.8050000000e-01,2.6604000000e-04,0.0000000000e+00
-2.8600000000e-01,2.7134000000e-04,0.0000000000e+00
-2.9150000000e-01,2.7662000000e-04,0.0000000000e+00
-2.9700000000e-01,2.8122000000e-04,0.0000000000e+00
-3.0250000000e-01,2.8686000000e-04,0.0000000000e+00
-3.0800000000e-01,2.9246000000e-04,0.0000000000e+00
-3.1350000000e-01,2.9722000000e-04,0.0000000000e+00
-3.1900000000e-01,3.0252000000e-04,0.0000000000e+00
-3.2450000000e-01,3.0784000000e-04,0.0000000000e+00
-3.3000000000e-01,3.1310000000e-04,0.0000000000e+00
-3.3550000000e-01,3.1860000000e-04,0.0000000000e+00
-3.4100000000e-01,3.2362000000e-04,0.0000000000e+00
-3.4650000000e-01,3.2816000000e-04,0.0000000000e+00
-3.5200000000e-01,3.3370000000e-04,0.0000000000e+00
-3.5750000000e-01,3.3958000000e-04,0.0000000000e+00
-3.6300000000e-01,3.4460000000e-04,0.0000000000e+00
-3.6850000000e-01,3.5028000000e-04,0.0000000000e+00
-3.7400000000e-01,3.5500000000e-04,0.0000000000e+00
-3.7950000000e-01,3.6034000000e-04,0.0000000000e+00
-3.8500000000e-01,3.6596000000e-04,0.0000000000e+00
-3.9050000000e-01,3.7092000000e-04,0.0000000000e+00
-3.9600000000e-01,3.7614000000e-04,0.0000000000e+00
-4.0150000000e-01,3.8180000000e-04,0.0000000000e+00
-4.0700000000e-01,3.8706000000e-04,0.0000000000e+00
-4.1250000000e-01,3.9132000000e-04,0.0000000000e+00
-4.1800000000e-01,3.9680000000e-04,0.0000000000e+00
-4.2350000000e-01,4.0236000000e-04,0.0000000000e+00
-4.2900000000e-01,4.0788000000e-04,0.0000000000e+00
-4.3450000000e-01,4.1352000000e-04,0.0000000000e+00
-4.4000000000e-01,4.1850000000e-04,0.0000000000e+00
-4.4550000000e-01,4.2418000000e-04,0.0000000000e+00
-4.5100000000e-01,4.2934000000e-04,0.0000000000e+00
-4.5650000000e-01,4.3426000000e-04,0.0000000000e+00
-4.6200000000e-01,4.4000000000e-04,0.0000000000e+00
