# Saved on 2025-06-30T12:58:51.119345
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.2
#   Neg_Voltage: -0.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.0005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,1.0500000000e-08,1.2994000000e-07
-5.0000000000e-03,4.3213000000e-06,5.1878000000e-06
-1.0000000000e-02,8.9534000000e-06,9.2385000000e-06
-1.5000000000e-02,1.2050000000e-05,1.3668000000e-05
-2.0000000000e-02,1.7258000000e-05,1.8780000000e-05
-2.5000000000e-02,2.1732000000e-05,2.3324000000e-05
-3.0000000000e-02,2.6574000000e-05,2.7136000000e-05
-3.5000000000e-02,3.0598000000e-05,3.1368000000e-05
-4.0000000000e-02,3.4932000000e-05,3.6902000000e-05
-4.5000000000e-02,3.9562000000e-05,4.1734000000e-05
-5.0000000000e-02,4.3800000000e-05,4.6676000000e-05
-5.5000000000e-02,4.8014000000e-05,5.1008000000e-05
-6.0000000000e-02,5.2252000000e-05,5.5620000000e-05
-6.5000000000e-02,5.7152000000e-05,6.0600000000e-05
-7.0000000000e-02,6.1558000000e-05,6.4658000000e-05
-7.5000000000e-02,6.6242000000e-05,6.9142000000e-05
-8.0000000000e-02,7.0086000000e-05,7.3960000000e-05
-8.5000000000e-02,7.4300000000e-05,7.8730000000e-05
-9.0000000000e-02,7.8716000000e-05,8.3500000000e-05
-9.5000000000e-02,8.2500000000e-05,8.8646000000e-05
-1.0000000000e-01,8.7314000000e-05,9.2402000000e-05
-1.0500000000e-01,9.1862000000e-05,9.7092000000e-05
-1.1000000000e-01,9.6010000000e-05,1.0142000000e-04
-1.1500000000e-01,1.0006000000e-04,1.0648000000e-04
-1.2000000000e-01,1.0490000000e-04,1.1096000000e-04
-1.2500000000e-01,1.0964000000e-04,1.1520000000e-04
-1.3000000000e-01,1.1354000000e-04,1.2068000000e-04
-1.3500000000e-01,1.1748000000e-04,1.2526000000e-04
-1.4000000000e-01,1.2212000000e-04,1.2940000000e-04
-1.4500000000e-01,1.2774000000e-04,1.3402000000e-04
-1.5000000000e-01,1.3084000000e-04,1.3874000000e-04
-1.5500000000e-01,1.3502000000e-04,1.4364000000e-04
-1.6000000000e-01,1.3904000000e-04,1.4800000000e-04
-1.6500000000e-01,1.4360000000e-04,1.5208000000e-04
-1.7000000000e-01,1.4816000000e-04,1.5672000000e-04
-1.7500000000e-01,1.5184000000e-04,1.6206000000e-04
-1.8000000000e-01,1.5620000000e-04,1.6660000000e-04
-1.8500000000e-01,1.6150000000e-04,1.6968000000e-04
-1.9000000000e-01,1.6606000000e-04,1.7506000000e-04
-1.9500000000e-01,1.7022000000e-04,1.8026000000e-04
-2.0000000000e-01,1.7462000000e-04,1.8516000000e-04
-2.0500000000e-01,1.7906000000e-04,1.8916000000e-04
-2.1000000000e-01,1.8420000000e-04,1.9496000000e-04
-2.1500000000e-01,1.8724000000e-04,1.9970000000e-04
-2.2000000000e-01,1.9152000000e-04,2.0402000000e-04
-2.2500000000e-01,1.9660000000e-04,2.0804000000e-04
-2.3000000000e-01,2.0098000000e-04,2.1314000000e-04
-2.3500000000e-01,2.0608000000e-04,2.1742000000e-04
-2.4000000000e-01,2.0966000000e-04,2.2206000000e-04
-2.4500000000e-01,2.1512000000e-04,2.2626000000e-04
-2.5000000000e-01,2.1842000000e-04,2.2894000000e-04
-2.5500000000e-01,2.2306000000e-04,2.3514000000e-04
-2.6000000000e-01,2.2656000000e-04,2.3934000000e-04
-2.6500000000e-01,2.3132000000e-04,2.4340000000e-04
-2.7000000000e-01,2.3762000000e-04,2.4904000000e-04
-2.7500000000e-01,2.4260000000e-04,2.5266000000e-04
-2.8000000000e-01,2.4514000000e-04,2.5848000000e-04
-2.8500000000e-01,2.5040000000e-04,2.6222000000e-04
-2.9000000000e-01,2.5588000000e-04,2.6638000000e-04
-2.9500000000e-01,2.5916000000e-04,2.7160000000e-04
-3.0000000000e-01,2.6374000000e-04,2.7680000000e-04
