# Saved on 2025-06-30T13:04:08.417006
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,1.1864000000e-07,1.4722000000e-07
-1.0000000000e-02,8.9820000000e-06,9.4419000000e-06
-2.0000000000e-02,1.9530000000e-05,1.9786000000e-05
-3.0000000000e-02,2.9506000000e-05,3.0230000000e-05
-4.0000000000e-02,4.0112000000e-05,3.9856000000e-05
-5.0000000000e-02,4.9902000000e-05,4.9730000000e-05
-6.0000000000e-02,5.9712000000e-05,6.0094000000e-05
-7.0000000000e-02,7.0214000000e-05,6.9708000000e-05
-8.0000000000e-02,7.9670000000e-05,7.9414000000e-05
-9.0000000000e-02,8.9622000000e-05,8.9840000000e-05
-1.0000000000e-01,9.9840000000e-05,9.9260000000e-05
-1.1000000000e-01,1.0936000000e-04,1.0972000000e-04
-1.2000000000e-01,1.2012000000e-04,1.2082000000e-04
-1.3000000000e-01,1.3076000000e-04,1.2958000000e-04
-1.4000000000e-01,1.3970000000e-04,1.3940000000e-04
-1.5000000000e-01,1.4950000000e-04,1.4894000000e-04
-1.6000000000e-01,1.5906000000e-04,1.5914000000e-04
-1.7000000000e-01,1.6936000000e-04,1.6934000000e-04
-1.8000000000e-01,1.7974000000e-04,1.7904000000e-04
-1.9000000000e-01,1.8932000000e-04,1.8968000000e-04
-2.0000000000e-01,1.9990000000e-04,1.9882000000e-04
-2.1000000000e-01,2.0916000000e-04,2.0840000000e-04
-2.2000000000e-01,2.1868000000e-04,2.1930000000e-04
-2.3000000000e-01,2.2968000000e-04,2.2922000000e-04
-2.4000000000e-01,2.3944000000e-04,2.3912000000e-04
-2.5000000000e-01,2.4952000000e-04,2.4946000000e-04
-2.6000000000e-01,2.5986000000e-04,2.5932000000e-04
-2.7000000000e-01,2.6960000000e-04,2.6886000000e-04
-2.8000000000e-01,2.7940000000e-04,2.7932000000e-04
-2.9000000000e-01,2.8988000000e-04,2.9050000000e-04
-3.0000000000e-01,3.0096000000e-04,2.9936000000e-04
-3.1000000000e-01,3.0986000000e-04,3.0916000000e-04
-3.2000000000e-01,3.1978000000e-04,3.1876000000e-04
-3.3000000000e-01,3.2936000000e-04,3.2910000000e-04
-3.4000000000e-01,3.3978000000e-04,3.3950000000e-04
-3.5000000000e-01,3.5022000000e-04,3.4912000000e-04
-3.6000000000e-01,3.5978000000e-04,3.5996000000e-04
-3.7000000000e-01,3.7020000000e-04,3.6930000000e-04
-3.8000000000e-01,3.7970000000e-04,3.7868000000e-04
-3.9000000000e-01,3.8960000000e-04,3.8964000000e-04
-4.0000000000e-01,4.0082000000e-04,3.9976000000e-04
-4.1000000000e-01,4.1046000000e-04,4.0982000000e-04
-4.2000000000e-01,4.2058000000e-04,4.2034000000e-04
-4.3000000000e-01,4.3102000000e-04,4.2994000000e-04
-4.4000000000e-01,4.4096000000e-04,4.3998000000e-04
-4.5000000000e-01,4.5028000000e-04,4.4992000000e-04
-4.6000000000e-01,4.6122000000e-04,4.6116000000e-04
-4.7000000000e-01,4.7232000000e-04,4.7084000000e-04
-4.8000000000e-01,4.8132000000e-04,4.8052000000e-04
-4.9000000000e-01,4.9136000000e-04,4.8998000000e-04
-5.0000000000e-01,5.0110000000e-04,5.0044000000e-04
-5.1000000000e-01,5.1128000000e-04,5.1074000000e-04
-5.2000000000e-01,5.2204000000e-04,5.2082000000e-04
-5.3000000000e-01,5.3174000000e-04,5.3126000000e-04
-5.4000000000e-01,5.4312000000e-04,5.4172000000e-04
-5.5000000000e-01,5.5258000000e-04,5.5064000000e-04
-5.6000000000e-01,5.6230000000e-04,5.6082000000e-04
-5.7000000000e-01,5.7326000000e-04,5.7182000000e-04
-5.8000000000e-01,5.8350000000e-04,5.8194000000e-04
-5.9000000000e-01,5.9374000000e-04,5.9258000000e-04
-6.0000000000e-01,6.0402000000e-04,6.0218000000e-04
-6.1000000000e-01,6.1376000000e-04,6.1212000000e-04
-6.2000000000e-01,6.2344000000e-04,6.2254000000e-04
-6.3000000000e-01,6.3394000000e-04,6.3262000000e-04
-6.4000000000e-01,6.4566000000e-04,6.4354000000e-04
-6.5000000000e-01,6.5502000000e-04,6.5404000000e-04
-6.6000000000e-01,6.6412000000e-04,6.6324000000e-04
-6.7000000000e-01,6.7426000000e-04,6.7396000000e-04
-6.8000000000e-01,6.8484000000e-04,6.8430000000e-04
-6.9000000000e-01,6.9522000000e-04,6.9438000000e-04
-7.0000000000e-01,7.0460000000e-04,7.0492000000e-04
-7.1000000000e-01,7.1620000000e-04,7.1522000000e-04
-7.2000000000e-01,7.2596000000e-04,7.2564000000e-04
-7.3000000000e-01,7.3540000000e-04,7.3520000000e-04
-7.4000000000e-01,7.4716000000e-04,7.4596000000e-04
-7.5000000000e-01,7.5738000000e-04,7.5608000000e-04
-7.6000000000e-01,7.6754000000e-04,7.6690000000e-04
-7.7000000000e-01,7.7862000000e-04,7.7658000000e-04
-7.8000000000e-01,7.8838000000e-04,7.8736000000e-04
-7.9000000000e-01,7.9856000000e-04,7.9734000000e-04
-8.0000000000e-01,8.0902000000e-04,8.0500000000e-04
-8.1000000000e-01,8.2178000000e-04,8.1680000000e-04
-8.2000000000e-01,8.3178000000e-04,8.2804000000e-04
-8.3000000000e-01,8.4148000000e-04,8.3668000000e-04
-8.4000000000e-01,8.5256000000e-04,8.4748000000e-04
-8.5000000000e-01,8.6300000000e-04,8.5842000000e-04
-8.6000000000e-01,8.7312000000e-04,8.6774000000e-04
-8.7000000000e-01,8.8238000000e-04,8.7702000000e-04
-8.8000000000e-01,8.9506000000e-04,8.8738000000e-04
-8.9000000000e-01,9.0610000000e-04,8.9758000000e-04
-9.0000000000e-01,9.1690000000e-04,9.0758000000e-04
-9.1000000000e-01,9.2718000000e-04,9.2052000000e-04
-9.2000000000e-01,9.3642000000e-04,9.3004000000e-04
-9.3000000000e-01,9.4870000000e-04,9.4256000000e-04
-9.4000000000e-01,9.5720000000e-04,9.5134000000e-04
-9.5000000000e-01,9.6668000000e-04,9.6254000000e-04
-9.6000000000e-01,9.7658000000e-04,9.7564000000e-04
-9.7000000000e-01,9.9038000000e-04,9.8322000000e-04
-9.8000000000e-01,1.0020400000e-03,9.9502000000e-04
-9.9000000000e-01,1.0081400000e-03,1.0099200000e-03
-1.0000000000e+00,1.0187400000e-03,1.0178800000e-03
-1.0000000000e+00,1.0215000000e-03,1.0181000000e-03
-9.9000000000e-01,1.0089600000e-03,1.0088400000e-03
-9.8000000000e-01,1.0023800000e-03,9.9594000000e-04
-9.7000000000e-01,9.9208000000e-04,9.8468000000e-04
-9.6000000000e-01,9.8168000000e-04,9.7548000000e-04
-9.5000000000e-01,9.6946000000e-04,9.6578000000e-04
-9.4000000000e-01,9.6082000000e-04,9.5558000000e-04
-9.3000000000e-01,9.4818000000e-04,9.4158000000e-04
-9.2000000000e-01,9.3558000000e-04,9.3468000000e-04
-9.1000000000e-01,9.2484000000e-04,9.2394000000e-04
-9.0000000000e-01,9.1588000000e-04,9.1554000000e-04
-8.9000000000e-01,9.0642000000e-04,9.0466000000e-04
-8.8000000000e-01,8.9632000000e-04,8.9682000000e-04
-8.7000000000e-01,8.8452000000e-04,8.8574000000e-04
-8.6000000000e-01,8.7320000000e-04,8.7510000000e-04
-8.5000000000e-01,8.6322000000e-04,8.6506000000e-04
-8.4000000000e-01,8.5488000000e-04,8.5496000000e-04
-8.3000000000e-01,8.4372000000e-04,8.4352000000e-04
-8.2000000000e-01,8.3396000000e-04,8.3350000000e-04
-8.1000000000e-01,8.2546000000e-04,8.2264000000e-04
-8.0000000000e-01,8.1448000000e-04,8.1236000000e-04
-7.9000000000e-01,8.0050000000e-04,8.0298000000e-04
-7.8000000000e-01,7.9364000000e-04,7.9270000000e-04
-7.7000000000e-01,7.8330000000e-04,7.8228000000e-04
-7.6000000000e-01,7.7226000000e-04,7.7140000000e-04
-7.5000000000e-01,7.6216000000e-04,7.6042000000e-04
-7.4000000000e-01,7.5172000000e-04,7.4842000000e-04
-7.3000000000e-01,7.4058000000e-04,7.3798000000e-04
-7.2000000000e-01,7.3074000000e-04,7.2748000000e-04
-7.1000000000e-01,7.2022000000e-04,7.1806000000e-04
-7.0000000000e-01,7.1060000000e-04,7.0756000000e-04
-6.9000000000e-01,6.9970000000e-04,6.9672000000e-04
-6.8000000000e-01,6.8992000000e-04,6.8572000000e-04
-6.7000000000e-01,6.8042000000e-04,6.7672000000e-04
-6.6000000000e-01,6.6968000000e-04,6.6524000000e-04
-6.5000000000e-01,6.5918000000e-04,6.5594000000e-04
-6.4000000000e-01,6.4876000000e-04,6.4518000000e-04
-6.3000000000e-01,6.3814000000e-04,6.3454000000e-04
-6.2000000000e-01,6.2752000000e-04,6.2506000000e-04
-6.1000000000e-01,6.1686000000e-04,6.1472000000e-04
-6.0000000000e-01,6.0782000000e-04,6.0470000000e-04
-5.9000000000e-01,5.9650000000e-04,5.9494000000e-04
-5.8000000000e-01,5.8572000000e-04,5.8342000000e-04
-5.7000000000e-01,5.7496000000e-04,5.7352000000e-04
-5.6000000000e-01,5.6522000000e-04,5.6366000000e-04
-5.5000000000e-01,5.5540000000e-04,5.5294000000e-04
-5.4000000000e-01,5.4476000000e-04,5.4320000000e-04
-5.3000000000e-01,5.3516000000e-04,5.3318000000e-04
-5.2000000000e-01,5.2434000000e-04,5.2196000000e-04
-5.1000000000e-01,5.1316000000e-04,5.1080000000e-04
-5.0000000000e-01,5.0400000000e-04,5.0216000000e-04
-4.9000000000e-01,4.9388000000e-04,4.9168000000e-04
-4.8000000000e-01,4.8358000000e-04,4.8232000000e-04
-4.7000000000e-01,4.7372000000e-04,4.7200000000e-04
-4.6000000000e-01,4.6326000000e-04,4.6150000000e-04
-4.5000000000e-01,4.5304000000e-04,4.5206000000e-04
-4.4000000000e-01,4.4278000000e-04,4.4196000000e-04
-4.3000000000e-01,4.3446000000e-04,4.3184000000e-04
-4.2000000000e-01,4.2372000000e-04,4.2184000000e-04
-4.1000000000e-01,4.1312000000e-04,4.1062000000e-04
-4.0000000000e-01,4.0254000000e-04,4.0098000000e-04
-3.9000000000e-01,3.9280000000e-04,3.9112000000e-04
-3.8000000000e-01,3.8296000000e-04,3.8072000000e-04
-3.7000000000e-01,3.7234000000e-04,3.7046000000e-04
-3.6000000000e-01,3.6282000000e-04,3.6070000000e-04
-3.5000000000e-01,3.5240000000e-04,3.4996000000e-04
-3.4000000000e-01,3.4128000000e-04,3.3918000000e-04
-3.3000000000e-01,3.3208000000e-04,3.3012000000e-04
-3.2000000000e-01,3.2212000000e-04,3.2022000000e-04
-3.1000000000e-01,3.1178000000e-04,3.1058000000e-04
-3.0000000000e-01,3.0210000000e-04,3.0018000000e-04
-2.9000000000e-01,2.9180000000e-04,2.8966000000e-04
-2.8000000000e-01,2.8140000000e-04,2.8000000000e-04
-2.7000000000e-01,2.7154000000e-04,2.6938000000e-04
-2.6000000000e-01,2.6288000000e-04,2.6024000000e-04
-2.5000000000e-01,2.5172000000e-04,2.5048000000e-04
-2.4000000000e-01,2.4128000000e-04,2.3938000000e-04
-2.3000000000e-01,2.3072000000e-04,2.2968000000e-04
-2.2000000000e-01,2.2096000000e-04,2.1972000000e-04
-2.1000000000e-01,2.1134000000e-04,2.0930000000e-04
-2.0000000000e-01,2.0072000000e-04,1.9948000000e-04
-1.9000000000e-01,1.9142000000e-04,1.8978000000e-04
-1.8000000000e-01,1.8088000000e-04,1.7986000000e-04
-1.7000000000e-01,1.6992000000e-04,1.6852000000e-04
-1.6000000000e-01,1.6078000000e-04,1.5932000000e-04
-1.5000000000e-01,1.5088000000e-04,1.4980000000e-04
-1.4000000000e-01,1.4074000000e-04,1.4036000000e-04
-1.3000000000e-01,1.3106000000e-04,1.2996000000e-04
-1.2000000000e-01,1.2064000000e-04,1.1976000000e-04
-1.1000000000e-01,1.1029800000e-04,1.0989400000e-04
-1.0000000000e-01,1.0040800000e-04,9.9428000000e-05
-9.0000000000e-02,9.0200000000e-05,8.9642000000e-05
-8.0000000000e-02,8.0598000000e-05,7.9966000000e-05
-7.0000000000e-02,7.0606000000e-05,6.9992000000e-05
-6.0000000000e-02,6.0216000000e-05,6.0126000000e-05
-5.0000000000e-02,4.9456000000e-05,5.0024000000e-05
-4.0000000000e-02,3.9744000000e-05,3.9480000000e-05
-3.0000000000e-02,2.9192000000e-05,2.8728000000e-05
-2.0000000000e-02,1.9036000000e-05,1.9338000000e-05
-1.0000000000e-02,9.7100000000e-06,9.7648000000e-06
0.0000000000e+00,1.3828000000e-07,4.5094000000e-08
0.0000000000e+00,9.2280000000e-08,-2.9570000000e-08
1.0000000000e-02,1.0062000000e-05,9.9640000000e-06
2.0000000000e-02,1.9936000000e-05,1.8938000000e-05
3.0000000000e-02,3.0020000000e-05,2.9392000000e-05
4.0000000000e-02,4.0480000000e-05,3.8944000000e-05
5.0000000000e-02,5.0510000000e-05,4.9722000000e-05
6.0000000000e-02,6.1198000000e-05,6.0048000000e-05
7.0000000000e-02,7.1054000000e-05,6.9942000000e-05
8.0000000000e-02,8.0500000000e-05,7.9406000000e-05
9.0000000000e-02,9.0832000000e-05,8.9576000000e-05
1.0000000000e-01,1.0024000000e-04,9.9308000000e-05
1.1000000000e-01,1.0994200000e-04,1.0920600000e-04
1.2000000000e-01,1.2022000000e-04,1.1988000000e-04
1.3000000000e-01,1.3018000000e-04,1.3000000000e-04
1.4000000000e-01,1.4008000000e-04,1.3886000000e-04
1.5000000000e-01,1.4942000000e-04,1.4850000000e-04
1.6000000000e-01,1.5994000000e-04,1.5912000000e-04
1.7000000000e-01,1.7052000000e-04,1.6872000000e-04
1.8000000000e-01,1.8036000000e-04,1.7900000000e-04
1.9000000000e-01,1.9056000000e-04,1.8936000000e-04
2.0000000000e-01,2.0046000000e-04,1.9894000000e-04
2.1000000000e-01,2.1002000000e-04,2.0884000000e-04
2.2000000000e-01,2.2058000000e-04,2.1882000000e-04
2.3000000000e-01,2.3066000000e-04,2.2802000000e-04
2.4000000000e-01,2.4042000000e-04,2.3846000000e-04
2.5000000000e-01,2.5138000000e-04,2.4902000000e-04
2.6000000000e-01,2.6144000000e-04,2.5894000000e-04
2.7000000000e-01,2.7160000000e-04,2.6894000000e-04
2.8000000000e-01,2.8092000000e-04,2.7880000000e-04
2.9000000000e-01,2.9108000000e-04,2.8832000000e-04
3.0000000000e-01,3.0134000000e-04,2.9882000000e-04
3.1000000000e-01,3.1172000000e-04,3.0862000000e-04
3.2000000000e-01,3.2154000000e-04,3.1854000000e-04
3.3000000000e-01,3.3162000000e-04,3.2916000000e-04
3.4000000000e-01,3.4212000000e-04,3.3890000000e-04
3.5000000000e-01,3.5172000000e-04,3.4968000000e-04
3.6000000000e-01,3.6194000000e-04,3.5980000000e-04
3.7000000000e-01,3.7112000000e-04,3.6878000000e-04
3.8000000000e-01,3.8132000000e-04,3.7854000000e-04
3.9000000000e-01,3.9268000000e-04,3.8924000000e-04
4.0000000000e-01,4.0300000000e-04,3.9894000000e-04
4.1000000000e-01,4.1232000000e-04,4.0938000000e-04
4.2000000000e-01,4.2292000000e-04,4.1990000000e-04
4.3000000000e-01,4.3258000000e-04,4.2948000000e-04
