# Saved on 2025-06-30T13:24:43.522123
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE40
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 10
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.2
#   Neg_Voltage: -0.8
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A),Loop 6 (A),Loop 7 (A),Loop 8 (A),Loop 9 (A),Loop 10 (A)
0.0000000000e+00,4.0910000000e-09,4.3650000000e-09,1.2990000000e-08,1.8981000000e-08,2.6240000000e-08,3.1500000000e-10,3.3762000000e-08,1.2680000000e-09,3.8780000000e-09,1.7606000000e-08
-8.0000000000e-03,7.6754000000e-07,1.6732000000e-06,1.6120000000e-06,2.1441000000e-06,7.9842000000e-07,1.3970000000e-06,1.8922000000e-06,7.2764000000e-07,1.8578000000e-06,1.4668000000e-06
-1.6000000000e-02,1.5023000000e-06,3.3675000000e-06,3.3396000000e-06,4.2389000000e-06,1.5849000000e-06,2.6496000000e-06,3.3953000000e-06,1.4836000000e-06,3.4410000000e-06,2.9681000000e-06
-2.4000000000e-02,2.2361000000e-06,5.0958000000e-06,4.8252000000e-06,6.5531000000e-06,2.4139000000e-06,4.1520000000e-06,5.1721000000e-06,2.2985000000e-06,5.3020000000e-06,4.1881000000e-06
-3.2000000000e-02,3.0277000000e-06,6.8170000000e-06,6.5465000000e-06,8.4702000000e-06,3.2524000000e-06,5.6087000000e-06,6.7379000000e-06,3.0893000000e-06,7.0926000000e-06,5.6777000000e-06
-4.0000000000e-02,3.7580000000e-06,8.5985000000e-06,8.0302000000e-06,1.0608000000e-05,4.0020000000e-06,6.9614000000e-06,8.7261000000e-06,3.7750000000e-06,8.8341000000e-06,7.1822000000e-06
-4.8000000000e-02,4.5750000000e-06,1.0106000000e-05,9.7188000000e-06,1.2608000000e-05,4.6728000000e-06,8.4290000000e-06,1.0498000000e-05,4.5262000000e-06,1.0558000000e-05,8.5667000000e-06
-5.6000000000e-02,5.2771000000e-06,1.2076000000e-05,1.1248000000e-05,1.4704000000e-05,5.4083000000e-06,9.9154000000e-06,1.2504000000e-05,5.2351000000e-06,1.2296000000e-05,1.0072900000e-05
-6.4000000000e-02,6.0815000000e-06,1.3756000000e-05,1.2794000000e-05,1.6256000000e-05,6.2941000000e-06,1.0854000000e-05,1.4942000000e-05,6.1254000000e-06,1.4144000000e-05,1.1350000000e-05
-7.2000000000e-02,6.8092000000e-06,1.5148000000e-05,1.4438000000e-05,1.8998000000e-05,7.0549000000e-06,1.2332000000e-05,1.7132000000e-05,6.8481000000e-06,1.5898000000e-05,1.2780000000e-05
-8.0000000000e-02,7.6116000000e-06,1.6994000000e-05,1.5938000000e-05,2.1196000000e-05,8.0291000000e-06,1.4404000000e-05,1.7350000000e-05,7.7141000000e-06,1.7634000000e-05,1.3410000000e-05
-8.8000000000e-02,8.4161000000e-06,1.9046000000e-05,1.7568000000e-05,2.2804000000e-05,8.8729000000e-06,1.5810000000e-05,2.0030000000e-05,8.4353000000e-06,1.9580000000e-05,1.5664000000e-05
-9.6000000000e-02,9.1410000000e-06,2.0394000000e-05,1.9222000000e-05,2.5866000000e-05,9.6755000000e-06,1.6502000000e-05,2.1660000000e-05,9.3260000000e-06,2.1260000000e-05,1.7072000000e-05
-1.0400000000e-01,9.9401000000e-06,2.1986000000e-05,2.0952000000e-05,2.7282000000e-05,1.0538000000e-05,1.8706000000e-05,2.3456000000e-05,1.0134000000e-05,2.3224000000e-05,1.8218000000e-05
-1.1200000000e-01,1.0714000000e-05,2.3950000000e-05,2.2630000000e-05,2.9624000000e-05,1.1296000000e-05,2.0214000000e-05,2.5544000000e-05,1.0874000000e-05,2.5150000000e-05,1.9956000000e-05
-1.2000000000e-01,1.1448000000e-05,2.5526000000e-05,2.4206000000e-05,3.1782000000e-05,1.2262000000e-05,2.1080000000e-05,2.7154000000e-05,1.1790000000e-05,2.7190000000e-05,2.1558000000e-05
-1.2800000000e-01,1.2238000000e-05,2.8816000000e-05,2.6134000000e-05,3.3666000000e-05,1.3550000000e-05,2.2324000000e-05,2.9192000000e-05,1.2776000000e-05,2.8940000000e-05,2.3116000000e-05
-1.3600000000e-01,1.2986000000e-05,3.0266000000e-05,2.7636000000e-05,3.6604000000e-05,1.4064000000e-05,2.2516000000e-05,3.1210000000e-05,1.3592000000e-05,3.0242000000e-05,2.4668000000e-05
