# Saved on 2025-06-30T13:39:26.872582
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE42
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1.1
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.001
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,1.6124000000e-07,1.1322000000e-07
-1.1000000000e-02,1.0536000000e-05,1.2088000000e-05
-2.2000000000e-02,2.0890000000e-05,2.3592000000e-05
-3.3000000000e-02,3.1956000000e-05,3.4548000000e-05
-4.4000000000e-02,4.3114000000e-05,4.5640000000e-05
-5.5000000000e-02,5.3706000000e-05,5.8154000000e-05
-6.6000000000e-02,6.5142000000e-05,6.9948000000e-05
-7.7000000000e-02,7.6700000000e-05,8.2202000000e-05
-8.8000000000e-02,8.7796000000e-05,9.5236000000e-05
-9.9000000000e-02,9.9754000000e-05,1.0872000000e-04
-1.1000000000e-01,1.1090000000e-04,1.2082000000e-04
-1.2100000000e-01,1.2394000000e-04,1.3346000000e-04
-1.3200000000e-01,1.3640000000e-04,1.4682000000e-04
-1.4300000000e-01,1.4914000000e-04,1.5984000000e-04
-1.5400000000e-01,1.6262000000e-04,1.7440000000e-04
-1.6500000000e-01,1.7522000000e-04,1.8812000000e-04
-1.7600000000e-01,1.8790000000e-04,2.0116000000e-04
-1.8700000000e-01,2.0178000000e-04,2.1582000000e-04
-1.9800000000e-01,2.1658000000e-04,2.3042000000e-04
-2.0900000000e-01,2.3012000000e-04,2.4494000000e-04
-2.2000000000e-01,2.4524000000e-04,2.6024000000e-04
-2.3100000000e-01,2.6036000000e-04,2.7616000000e-04
-2.4200000000e-01,2.7730000000e-04,2.9150000000e-04
-2.5300000000e-01,2.9242000000e-04,3.0608000000e-04
-2.6400000000e-01,3.0898000000e-04,3.2504000000e-04
-2.7500000000e-01,3.2672000000e-04,3.4242000000e-04
-2.8600000000e-01,3.4352000000e-04,3.5986000000e-04
-2.9700000000e-01,3.5844000000e-04,3.7666000000e-04
-3.0800000000e-01,3.7802000000e-04,3.9488000000e-04
-3.1900000000e-01,3.9830000000e-04,4.1386000000e-04
-3.3000000000e-01,4.1662000000e-04,4.3312000000e-04
-3.4100000000e-01,4.3780000000e-04,4.5320000000e-04
-3.5200000000e-01,4.5634000000e-04,4.7424000000e-04
-3.6300000000e-01,4.7774000000e-04,4.9306000000e-04
-3.7400000000e-01,4.9854000000e-04,5.1430000000e-04
-3.8500000000e-01,5.2226000000e-04,5.3560000000e-04
-3.9600000000e-01,5.4538000000e-04,5.5794000000e-04
-4.0700000000e-01,5.6762000000e-04,5.8074000000e-04
-4.1800000000e-01,5.8744000000e-04,6.0462000000e-04
-4.2900000000e-01,6.1188000000e-04,6.2638000000e-04
-4.4000000000e-01,6.3624000000e-04,6.4874000000e-04
-4.5100000000e-01,6.6132000000e-04,6.7486000000e-04
-4.6200000000e-01,6.8704000000e-04,7.0190000000e-04
-4.7300000000e-01,7.1244000000e-04,7.2938000000e-04
-4.8400000000e-01,7.3828000000e-04,7.5564000000e-04
-4.9500000000e-01,7.6642000000e-04,7.8140000000e-04
-5.0600000000e-01,7.9510000000e-04,8.0880000000e-04
-5.1700000000e-01,8.2218000000e-04,8.3586000000e-04
-5.2800000000e-01,8.5324000000e-04,8.6632000000e-04
-5.3900000000e-01,8.7854000000e-04,8.9726000000e-04
-5.5000000000e-01,9.1048000000e-04,9.2792000000e-04
-5.6100000000e-01,9.3762000000e-04,9.5632000000e-04
-5.7200000000e-01,9.7490000000e-04,9.8640000000e-04
-5.8300000000e-01,1.0056000000e-03,1.0178000000e-03
-5.9400000000e-01,1.0334000000e-03,1.0494000000e-03
-6.0500000000e-01,1.0688000000e-03,1.0770000000e-03
-6.1600000000e-01,1.1012000000e-03,1.1132000000e-03
-6.2700000000e-01,1.1362000000e-03,1.1488000000e-03
-6.3800000000e-01,1.1680000000e-03,1.1872000000e-03
-6.4900000000e-01,1.2030000000e-03,1.2216000000e-03
-6.6000000000e-01,1.2412000000e-03,1.2536000000e-03
-6.7100000000e-01,1.2794000000e-03,1.2876000000e-03
-6.8200000000e-01,1.3166000000e-03,1.3260000000e-03
-6.9300000000e-01,1.3460000000e-03,1.3606000000e-03
-7.0400000000e-01,1.3902000000e-03,1.3992000000e-03
-7.1500000000e-01,1.4280000000e-03,1.4416000000e-03
-7.2600000000e-01,1.4744000000e-03,1.4832000000e-03
-7.3700000000e-01,1.5176000000e-03,1.5268000000e-03
-7.4800000000e-01,1.5590000000e-03,1.5686000000e-03
-7.5900000000e-01,1.5978000000e-03,1.6016000000e-03
-7.7000000000e-01,1.6410000000e-03,1.6348000000e-03
-7.8100000000e-01,1.6820000000e-03,1.6860000000e-03
-7.9200000000e-01,1.7270000000e-03,1.7210000000e-03
-8.0300000000e-01,1.7664000000e-03,1.7640000000e-03
-8.1400000000e-01,1.8086000000e-03,1.8140000000e-03
-8.2500000000e-01,1.8598000000e-03,1.8718000000e-03
-8.3600000000e-01,1.9018000000e-03,1.9164000000e-03
-8.4700000000e-01,1.9448000000e-03,1.9546000000e-03
-8.5800000000e-01,1.9968000000e-03,2.0042000000e-03
-8.6900000000e-01,2.0434000000e-03,2.0424000000e-03
-8.8000000000e-01,2.0826000000e-03,2.0886000000e-03
-8.9100000000e-01,2.1346000000e-03,2.1398000000e-03
-9.0200000000e-01,2.1788000000e-03,2.1832000000e-03
-9.1300000000e-01,2.2228000000e-03,2.2252000000e-03
-9.2400000000e-01,2.2714000000e-03,2.2724000000e-03
-9.3500000000e-01,2.3172000000e-03,2.3238000000e-03
-9.4600000000e-01,2.3660000000e-03,2.3672000000e-03
-9.5700000000e-01,2.4148000000e-03,2.4138000000e-03
-9.6800000000e-01,2.4632000000e-03,2.4708000000e-03
-9.7900000000e-01,2.5106000000e-03,2.5146000000e-03
-9.9000000000e-01,2.5722000000e-03,2.5652000000e-03
-1.0010000000e+00,2.6124000000e-03,2.6116000000e-03
-1.0120000000e+00,2.6642000000e-03,2.6666000000e-03
-1.0230000000e+00,2.7208000000e-03,2.7198000000e-03
-1.0340000000e+00,2.7744000000e-03,2.7734000000e-03
-1.0450000000e+00,2.8242000000e-03,2.8296000000e-03
-1.0560000000e+00,2.8742000000e-03,2.8856000000e-03
-1.0670000000e+00,2.9312000000e-03,2.9362000000e-03
-1.0780000000e+00,2.9848000000e-03,2.9870000000e-03
-1.0890000000e+00,3.0330000000e-03,3.0614000000e-03
-1.1000000000e+00,3.0852000000e-03,3.0948000000e-03
-1.1000000000e+00,3.0914000000e-03,3.1004000000e-03
-1.0890000000e+00,3.0354000000e-03,3.0464000000e-03
-1.0780000000e+00,2.9896000000e-03,2.9902000000e-03
-1.0670000000e+00,2.9356000000e-03,2.9400000000e-03
-1.0560000000e+00,2.8902000000e-03,2.8884000000e-03
-1.0450000000e+00,2.8320000000e-03,2.8398000000e-03
-1.0340000000e+00,2.7738000000e-03,2.7734000000e-03
-1.0230000000e+00,2.7250000000e-03,2.7272000000e-03
-1.0120000000e+00,2.6728000000e-03,2.6702000000e-03
-1.0010000000e+00,2.6132000000e-03,2.6146000000e-03
-9.9000000000e-01,2.5732000000e-03,2.5708000000e-03
-9.7900000000e-01,2.5154000000e-03,2.5236000000e-03
-9.6800000000e-01,2.4622000000e-03,2.4792000000e-03
-9.5700000000e-01,2.4126000000e-03,2.4230000000e-03
-9.4600000000e-01,2.3532000000e-03,2.3704000000e-03
-9.3500000000e-01,2.3156000000e-03,2.3284000000e-03
-9.2400000000e-01,2.2626000000e-03,2.2732000000e-03
-9.1300000000e-01,2.2048000000e-03,2.2280000000e-03
-9.0200000000e-01,2.1660000000e-03,2.1754000000e-03
-8.9100000000e-01,2.1088000000e-03,2.1254000000e-03
-8.8000000000e-01,2.0708000000e-03,2.0858000000e-03
-8.6900000000e-01,2.0202000000e-03,2.0428000000e-03
-8.5800000000e-01,1.9754000000e-03,1.9962000000e-03
