# Saved on 2025-06-30T14:30:34.424865
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE9
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.001
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -4
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,6.7960000000e-08,0.0000000000e+00
-1.5000000000e-02,2.3860000000e-05,0.0000000000e+00
-3.0000000000e-02,4.7120000000e-05,0.0000000000e+00
-4.5000000000e-02,7.1936000000e-05,0.0000000000e+00
-6.0000000000e-02,9.6220000000e-05,0.0000000000e+00
-7.5000000000e-02,1.2026000000e-04,0.0000000000e+00
-9.0000000000e-02,1.4560000000e-04,0.0000000000e+00
-1.0500000000e-01,1.6940000000e-04,0.0000000000e+00
-1.2000000000e-01,1.9190000000e-04,0.0000000000e+00
-1.3500000000e-01,2.1950000000e-04,0.0000000000e+00
-1.5000000000e-01,2.4542000000e-04,0.0000000000e+00
-1.6500000000e-01,2.7168000000e-04,0.0000000000e+00
-1.8000000000e-01,2.9640000000e-04,0.0000000000e+00
-1.9500000000e-01,3.2214000000e-04,0.0000000000e+00
-2.1000000000e-01,3.4944000000e-04,0.0000000000e+00
-2.2500000000e-01,3.7502000000e-04,0.0000000000e+00
-2.4000000000e-01,4.0224000000e-04,0.0000000000e+00
-2.5500000000e-01,4.3198000000e-04,0.0000000000e+00
-2.7000000000e-01,4.5842000000e-04,0.0000000000e+00
-2.8500000000e-01,4.8548000000e-04,0.0000000000e+00
-3.0000000000e-01,5.1384000000e-04,0.0000000000e+00
-3.1500000000e-01,5.4098000000e-04,0.0000000000e+00
-3.3000000000e-01,5.6926000000e-04,0.0000000000e+00
-3.4500000000e-01,5.9844000000e-04,0.0000000000e+00
-3.6000000000e-01,6.2880000000e-04,0.0000000000e+00
-3.7500000000e-01,6.5714000000e-04,0.0000000000e+00
-3.9000000000e-01,6.8702000000e-04,0.0000000000e+00
-4.0500000000e-01,7.1894000000e-04,0.0000000000e+00
-4.2000000000e-01,7.5130000000e-04,0.0000000000e+00
-4.3500000000e-01,7.8188000000e-04,0.0000000000e+00
-4.5000000000e-01,8.1384000000e-04,0.0000000000e+00
-4.6500000000e-01,8.4294000000e-04,0.0000000000e+00
-4.8000000000e-01,8.7718000000e-04,0.0000000000e+00
-4.9500000000e-01,9.0842000000e-04,0.0000000000e+00
-5.1000000000e-01,9.4112000000e-04,0.0000000000e+00
-5.2500000000e-01,9.8000000000e-04,0.0000000000e+00
-5.4000000000e-01,1.0072000000e-03,0.0000000000e+00
-5.5500000000e-01,1.0412000000e-03,0.0000000000e+00
-5.7000000000e-01,1.0794000000e-03,0.0000000000e+00
-5.8500000000e-01,1.1120000000e-03,0.0000000000e+00
-6.0000000000e-01,1.1446000000e-03,0.0000000000e+00
-6.1500000000e-01,1.1824000000e-03,0.0000000000e+00
-6.3000000000e-01,1.2174000000e-03,0.0000000000e+00
-6.4500000000e-01,1.2540000000e-03,0.0000000000e+00
-6.6000000000e-01,1.2896000000e-03,0.0000000000e+00
-6.7500000000e-01,1.3310000000e-03,0.0000000000e+00
-6.9000000000e-01,1.3660000000e-03,0.0000000000e+00
-7.0500000000e-01,1.4078000000e-03,0.0000000000e+00
-7.2000000000e-01,1.4478000000e-03,0.0000000000e+00
-7.3500000000e-01,1.4784000000e-03,0.0000000000e+00
-7.5000000000e-01,1.5212000000e-03,0.0000000000e+00
-7.6500000000e-01,1.5596000000e-03,0.0000000000e+00
-7.8000000000e-01,1.5992000000e-03,0.0000000000e+00
-7.9500000000e-01,1.6462000000e-03,0.0000000000e+00
-8.1000000000e-01,1.6860000000e-03,0.0000000000e+00
-8.2500000000e-01,1.7330000000e-03,0.0000000000e+00
-8.4000000000e-01,1.7858000000e-03,0.0000000000e+00
-8.5500000000e-01,1.8336000000e-03,0.0000000000e+00
-8.7000000000e-01,1.8724000000e-03,0.0000000000e+00
-8.8500000000e-01,1.9052000000e-03,0.0000000000e+00
-9.0000000000e-01,1.9478000000e-03,0.0000000000e+00
-9.1500000000e-01,2.0088000000e-03,0.0000000000e+00
-9.3000000000e-01,2.0516000000e-03,0.0000000000e+00
-9.4500000000e-01,2.1104000000e-03,0.0000000000e+00
-9.6000000000e-01,2.1602000000e-03,0.0000000000e+00
-9.7500000000e-01,2.2322000000e-03,0.0000000000e+00
-9.9000000000e-01,2.2794000000e-03,0.0000000000e+00
-1.0050000000e+00,2.3350000000e-03,0.0000000000e+00
-1.0200000000e+00,2.3980000000e-03,0.0000000000e+00
-1.0350000000e+00,2.4442000000e-03,0.0000000000e+00
-1.0500000000e+00,2.5144000000e-03,0.0000000000e+00
-1.0650000000e+00,2.5756000000e-03,0.0000000000e+00
-1.0800000000e+00,2.6464000000e-03,0.0000000000e+00
-1.0950000000e+00,2.7060000000e-03,0.0000000000e+00
-1.1100000000e+00,2.7840000000e-03,0.0000000000e+00
-1.1250000000e+00,2.8398000000e-03,0.0000000000e+00
-1.1400000000e+00,2.9128000000e-03,0.0000000000e+00
-1.1550000000e+00,2.9772000000e-03,0.0000000000e+00
-1.1700000000e+00,3.0340000000e-03,0.0000000000e+00
-1.1850000000e+00,3.1060000000e-03,0.0000000000e+00
-1.2000000000e+00,3.1912000000e-03,0.0000000000e+00
-1.2150000000e+00,3.2666000000e-03,0.0000000000e+00
-1.2300000000e+00,3.3220000000e-03,0.0000000000e+00
-1.2450000000e+00,3.4010000000e-03,0.0000000000e+00
-1.2600000000e+00,3.4756000000e-03,0.0000000000e+00
-1.2750000000e+00,3.5640000000e-03,0.0000000000e+00
-1.2900000000e+00,3.6314000000e-03,0.0000000000e+00
-1.3050000000e+00,3.7066000000e-03,0.0000000000e+00
-1.3200000000e+00,3.7804000000e-03,0.0000000000e+00
-1.3350000000e+00,3.8610000000e-03,0.0000000000e+00
-1.3500000000e+00,3.9462000000e-03,0.0000000000e+00
-1.3650000000e+00,4.0254000000e-03,0.0000000000e+00
-1.3800000000e+00,4.0952000000e-03,0.0000000000e+00
-1.3950000000e+00,4.1722000000e-03,0.0000000000e+00
-1.4100000000e+00,4.2418000000e-03,0.0000000000e+00
-1.4250000000e+00,4.3220000000e-03,0.0000000000e+00
-1.4400000000e+00,4.3974000000e-03,0.0000000000e+00
-1.4550000000e+00,4.4758000000e-03,0.0000000000e+00
-1.4700000000e+00,4.5680000000e-03,0.0000000000e+00
-1.4850000000e+00,4.6384000000e-03,0.0000000000e+00
-1.5000000000e+00,4.7068000000e-03,0.0000000000e+00
-1.5000000000e+00,4.7100000000e-03,0.0000000000e+00
-1.4850000000e+00,4.6420000000e-03,0.0000000000e+00
-1.4700000000e+00,4.5582000000e-03,0.0000000000e+00
-1.4550000000e+00,4.4842000000e-03,0.0000000000e+00
-1.4400000000e+00,4.4028000000e-03,0.0000000000e+00
-1.4250000000e+00,4.3322000000e-03,0.0000000000e+00
-1.4100000000e+00,4.2718000000e-03,0.0000000000e+00
-1.3950000000e+00,4.1868000000e-03,0.0000000000e+00
-1.3800000000e+00,4.1032000000e-03,0.0000000000e+00
-1.3650000000e+00,4.0368000000e-03,0.0000000000e+00
-1.3500000000e+00,3.9708000000e-03,0.0000000000e+00
-1.3350000000e+00,3.8688000000e-03,0.0000000000e+00
-1.3200000000e+00,3.8064000000e-03,0.0000000000e+00
-1.3050000000e+00,3.7360000000e-03,0.0000000000e+00
-1.2900000000e+00,3.6766000000e-03,0.0000000000e+00
-1.2750000000e+00,3.6152000000e-03,0.0000000000e+00
-1.2600000000e+00,3.5404000000e-03,0.0000000000e+00
-1.2450000000e+00,3.4560000000e-03,0.0000000000e+00
-1.2300000000e+00,3.3896000000e-03,0.0000000000e+00
-1.2150000000e+00,3.3134000000e-03,0.0000000000e+00
-1.2000000000e+00,3.2558000000e-03,0.0000000000e+00
-1.1850000000e+00,3.1828000000e-03,0.0000000000e+00
-1.1700000000e+00,3.1060000000e-03,0.0000000000e+00
-1.1550000000e+00,3.0364000000e-03,0.0000000000e+00
-1.1400000000e+00,2.9736000000e-03,0.0000000000e+00
-1.1250000000e+00,2.9088000000e-03,0.0000000000e+00
-1.1100000000e+00,2.8446000000e-03,0.0000000000e+00
-1.0950000000e+00,2.7848000000e-03,0.0000000000e+00
-1.0800000000e+00,2.7226000000e-03,0.0000000000e+00
-1.0650000000e+00,2.6614000000e-03,0.0000000000e+00
-1.0500000000e+00,2.5804000000e-03,0.0000000000e+00
-1.0350000000e+00,2.5332000000e-03,0.0000000000e+00
-1.0200000000e+00,2.4640000000e-03,0.0000000000e+00
-1.0050000000e+00,2.4104000000e-03,0.0000000000e+00
-9.9000000000e-01,2.3594000000e-03,0.0000000000e+00
-9.7500000000e-01,2.2980000000e-03,0.0000000000e+00
-9.6000000000e-01,2.2424000000e-03,0.0000000000e+00
-9.4500000000e-01,2.2080000000e-03,0.0000000000e+00
-9.3000000000e-01,2.1568000000e-03,0.0000000000e+00
-9.1500000000e-01,2.0946000000e-03,0.0000000000e+00
-9.0000000000e-01,2.0520000000e-03,0.0000000000e+00
-8.8500000000e-01,1.9922000000e-03,0.0000000000e+00
-8.7000000000e-01,1.9484000000e-03,0.0000000000e+00
-8.5500000000e-01,1.9104000000e-03,0.0000000000e+00
-8.4000000000e-01,1.8520000000e-03,0.0000000000e+00
-8.2500000000e-01,1.8196000000e-03,0.0000000000e+00
-8.1000000000e-01,1.7660000000e-03,0.0000000000e+00
-7.9500000000e-01,1.7132000000e-03,0.0000000000e+00
-7.8000000000e-01,1.6860000000e-03,0.0000000000e+00
-7.6500000000e-01,1.6358000000e-03,0.0000000000e+00
-7.5000000000e-01,1.6008000000e-03,0.0000000000e+00
