# Saved on 2025-06-30T14:32:15.848233
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE9
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.1
#   Neg_Voltage: -1.75
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.001
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -4
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,1.3300000000e-10,0.0000000000e+00
-1.7500000000e-02,4.3074000000e-05,0.0000000000e+00
-3.5000000000e-02,8.6152000000e-05,0.0000000000e+00
-5.2500000000e-02,1.2884000000e-04,0.0000000000e+00
-7.0000000000e-02,1.7162000000e-04,0.0000000000e+00
-8.7500000000e-02,2.1602000000e-04,0.0000000000e+00
-1.0500000000e-01,2.6144000000e-04,0.0000000000e+00
-1.2250000000e-01,3.0204000000e-04,0.0000000000e+00
-1.4000000000e-01,3.4560000000e-04,0.0000000000e+00
-1.5750000000e-01,3.8950000000e-04,0.0000000000e+00
-1.7500000000e-01,4.3400000000e-04,0.0000000000e+00
-1.9250000000e-01,4.7882000000e-04,0.0000000000e+00
-2.1000000000e-01,5.1932000000e-04,0.0000000000e+00
-2.2750000000e-01,5.6678000000e-04,0.0000000000e+00
-2.4500000000e-01,6.1178000000e-04,0.0000000000e+00
-2.6250000000e-01,6.5620000000e-04,0.0000000000e+00
-2.8000000000e-01,7.0232000000e-04,0.0000000000e+00
-2.9750000000e-01,7.4552000000e-04,0.0000000000e+00
-3.1500000000e-01,7.9308000000e-04,0.0000000000e+00
-3.3250000000e-01,8.3850000000e-04,0.0000000000e+00
-3.5000000000e-01,8.8140000000e-04,0.0000000000e+00
-3.6750000000e-01,9.2846000000e-04,0.0000000000e+00
-3.8500000000e-01,9.7692000000e-04,0.0000000000e+00
-4.0250000000e-01,1.0190000000e-03,0.0000000000e+00
-4.2000000000e-01,1.0688000000e-03,0.0000000000e+00
-4.3750000000e-01,1.1152000000e-03,0.0000000000e+00
-4.5500000000e-01,1.1626000000e-03,0.0000000000e+00
-4.7250000000e-01,1.2106000000e-03,0.0000000000e+00
-4.9000000000e-01,1.2558000000e-03,0.0000000000e+00
-5.0750000000e-01,1.3064000000e-03,0.0000000000e+00
-5.2500000000e-01,1.3520000000e-03,0.0000000000e+00
-5.4250000000e-01,1.3990000000e-03,0.0000000000e+00
-5.6000000000e-01,1.4478000000e-03,0.0000000000e+00
-5.7750000000e-01,1.4948000000e-03,0.0000000000e+00
-5.9500000000e-01,1.5450000000e-03,0.0000000000e+00
-6.1250000000e-01,1.5922000000e-03,0.0000000000e+00
-6.3000000000e-01,1.6412000000e-03,0.0000000000e+00
-6.4750000000e-01,1.6944000000e-03,0.0000000000e+00
-6.6500000000e-01,1.7428000000e-03,0.0000000000e+00
-6.8250000000e-01,1.7928000000e-03,0.0000000000e+00
-7.0000000000e-01,1.8436000000e-03,0.0000000000e+00
-7.1750000000e-01,1.8928000000e-03,0.0000000000e+00
