# Saved on 2025-06-30T14:31:18.695936
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE9
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1.75
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.0015
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.001
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -4
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,2.7070000000e-08,1.9812000000e-07
-1.7500000000e-02,2.2580000000e-05,2.7632000000e-05
-3.5000000000e-02,4.2554000000e-05,5.4456000000e-05
-5.2500000000e-02,6.3640000000e-05,8.0356000000e-05
-7.0000000000e-02,8.4332000000e-05,1.1036000000e-04
-8.7500000000e-02,1.0698000000e-04,1.3902000000e-04
-1.0500000000e-01,1.2866000000e-04,1.6652000000e-04
-1.2250000000e-01,1.5180000000e-04,1.9352000000e-04
-1.4000000000e-01,1.7368000000e-04,2.2504000000e-04
-1.5750000000e-01,1.9762000000e-04,2.5454000000e-04
-1.7500000000e-01,2.2230000000e-04,2.8144000000e-04
-1.9250000000e-01,2.4602000000e-04,3.1274000000e-04
-2.1000000000e-01,2.7000000000e-04,3.4266000000e-04
-2.2750000000e-01,2.9454000000e-04,3.7390000000e-04
-2.4500000000e-01,3.2360000000e-04,4.0694000000e-04
-2.6250000000e-01,3.4752000000e-04,4.3630000000e-04
-2.8000000000e-01,3.7402000000e-04,4.6964000000e-04
-2.9750000000e-01,4.0060000000e-04,5.0300000000e-04
-3.1500000000e-01,4.2934000000e-04,5.3550000000e-04
-3.3250000000e-01,4.5730000000e-04,5.6826000000e-04
-3.5000000000e-01,4.8604000000e-04,6.0208000000e-04
-3.6750000000e-01,5.1498000000e-04,6.3702000000e-04
-3.8500000000e-01,5.4818000000e-04,6.7226000000e-04
-4.0250000000e-01,5.7702000000e-04,7.0524000000e-04
-4.2000000000e-01,6.1062000000e-04,7.4478000000e-04
-4.3750000000e-01,6.4208000000e-04,7.8064000000e-04
-4.5500000000e-01,6.7350000000e-04,8.1582000000e-04
-4.7250000000e-01,7.1002000000e-04,8.5098000000e-04
-4.9000000000e-01,7.4284000000e-04,8.8944000000e-04
-5.0750000000e-01,7.7618000000e-04,9.2506000000e-04
-5.2500000000e-01,8.1372000000e-04,9.6444000000e-04
-5.4250000000e-01,8.4572000000e-04,1.0020000000e-03
-5.6000000000e-01,8.7954000000e-04,1.0380000000e-03
-5.7750000000e-01,9.1696000000e-04,1.0822000000e-03
-5.9500000000e-01,9.5718000000e-04,1.1216000000e-03
-6.1250000000e-01,9.9178000000e-04,1.1610000000e-03
-6.3000000000e-01,1.0282000000e-03,1.2002000000e-03
-6.4750000000e-01,1.0722000000e-03,1.2450000000e-03
-6.6500000000e-01,1.1116000000e-03,1.2878000000e-03
-6.8250000000e-01,1.1552000000e-03,1.3238000000e-03
-7.0000000000e-01,1.1916000000e-03,1.3694000000e-03
-7.1750000000e-01,1.2470000000e-03,1.4126000000e-03
-7.3500000000e-01,1.2864000000e-03,1.4494000000e-03
-7.5250000000e-01,1.3372000000e-03,1.5024000000e-03
-7.7000000000e-01,1.3816000000e-03,1.5498000000e-03
-7.8750000000e-01,1.4170000000e-03,1.6072000000e-03
-8.0500000000e-01,1.4702000000e-03,1.6592000000e-03
-8.2250000000e-01,1.5172000000e-03,1.7042000000e-03
-8.4000000000e-01,1.5842000000e-03,1.7538000000e-03
-8.5750000000e-01,1.6234000000e-03,1.8124000000e-03
