# Saved on 2025-06-30T14:32:37.572122
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE9
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.001
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -4
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,5.4516000000e-07,5.1815000000e-08
-2.0000000000e-02,3.6478000000e-05,3.6024000000e-05
-4.0000000000e-02,7.3740000000e-05,7.3618000000e-05
-6.0000000000e-02,1.0934000000e-04,1.0984000000e-04
-8.0000000000e-02,1.4752000000e-04,1.4800000000e-04
-1.0000000000e-01,1.8512000000e-04,1.8608000000e-04
-1.2000000000e-01,2.2304000000e-04,2.2272000000e-04
-1.4000000000e-01,2.6134000000e-04,2.6224000000e-04
-1.6000000000e-01,3.0042000000e-04,2.9964000000e-04
-1.8000000000e-01,3.4100000000e-04,3.4000000000e-04
-2.0000000000e-01,3.7836000000e-04,3.8082000000e-04
-2.2000000000e-01,4.1970000000e-04,4.2018000000e-04
-2.4000000000e-01,4.6072000000e-04,4.5984000000e-04
-2.6000000000e-01,4.9914000000e-04,4.9944000000e-04
-2.8000000000e-01,5.4432000000e-04,5.4392000000e-04
-3.0000000000e-01,5.8290000000e-04,5.8816000000e-04
-3.2000000000e-01,6.2904000000e-04,6.2812000000e-04
-3.4000000000e-01,6.7412000000e-04,6.6750000000e-04
-3.6000000000e-01,7.1712000000e-04,7.1186000000e-04
-3.8000000000e-01,7.6034000000e-04,7.5800000000e-04
-4.0000000000e-01,8.0510000000e-04,8.0030000000e-04
-4.2000000000e-01,8.5962000000e-04,8.4590000000e-04
-4.4000000000e-01,9.0216000000e-04,8.9474000000e-04
-4.6000000000e-01,9.4838000000e-04,9.4158000000e-04
-4.8000000000e-01,9.9744000000e-04,9.8970000000e-04
-5.0000000000e-01,1.0456000000e-03,1.0376000000e-03
-5.2000000000e-01,1.0892000000e-03,1.0858000000e-03
-5.4000000000e-01,1.1458000000e-03,1.1304000000e-03
-5.6000000000e-01,1.1962000000e-03,1.1824000000e-03
-5.8000000000e-01,1.2414000000e-03,1.2394000000e-03
-6.0000000000e-01,1.2984000000e-03,1.2872000000e-03
-6.2000000000e-01,1.3484000000e-03,1.3392000000e-03
-6.4000000000e-01,1.4050000000e-03,1.3902000000e-03
-6.6000000000e-01,1.4582000000e-03,1.4414000000e-03
-6.8000000000e-01,1.5100000000e-03,1.4916000000e-03
-7.0000000000e-01,1.5638000000e-03,1.5492000000e-03
-7.2000000000e-01,1.6222000000e-03,1.6034000000e-03
-7.4000000000e-01,1.6760000000e-03,1.6504000000e-03
-7.6000000000e-01,1.7332000000e-03,1.7128000000e-03
-7.8000000000e-01,1.7948000000e-03,1.7718000000e-03
-8.0000000000e-01,1.8578000000e-03,1.8286000000e-03
-8.2000000000e-01,1.9198000000e-03,1.8856000000e-03
-8.4000000000e-01,1.9790000000e-03,1.9450000000e-03
-8.6000000000e-01,2.0482000000e-03,2.0174000000e-03
-8.8000000000e-01,2.1098000000e-03,2.0706000000e-03
-9.0000000000e-01,2.1802000000e-03,2.1366000000e-03
-9.2000000000e-01,2.2470000000e-03,2.2012000000e-03
-9.4000000000e-01,2.3088000000e-03,2.2640000000e-03
-9.6000000000e-01,2.3788000000e-03,2.3298000000e-03
-9.8000000000e-01,2.4410000000e-03,2.4016000000e-03
-1.0000000000e+00,2.5228000000e-03,2.4740000000e-03
-1.0200000000e+00,2.5904000000e-03,2.5600000000e-03
-1.0400000000e+00,2.6656000000e-03,2.6328000000e-03
-1.0600000000e+00,2.7452000000e-03,2.6930000000e-03
-1.0800000000e+00,2.8160000000e-03,2.7730000000e-03
