# Saved on 2025-06-30T14:33:04.526811
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE9
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.1
#   Neg_Voltage: -2.3
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.001
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -4
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,5.0680000000e-08,2.0678000000e-07
-2.3000000000e-02,6.2628000000e-05,7.5988000000e-05
-4.6000000000e-02,1.2746000000e-04,1.5400000000e-04
-6.9000000000e-02,1.8820000000e-04,2.3124000000e-04
-9.2000000000e-02,2.5058000000e-04,3.0696000000e-04
-1.1500000000e-01,3.1820000000e-04,3.8090000000e-04
-1.3800000000e-01,3.8200000000e-04,4.5924000000e-04
-1.6100000000e-01,4.4826000000e-04,5.3718000000e-04
-1.8400000000e-01,5.1212000000e-04,6.1538000000e-04
-2.0700000000e-01,5.7698000000e-04,6.9470000000e-04
-2.3000000000e-01,6.4372000000e-04,7.7548000000e-04
-2.5300000000e-01,7.0834000000e-04,8.5074000000e-04
-2.7600000000e-01,7.7648000000e-04,9.2860000000e-04
-2.9900000000e-01,8.4552000000e-04,1.0126000000e-03
-3.2200000000e-01,9.1126000000e-04,1.0956000000e-03
-3.4500000000e-01,9.7854000000e-04,1.1750000000e-03
-3.6800000000e-01,1.0466000000e-03,1.2556000000e-03
-3.9100000000e-01,1.1176000000e-03,1.3378000000e-03
-4.1400000000e-01,1.1856000000e-03,1.4258000000e-03
-4.3700000000e-01,1.2524000000e-03,1.5050000000e-03
-4.6000000000e-01,1.3254000000e-03,1.5854000000e-03
-4.8300000000e-01,1.3958000000e-03,1.6668000000e-03
-5.0600000000e-01,1.4686000000e-03,1.7534000000e-03
-5.2900000000e-01,1.5410000000e-03,1.8382000000e-03
-5.5200000000e-01,1.6120000000e-03,1.9196000000e-03
-5.7500000000e-01,1.6846000000e-03,2.0094000000e-03
-5.9800000000e-01,1.7592000000e-03,2.0930000000e-03
-6.2100000000e-01,1.8380000000e-03,2.1744000000e-03
-6.4400000000e-01,1.9128000000e-03,2.2646000000e-03
-6.6700000000e-01,1.9870000000e-03,2.3506000000e-03
-6.9000000000e-01,2.0606000000e-03,2.4370000000e-03
-7.1300000000e-01,2.1366000000e-03,2.5228000000e-03
-7.3600000000e-01,2.2120000000e-03,2.6102000000e-03
