# Saved on 2025-07-21T12:30:10.564932
# Name: Shreenidhi
# Sample_ID: Batch6_Sample5_F5_TPTE38
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000000
#   Max_Voltage: 7
#   IComp: 1e-06
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0004
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.8
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_700.00 uS,Conductance_Target_600.00 uS,Conductance_Target_500.00 uS,Conductance_Target_400.00 uS
1.4400000000e-04,6.9395013270e-04,6.1742743128e-04,5.0827115047e-04,3.8658377889e-04
1.0001440000e+00,6.9352354330e-04,6.1908263888e-04,5.0626109442e-04,3.8608268369e-04
2.0001440000e+00,6.8920518970e-04,6.2044229708e-04,5.0738191931e-04,3.8433801819e-04
3.0001440000e+00,6.9725378125e-04,6.2030121626e-04,5.1147810154e-04,3.8945294364e-04
4.0001440000e+00,6.9369729317e-04,6.1782491684e-04,5.1027058362e-04,3.8479673094e-04
5.0001440000e+00,6.9369423727e-04,6.1780068791e-04,5.0772898248e-04,3.8901984226e-04
6.0001440000e+00,6.9481022365e-04,6.1583879869e-04,5.0995073252e-04,3.8672063965e-04
7.0001440000e+00,6.9193796662e-04,6.1227809056e-04,5.0853181165e-04,3.9386937715e-04
8.0001440000e+00,6.9282337790e-04,6.1429316702e-04,5.0765986089e-04,3.8612710341e-04
9.0001440000e+00,6.9463574619e-04,6.1137128796e-04,5.0929105782e-04,3.8648100599e-04
1.0000144000e+01,6.9537258241e-04,6.1779130192e-04,5.1278700994e-04,3.9164249756e-04
1.1000144000e+01,6.9031266321e-04,6.1641825596e-04,5.0920225476e-04,3.8459056668e-04
1.2000144000e+01,6.9498404628e-04,6.1800579715e-04,5.1048737078e-04,3.8492464228e-04
1.3000144000e+01,6.9565568992e-04,6.1980383180e-04,5.1259969041e-04,3.8347341615e-04
1.4000144000e+01,6.9626352342e-04,6.1592050770e-04,5.1328192058e-04,3.8877038605e-04
1.5000144000e+01,6.9318113674e-04,6.2082363002e-04,5.1236413128e-04,3.8631565985e-04
1.6000144000e+01,6.8947534601e-04,6.1453923990e-04,5.1342798542e-04,3.8927508285e-04
1.7000144000e+01,6.9462766987e-04,6.1854021624e-04,5.1231138059e-04,3.8902551751e-04
1.8000144000e+01,6.9238507422e-04,6.1310631281e-04,5.1318722399e-04,3.8660862629e-04
1.9000144000e+01,6.9381239882e-04,6.2070073909e-04,5.1348662964e-04,3.8558584492e-04
2.0000144000e+01,6.9759087637e-04,6.1973842094e-04,5.1061881095e-04,3.8975758798e-04
2.1000144000e+01,6.9746747613e-04,6.1669816205e-04,5.1093589718e-04,3.8660084101e-04
2.2000144000e+01,6.9284928031e-04,6.1800565163e-04,5.0917533372e-04,3.8576683437e-04
2.3000144000e+01,6.9550813350e-04,6.2018705648e-04,5.0802813348e-04,3.8920683437e-04
2.4000144000e+01,6.9532412454e-04,6.1860097048e-04,5.1145852922e-04,3.9367332647e-04
2.5000144000e+01,6.9523914135e-04,6.1891005316e-04,5.0756709243e-04,3.8980426325e-04
2.6000144000e+01,6.9388544944e-04,6.1936472775e-04,5.1131468354e-04,3.9125428884e-04
2.7000144000e+01,6.9522364356e-04,6.2170227466e-04,5.1168884966e-04,3.9051206841e-04
2.8000144000e+01,6.9266061473e-04,6.1533464759e-04,5.0757607823e-04,3.8944879634e-04
2.9000144000e+01,6.9426350819e-04,6.2336068368e-04,5.0797232689e-04,3.8935537304e-04
