# Saved on 2025-07-21T12:53:47.679062
# Name: Shreenidhi
# Sample_ID: Batch6_Sample6_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000000
#   Max_Voltage: 7
#   IComp: 1e-06
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0003
#   max_gtarget: 0.0007
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.6
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S)
1.4400000000e-04,3.0570969102e-04,4.2952684453e-04
1.1440000000e-03,3.0610339309e-04,4.2920735723e-04
2.1440000000e-03,3.0742987292e-04,4.2680116167e-04
3.1440000000e-03,3.1145387766e-04,4.2781986849e-04
4.1440000000e-03,3.1066665542e-04,4.3063537305e-04
5.1440000000e-03,3.0769799196e-04,4.2827818106e-04
6.1440000000e-03,3.1048137316e-04,4.2688450776e-04
7.1440000000e-03,3.1076004234e-04,4.2757259507e-04
8.1440000000e-03,3.1026229408e-04,4.2964245949e-04
9.1440000000e-03,3.1011109968e-04,4.2975290853e-04
1.0144000000e-02,3.1032341212e-04,4.2917472456e-04
1.1144000000e-02,3.1101739296e-04,4.2607465730e-04
1.2144000000e-02,3.0950097425e-04,4.2976320401e-04
1.3144000000e-02,3.0931554647e-04,4.2893112550e-04
1.4144000000e-02,3.1086357922e-04,4.2897405365e-04
1.5144000000e-02,3.0859282560e-04,4.2801806558e-04
1.6144000000e-02,3.0966115446e-04,4.2940031562e-04
1.7144000000e-02,3.0908704503e-04,4.2888055759e-04
1.8144000000e-02,3.0929204513e-04,4.2928262701e-04
1.9144000000e-02,3.0974824767e-04,4.2900559492e-04
2.0144000000e-02,3.0901068385e-04,4.2830368329e-04
2.1144000000e-02,3.0823121051e-04,4.2909334297e-04
2.2144000000e-02,3.0941155273e-04,4.2581668822e-04
2.3144000000e-02,3.0789553421e-04,4.2819086957e-04
2.4144000000e-02,3.0618422898e-04,4.2911942728e-04
2.5144000000e-02,3.1019775633e-04,4.2943163862e-04
2.6144000000e-02,3.0897834222e-04,4.2907162424e-04
2.7144000000e-02,3.0859642720e-04,4.2620995373e-04
2.8144000000e-02,3.1083862268e-04,4.2876570660e-04
2.9144000000e-02,3.0787938158e-04,4.2360632506e-04
3.0144000000e-02,3.0858700484e-04,4.2898154788e-04
3.1144000000e-02,3.0828869058e-04,4.2951898649e-04
3.2144000000e-02,3.0862927815e-04,4.2800016672e-04
3.3144000000e-02,3.0848943425e-04,4.2516436224e-04
3.4144000000e-02,3.0886545574e-04,4.2782321543e-04
3.5144000000e-02,3.1109888369e-04,4.3000978621e-04
3.6144000000e-02,3.1034691347e-04,4.2775296606e-04
3.7144000000e-02,3.0918818084e-04,4.2757150368e-04
3.8144000000e-02,3.0778071960e-04,4.3019266741e-04
3.9144000000e-02,3.0752995372e-04,4.2987041525e-04
4.0144000000e-02,3.0904491723e-04,4.2862397095e-04
4.1144000000e-02,3.0872397474e-04,4.2980329454e-04
4.2144000000e-02,3.0910727219e-04,4.2839754315e-04
4.3144000000e-02,3.0891809729e-04,4.2678133468e-04
4.4144000000e-02,3.1044528441e-04,4.2725358071e-04
4.5144000000e-02,3.0883529689e-04,4.2784409743e-04
4.6144000000e-02,3.0602619518e-04,4.2966825276e-04
4.7144000000e-02,3.0581104511e-04,4.2851977923e-04
4.8144000000e-02,3.0929400964e-04,4.2945994210e-04
