# Saved on 2025-07-21T13:49:51.299180
# Name: Shreenidhi
# Sample_ID: Batch6_Sample6_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000000
#   Max_Voltage: 7
#   IComp: 1e-06
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0013
#   max_gtarget: 0.0018
#   num_level: 6
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.9
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S),Conductance_Target_4 (S)
1.4400000000e-04,1.2984225759e-03,1.3991516607e-03,1.4961432316e-03,1.6006841906e-03
1.1440000000e-03,1.2992144912e-03,1.3982724340e-03,1.4969476615e-03,1.6007878003e-03
2.1440000000e-03,1.2982473709e-03,1.3993955508e-03,1.4978805848e-03,1.6010394029e-03
3.1440000000e-03,1.3001290790e-03,1.4005009143e-03,1.4971126802e-03,1.6011825937e-03
4.1440000000e-03,1.2996242731e-03,1.3986404520e-03,1.4984165318e-03,1.6004347708e-03
5.1440000000e-03,1.2993930432e-03,1.3979563664e-03,1.4980624837e-03,1.6010522086e-03
6.1440000000e-03,1.3019093603e-03,1.3980075892e-03,1.4980435662e-03,1.6009566025e-03
7.1440000000e-03,1.2986121874e-03,1.3983763347e-03,1.4969096810e-03,1.6012383276e-03
8.1440000000e-03,1.3000342005e-03,1.4001013187e-03,1.4980044216e-03,1.5990290558e-03
9.1440000000e-03,1.2999928731e-03,1.3979116920e-03,1.4968837786e-03,1.6003365454e-03
1.0144000000e-02,1.2995832367e-03,1.3992455206e-03,1.4964945149e-03,1.6007167869e-03
1.1144000000e-02,1.2995737779e-03,1.3987410057e-03,1.4959681721e-03,1.5999726020e-03
1.2144000000e-02,1.3006072550e-03,1.3992741879e-03,1.4966093295e-03,1.6007054364e-03
1.3144000000e-02,1.3000259059e-03,1.3990781736e-03,1.4971205383e-03,1.6000434698e-03
1.4144000000e-02,1.3004532957e-03,1.3990524167e-03,1.4972177451e-03,1.5992370027e-03
1.5144000000e-02,1.2988576782e-03,1.3987236889e-03,1.4973215002e-03,1.6007809609e-03
1.6144000000e-02,1.3012427371e-03,1.3996762573e-03,1.4978728723e-03,1.6013921413e-03
1.7144000000e-02,1.2982376211e-03,1.3981646043e-03,1.4971152996e-03,1.6011338448e-03
1.8144000000e-02,1.3016880257e-03,1.3999568182e-03,1.4970100892e-03,1.6011270054e-03
1.9144000000e-02,1.2997972954e-03,1.3994565234e-03,1.4964950969e-03,1.6002850316e-03
2.0144000000e-02,1.2996433361e-03,1.4005474804e-03,1.4979894331e-03,1.5999152674e-03
2.1144000000e-02,1.2998229067e-03,1.4011039457e-03,1.4971911150e-03,1.6003742348e-03
2.2144000000e-02,1.2973180856e-03,1.3996825146e-03,1.4992778597e-03,1.6007560771e-03
2.3144000000e-02,1.2990413234e-03,1.4005528647e-03,1.4977710089e-03,1.6002659686e-03
2.4144000000e-02,1.2993159180e-03,1.3996979396e-03,1.4985111193e-03,1.5998583694e-03
2.5144000000e-02,1.3006014342e-03,1.3996257621e-03,1.4976329112e-03,1.6003428027e-03
2.6144000000e-02,1.2995190627e-03,1.3998222130e-03,1.4988302428e-03,1.6012483684e-03
2.7144000000e-02,1.3001599291e-03,1.4005586854e-03,1.4974760415e-03,1.6001689073e-03
2.8144000000e-02,1.3015622972e-03,1.3986892009e-03,1.4972330246e-03,1.6001406766e-03
2.9144000000e-02,1.3004337961e-03,1.3974984176e-03,1.4980911510e-03,1.6013487766e-03
3.0144000000e-02,1.2990990945e-03,1.3982728706e-03,1.4972659119e-03,1.6009579122e-03
3.1144000000e-02,1.3001968910e-03,1.3978075003e-03,1.4978344552e-03,1.6009075625e-03
3.2144000000e-02,1.2994898134e-03,1.3984768884e-03,1.4983495930e-03,1.6016341397e-03
3.3144000000e-02,1.2990202231e-03,1.3989700528e-03,1.4977682440e-03,1.6014337598e-03
3.4144000000e-02,1.2995069847e-03,1.3982215023e-03,1.4989846386e-03,1.6007902741e-03
3.5144000000e-02,1.2990474352e-03,1.3985294208e-03,1.4973257203e-03,1.6007701925e-03
3.6144000000e-02,1.3008969836e-03,1.3996251801e-03,1.4984906011e-03,1.6009733372e-03
3.7144000000e-02,1.2996580335e-03,1.3977455092e-03,1.4975754311e-03,1.6005148063e-03
3.8144000000e-02,1.3004064385e-03,1.3977226627e-03,1.4981121058e-03,1.6000674805e-03
3.9144000000e-02,1.2997029989e-03,1.3997283531e-03,1.4967705647e-03,1.6015110305e-03
4.0144000000e-02,1.3010945986e-03,1.4001272211e-03,1.4977408864e-03,1.6012770357e-03
4.1144000000e-02,1.2992101256e-03,1.4001887757e-03,1.4971120981e-03,1.6014926950e-03
4.2144000000e-02,1.2997878366e-03,1.3997359201e-03,1.4964496950e-03,1.6016743029e-03
4.3144000000e-02,1.2988956587e-03,1.3977980416e-03,1.4967293828e-03,1.6007413797e-03
4.4144000000e-02,1.3004508219e-03,1.3993009634e-03,1.4970959455e-03,1.6015389701e-03
4.5144000000e-02,1.2995269208e-03,1.3982132077e-03,1.4977033425e-03,1.6008295643e-03
4.6144000000e-02,1.3016870071e-03,1.3987769489e-03,1.4980719425e-03,1.6007108206e-03
4.7144000000e-02,1.2992540724e-03,1.3982168457e-03,1.4978290710e-03,1.6014443827e-03
4.8144000000e-02,1.2991823314e-03,1.3977549679e-03,1.4980700507e-03,1.6002367192e-03
4.9144000000e-02,1.2987581431e-03,1.3971040607e-03,1.4977670799e-03,1.6002927441e-03
5.0144000000e-02,1.3001605112e-03,1.3969805150e-03,1.4978602121e-03,1.5999845346e-03
5.1144000000e-02,1.2996682199e-03,1.3989397848e-03,1.4974633814e-03,1.5993983834e-03
5.2144000000e-02,1.3000276522e-03,1.3990284060e-03,1.4983308211e-03,1.6005594807e-03
5.3144000000e-02,1.2994353892e-03,1.3990144362e-03,1.4975028171e-03,1.5993644774e-03
5.4144000000e-02,1.3003204367e-03,1.3984361431e-03,1.4976962120e-03,1.6002725170e-03
5.5144000000e-02,1.3002711057e-03,1.3988799765e-03,1.4997272228e-03,1.6008652165e-03
5.6144000000e-02,1.3002612104e-03,1.3968373241e-03,1.4976311650e-03,1.6006693477e-03
5.7144000000e-02,1.2996343139e-03,1.3993796892e-03,1.4976056991e-03,1.6013105051e-03
5.8144000000e-02,1.3004452921e-03,1.4002308308e-03,1.4980832930e-03,1.6002483608e-03
5.9144000000e-02,1.3014522847e-03,1.3991100423e-03,1.4963623835e-03,1.6001098265e-03
6.0144000000e-02,1.2992162374e-03,1.3979815412e-03,1.4961327543e-03,1.6002912889e-03
6.1144000000e-02,1.2995353609e-03,1.4007426216e-03,1.4966291201e-03,1.6006645455e-03
6.2144000000e-02,1.2991280528e-03,1.3987382408e-03,1.4972036297e-03,1.5986597282e-03
6.3144000000e-02,1.2997386511e-03,1.3985816622e-03,1.4976294187e-03,1.5995730064e-03
6.4144000000e-02,1.2997329759e-03,1.3983456302e-03,1.4969707991e-03,1.6009033425e-03
6.5144000000e-02,1.2991009862e-03,1.3979041250e-03,1.4971905330e-03,1.5994826390e-03
6.6144000000e-02,1.3004337961e-03,1.3984313409e-03,1.4970212942e-03,1.6012058768e-03
6.7144000000e-02,1.3008885435e-03,1.3984671386e-03,1.4979265688e-03,1.6013118147e-03
6.8144000000e-02,1.2994774443e-03,1.3989486615e-03,1.4972967620e-03,1.6004404461e-03
6.9144000000e-02,1.3001161278e-03,1.3984125690e-03,1.4972110512e-03,1.6003711789e-03
7.0144000000e-02,1.2994704593e-03,1.3993112952e-03,1.4963377907e-03,1.6005449288e-03
7.1144000000e-02,1.2993319251e-03,1.4003460819e-03,1.4969476615e-03,1.6003401834e-03
7.2144000000e-02,1.2981024338e-03,1.3996845519e-03,1.4955818187e-03,1.6002573830e-03
7.3144000000e-02,1.2992057600e-03,1.3993436005e-03,1.4964926231e-03,1.5994597925e-03
7.4144000000e-02,1.2998848979e-03,1.4001449745e-03,1.4964517322e-03,1.6000015603e-03
7.5144000000e-02,1.2992639677e-03,1.3999297516e-03,1.4963354624e-03,1.6009034880e-03
7.6144000000e-02,1.2992142001e-03,1.4005308913e-03,1.4971585188e-03,1.6011564003e-03
7.7144000000e-02,1.2998693273e-03,1.3986586418e-03,1.4968260075e-03,1.6005398356e-03
7.8144000000e-02,1.3000474428e-03,1.3987989223e-03,1.4961624402e-03,1.6011760454e-03
7.9144000000e-02,1.2992598931e-03,1.4009141887e-03,1.4962606656e-03,1.6016117297e-03
8.0144000000e-02,1.2983943452e-03,1.4013849432e-03,1.4961669513e-03,1.6005884390e-03
8.1144000000e-02,1.2991850963e-03,1.4016046771e-03,1.4965501032e-03,1.5995025751e-03
8.2144000000e-02,1.2993763085e-03,1.4012439351e-03,1.4981674030e-03,1.5994577552e-03
8.3144000000e-02,1.2988346862e-03,1.3988658611e-03,1.4970909979e-03,1.6003797646e-03
8.4144000000e-02,1.3008789392e-03,1.3976471382e-03,1.4973749057e-03,1.6003649216e-03
8.5144000000e-02,1.2993311975e-03,1.3985564874e-03,1.4972557256e-03,1.6005930956e-03
8.6144000000e-02,1.2992440315e-03,1.3988418505e-03,1.4972705685e-03,1.5993279521e-03
8.7144000000e-02,1.2993617565e-03,1.3982589007e-03,1.4976727834e-03,1.6008474631e-03
8.8144000000e-02,1.2992654229e-03,1.3976926857e-03,1.4977464161e-03,1.6012758715e-03
8.9144000000e-02,1.2992756092e-03,1.4003290562e-03,1.4975879458e-03,1.5990324027e-03
9.0144000000e-02,1.3001008483e-03,1.4002514945e-03,1.4985275629e-03,1.5989634267e-03
9.1144000000e-02,1.2992406846e-03,1.4013174223e-03,1.4988650219e-03,1.6006747319e-03
9.2144000000e-02,1.2990017422e-03,1.3992040476e-03,1.4978194667e-03,1.6004270583e-03
9.3144000000e-02,1.2991124822e-03,1.3991384185e-03,1.4987196482e-03,1.5999418974e-03
9.4144000000e-02,1.2992748816e-03,1.3983392273e-03,1.4987344912e-03,1.5992220142e-03
9.5144000000e-02,1.3006538211e-03,1.3988775027e-03,1.4999687846e-03,1.6002294433e-03
9.6144000000e-02,1.2994767167e-03,1.3983072131e-03,1.4983130677e-03,1.6003086057e-03
9.7144000000e-02,1.2983166380e-03,1.3983430108e-03,1.4979796833e-03,1.6011690605e-03
9.8144000000e-02,1.2990135292e-03,1.3983824465e-03,1.5004047600e-03,1.5992560657e-03
9.9144000000e-02,1.2992587290e-03,1.3986795966e-03,1.4981182176e-03,1.6005695215e-03
1.0014400000e-01,1.2992667325e-03,1.3980490621e-03,1.4983824803e-03,1.6023527132e-03
1.0114400000e-01,1.2995590805e-03,1.3982348901e-03,1.4982129505e-03,1.5995399735e-03
1.0214400000e-01,1.2984874775e-03,1.3987263083e-03,1.4979351545e-03,1.5990744578e-03
1.0314400000e-01,1.3001510524e-03,1.3996752386e-03,1.4981397544e-03,1.6007349768e-03
1.0414400000e-01,1.3000407489e-03,1.3983224926e-03,1.4993126388e-03,1.5993526904e-03
1.0514400000e-01,1.2993057317e-03,1.3989474974e-03,1.4999181440e-03,1.5989989333e-03
1.0614400000e-01,1.2998691818e-03,1.3995691552e-03,1.4991626085e-03,1.6007423983e-03
1.0714400000e-01,1.2999068713e-03,1.3999374642e-03,1.4978153922e-03,1.6013256391e-03
1.0814400000e-01,1.3001702609e-03,1.4003171236e-03,1.4983557048e-03,1.6009042156e-03
1.0914400000e-01,1.2988141680e-03,1.4005707635e-03,1.4982906578e-03,1.6009819228e-03
1.1014400000e-01,1.2997031445e-03,1.3994720939e-03,1.4972945792e-03,1.6010049148e-03
1.1114400000e-01,1.3015446893e-03,1.4000064402e-03,1.4981231652e-03,1.5997818264e-03
1.1214400000e-01,1.2973205594e-03,1.4006979472e-03,1.4984072186e-03,1.6003167548e-03
1.1314400000e-01,1.2983359920e-03,1.4019060472e-03,1.4988603652e-03,1.6004560166e-03
1.1414400000e-01,1.2987619266e-03,1.4008970174e-03,1.4995211677e-03,1.5998924209e-03
1.1514400000e-01,1.2975287973e-03,1.4026589633e-03,1.4982571884e-03,1.6016555310e-03
1.1614400000e-01,1.2990989489e-03,1.3998959912e-03,1.4976649254e-03,1.5994178830e-03
1.1714400000e-01,1.3004821085e-03,1.3992810273e-03,1.4983388246e-03,1.6006860824e-03
1.1814400000e-01,1.2982735643e-03,1.3998812938e-03,1.4979566913e-03,1.6003937344e-03
1.1914400000e-01,1.2981746113e-03,1.4003241085e-03,1.4978104446e-03,1.6006184160e-03
1.2014400000e-01,1.2982476619e-03,1.4006480342e-03,1.4968038886e-03,1.6005068028e-03
1.2114400000e-01,1.2998162128e-03,1.4004780678e-03,1.4979339903e-03,1.6009046522e-03
1.2214400000e-01,1.2988105300e-03,1.4002893295e-03,1.4969003678e-03,1.6005829093e-03
1.2314400000e-01,1.2971830438e-03,1.4004779223e-03,1.4986291353e-03,1.5999366587e-03
1.2414400000e-01,1.2989358220e-03,1.4004745753e-03,1.4979949628e-03,1.6006831720e-03
1.2514400000e-01,1.3000797480e-03,1.3992875756e-03,1.4979732805e-03,1.6008040984e-03
1.2614400000e-01,1.2997646991e-03,1.4004769037e-03,1.4980738342e-03,1.6017451708e-03
1.2714400000e-01,1.2995651923e-03,1.4002916578e-03,1.4977104729e-03,1.6001975746e-03
1.2814400000e-01,1.3000215404e-03,1.4022745017e-03,1.4985962480e-03,1.5994541172e-03
1.2914400000e-01,1.3003668573e-03,1.4024671691e-03,1.4973923680e-03,1.6004839563e-03
1.3014400000e-01,1.3007578673e-03,1.4020263916e-03,1.4968935284e-03,1.6006537771e-03
1.3114400000e-01,1.2994369899e-03,1.4002811804e-03,1.4972618374e-03,1.6005334328e-03
1.3214400000e-01,1.2994257850e-03,1.4019181253e-03,1.4985258167e-03,1.6013313143e-03
1.3314400000e-01,1.2990487448e-03,1.4004533296e-03,1.4993222430e-03,1.6003665223e-03
1.3414400000e-01,1.2989077368e-03,1.3997769565e-03,1.4992439537e-03,1.6011852131e-03
1.3514400000e-01,1.2987153605e-03,1.3998281793e-03,1.4989587362e-03,1.6008611419e-03
1.3614400000e-01,1.2982792396e-03,1.3975310139e-03,1.4993043442e-03,1.6006961232e-03
1.3714400000e-01,1.2975491700e-03,1.3979140203e-03,1.4988501789e-03,1.6008292732e-03
1.3814400000e-01,1.2978239101e-03,1.4001224190e-03,1.4979935077e-03,1.5997872106e-03
1.3914400000e-01,1.3007652888e-03,1.4006144193e-03,1.4979518892e-03,1.6006857913e-03
1.4014400000e-01,1.2982303451e-03,1.4002287935e-03,1.4993731747e-03,1.6002758639e-03
1.4114400000e-01,1.2985902140e-03,1.3989098079e-03,1.4973265934e-03,1.6000721371e-03
1.4214400000e-01,1.2992310803e-03,1.3988281717e-03,1.4991934586e-03,1.6002562188e-03
1.4314400000e-01,1.2994981080e-03,1.3988021237e-03,1.4981275308e-03,1.5997901210e-03
1.4414400000e-01,1.2978751329e-03,1.3999400835e-03,1.4979996195e-03,1.6008879174e-03
1.4514400000e-01,1.2997523299e-03,1.4001828094e-03,1.4973130601e-03,1.6002017946e-03
1.4614400000e-01,1.2985886133e-03,1.4005062985e-03,1.4986231690e-03,1.6003003111e-03
1.4714400000e-01,1.2982677436e-03,1.4003606339e-03,1.4971896599e-03,1.5994287969e-03
1.4814400000e-01,1.3004614448e-03,1.3991817832e-03,1.4990614727e-03,1.5986913058e-03
1.4914400000e-01,1.2999144383e-03,1.3999242219e-03,1.4990048658e-03,1.5994391288e-03
1.5014400000e-01,1.2994505232e-03,1.3996235793e-03,1.4985092275e-03,1.5992406406e-03
1.5114400000e-01,1.2984675413e-03,1.3994149049e-03,1.4980284323e-03,1.5999645984e-03
1.5214400000e-01,1.2985015928e-03,1.3992721506e-03,1.4987165923e-03,1.6003775818e-03
1.5314400000e-01,1.2997392332e-03,1.3990748266e-03,1.4994204685e-03,1.6007793602e-03
1.5414400000e-01,1.2981510372e-03,1.3991759624e-03,1.4982417633e-03,1.6003251949e-03
1.5514400000e-01,1.2982187036e-03,1.3989940635e-03,1.4974093938e-03,1.5989404346e-03
1.5614400000e-01,1.2982283079e-03,1.3986458362e-03,1.4991925855e-03,1.5997870651e-03
1.5714400000e-01,1.2978211453e-03,1.3991002925e-03,1.4988290786e-03,1.6000134929e-03
1.5814400000e-01,1.2984269415e-03,1.3991197920e-03,1.4985108282e-03,1.5997895389e-03
1.5914400000e-01,1.2990800315e-03,1.3991279411e-03,1.4981928689e-03,1.6005949874e-03
1.6014400000e-01,1.2989854440e-03,1.3987570128e-03,1.4993939840e-03,1.5990121756e-03
1.6114400000e-01,1.2987217633e-03,1.3997302449e-03,1.4999862469e-03,1.5996072034e-03
1.6214400000e-01,1.2974745187e-03,1.3998406939e-03,1.4992272190e-03,1.5997735318e-03
1.6314400000e-01,1.2996338774e-03,1.3996196503e-03,1.4977445244e-03,1.5995261492e-03
1.6414400000e-01,1.2992093980e-03,1.3984923135e-03,1.4980018022e-03,1.5987802180e-03
1.6514400000e-01,1.2978994346e-03,1.4000758529e-03,1.4974625083e-03,1.5999212337e-03
1.6614400000e-01,1.2998038437e-03,1.3991069864e-03,1.5004145098e-03,1.5994302521e-03
1.6714400000e-01,1.2990985124e-03,1.3993239554e-03,1.4991551870e-03,1.5989274834e-03
1.6814400000e-01,1.2995547149e-03,1.3985281112e-03,1.4994059165e-03,1.5990081010e-03
1.6914400000e-01,1.2986369256e-03,1.3991327432e-03,1.4982809080e-03,1.5999567404e-03
1.7014400000e-01,1.2986837828e-03,1.3980940275e-03,1.4989737247e-03,1.5996280126e-03
1.7114400000e-01,1.2988992967e-03,1.3985836995e-03,1.5000805433e-03,1.5991342661e-03
1.7214400000e-01,1.2990733376e-03,1.3994466281e-03,1.4991348144e-03,1.5980166791e-03
1.7314400000e-01,1.2992255506e-03,1.3990553271e-03,1.4989484043e-03,1.5990607790e-03
1.7414400000e-01,1.2984893692e-03,1.3984904217e-03,1.5002790315e-03,1.5996950970e-03
1.7514400000e-01,1.2999658065e-03,1.4000371448e-03,1.4992381330e-03,1.6001217591e-03
1.7614400000e-01,1.3005685469e-03,1.3986851263e-03,1.4996874961e-03,1.5988251835e-03
1.7714400000e-01,1.2996114674e-03,1.3990022126e-03,1.4981353888e-03,1.5987377265e-03
1.7814400000e-01,1.2997665908e-03,1.3984333782e-03,1.4984210429e-03,1.5999846801e-03
1.7914400000e-01,1.2994036661e-03,1.3983211829e-03,1.4995671518e-03,1.5995919239e-03
1.8014400000e-01,1.2991619587e-03,1.3982008386e-03,1.4989257033e-03,1.6015142319e-03
1.8114400000e-01,1.2992498523e-03,1.3988999126e-03,1.5013631491e-03,1.5997790615e-03
1.8214400000e-01,1.2986808724e-03,1.3991941523e-03,1.5005572641e-03,1.6003439669e-03
1.8314400000e-01,1.2984019122e-03,1.3981560187e-03,1.4990135969e-03,1.6001680342e-03
1.8414400000e-01,1.2996606529e-03,1.3971656153e-03,1.5003833687e-03,1.5999349125e-03
1.8514400000e-01,1.3001695334e-03,1.3974351168e-03,1.4992951765e-03,1.5998815070e-03
1.8614400000e-01,1.3010235853e-03,1.3977703929e-03,1.5007745242e-03,1.5992786211e-03
1.8714400000e-01,1.3010698603e-03,1.3997677888e-03,1.4997692779e-03,1.5999181778e-03
1.8814400000e-01,1.2997369049e-03,1.3982945529e-03,1.4990067575e-03,1.5989481471e-03
1.8914400000e-01,1.3003683125e-03,1.3988719729e-03,1.4981075947e-03,1.5998839808e-03
1.9014400000e-01,1.2994119606e-03,1.3988208957e-03,1.4993132208e-03,1.5989679378e-03
1.9114400000e-01,1.3002728519e-03,1.3991401647e-03,1.4993220975e-03,1.6005458019e-03
1.9214400000e-01,1.3002869673e-03,1.3989800937e-03,1.5003330191e-03,1.5994989371e-03
1.9314400000e-01,1.3008201495e-03,1.3989732543e-03,1.4997214021e-03,1.6001076438e-03
1.9414400000e-01,1.2996002624e-03,1.3980735093e-03,1.4991365606e-03,1.5983227058e-03
1.9514400000e-01,1.2989413517e-03,1.3993085304e-03,1.4994386584e-03,1.5991926193e-03
1.9614400000e-01,1.3000598119e-03,1.3984508405e-03,1.5005115711e-03,1.5987741062e-03
1.9714400000e-01,1.2992831762e-03,1.3982484234e-03,1.4991749777e-03,1.5989757958e-03
1.9814400000e-01,1.2991805852e-03,1.3971151202e-03,1.4987478789e-03,1.6000692267e-03
1.9914400000e-01,1.2999988394e-03,1.3979636424e-03,1.5002100554e-03,1.6003481869e-03
2.0014400000e-01,1.2998371676e-03,1.3991969172e-03,1.4998458209e-03,1.6007672821e-03
2.0114400000e-01,1.3005328947e-03,1.3983898680e-03,1.5002732107e-03,1.6003580822e-03
2.0214400000e-01,1.2992756092e-03,1.3981832308e-03,1.5005693422e-03,1.5982078912e-03
2.0314400000e-01,1.2991647236e-03,1.3978444622e-03,1.5001672728e-03,1.5998615709e-03
2.0414400000e-01,1.3005880464e-03,1.3978130301e-03,1.4997141261e-03,1.5992503904e-03
2.0514400000e-01,1.3004719221e-03,1.3965448306e-03,1.4994422963e-03,1.6005869838e-03
2.0614400000e-01,1.2997927843e-03,1.3980969379e-03,1.4987977920e-03,1.6002627672e-03
2.0714400000e-01,1.3015056902e-03,1.3974770263e-03,1.4993420336e-03,1.6004493227e-03
2.0814400000e-01,1.3004675566e-03,1.3989674335e-03,1.4989142073e-03,1.5995433205e-03
2.0914400000e-01,1.2980231259e-03,1.3986762497e-03,1.4992436627e-03,1.6001916083e-03
2.1014400000e-01,1.3005519577e-03,1.3996229973e-03,1.4991310309e-03,1.5989923850e-03
2.1114400000e-01,1.3002901687e-03,1.3994018082e-03,1.4986952010e-03,1.5995548165e-03
2.1214400000e-01,1.3003988715e-03,1.3993788161e-03,1.4990751515e-03,1.5994884598e-03
2.1314400000e-01,1.3008102542e-03,1.3997907809e-03,1.4991994249e-03,1.5996185539e-03
2.1414400000e-01,1.2994227291e-03,1.3996199414e-03,1.4984809968e-03,1.6005751968e-03
2.1514400000e-01,1.2991286349e-03,1.3988986029e-03,1.4995141828e-03,1.5998943127e-03
2.1614400000e-01,1.2992367556e-03,1.3978253992e-03,1.4979325351e-03,1.6000129108e-03
2.1714400000e-01,1.3004559150e-03,1.3973384921e-03,1.4984783775e-03,1.6002920165e-03
2.1814400000e-01,1.2995215366e-03,1.3987849525e-03,1.4966382878e-03,1.6004532517e-03
2.1914400000e-01,1.3006506197e-03,1.3979227515e-03,1.4979751722e-03,1.6005287762e-03
