# Saved on 2025-07-21T13:49:51.326316
# Name: Shreenidhi
# Sample_ID: Batch6_Sample6_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000000
#   Max_Voltage: 7
#   IComp: 1e-06
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0013
#   max_gtarget: 0.0018
#   num_level: 6
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.9
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S),Conductance_Target_4 (S)
1.4400000000e-04,1.2990011601e-03,1.3981203665e-03,1.5010105562e-03,1.5957407595e-03
1.0001440000e+00,1.2971970136e-03,1.4020486560e-03,1.4992314391e-03,1.5942468599e-03
2.0001440000e+00,1.2965945643e-03,1.4031458704e-03,1.4990847558e-03,1.5950259694e-03
3.0001440000e+00,1.2979129679e-03,1.4037346409e-03,1.4987721806e-03,1.5959433222e-03
4.0001440000e+00,1.2965679343e-03,1.3997519272e-03,1.4969169570e-03,1.5954050468e-03
5.0001440000e+00,1.2985079957e-03,1.3985918486e-03,1.4988744806e-03,1.5957062715e-03
6.0001440000e+00,1.3055304589e-03,1.4005030971e-03,1.4989481133e-03,1.5954402625e-03
7.0001440000e+00,1.2973151752e-03,1.3990972366e-03,1.4986268070e-03,1.5954875562e-03
8.0001440000e+00,1.3068679255e-03,1.3965676771e-03,1.4996972459e-03,1.5951329260e-03
9.0001440000e+00,1.3025470253e-03,1.3989297440e-03,1.5001215797e-03,1.5958637232e-03
1.0000144000e+01,1.3116744231e-03,1.3992919412e-03,1.5000118583e-03,1.5952404647e-03
1.1000144000e+01,1.3062787184e-03,1.3985406258e-03,1.4990063210e-03,1.5945007908e-03
1.2000144000e+01,1.3082922669e-03,1.3979176583e-03,1.4992408978e-03,1.5938631259e-03
1.3000144000e+01,1.2910096848e-03,1.3974255126e-03,1.4976704551e-03,1.5954887203e-03
1.4000144000e+01,1.2917580898e-03,1.3974976900e-03,1.5004274610e-03,1.5966563660e-03
1.5000144000e+01,1.2945527851e-03,1.3987287821e-03,1.4977545652e-03,1.5965006605e-03
1.6000144000e+01,1.2908196368e-03,1.3964691607e-03,1.4975010708e-03,1.5946807980e-03
1.7000144000e+01,1.2908082863e-03,1.3991704327e-03,1.4978715626e-03,1.5943551261e-03
1.8000144000e+01,1.2915808475e-03,1.4015438501e-03,1.4969313634e-03,1.5959124721e-03
1.9000144000e+01,1.2934616825e-03,1.3968112762e-03,1.4964342699e-03,1.5958851145e-03
2.0000144000e+01,1.2937988504e-03,1.3973412570e-03,1.4977603860e-03,1.5950409579e-03
2.1000144000e+01,1.2934546976e-03,1.3984182442e-03,1.4984419977e-03,1.5939467994e-03
2.2000144000e+01,1.2909488578e-03,1.3960609795e-03,1.4988378098e-03,1.5943274775e-03
2.3000144000e+01,1.2965418864e-03,1.3971142471e-03,1.5002991131e-03,1.5937208082e-03
2.4000144000e+01,1.2911224621e-03,1.3963493984e-03,1.4982535504e-03,1.5936316049e-03
2.5000144000e+01,1.2901614537e-03,1.3968159328e-03,1.4988299517e-03,1.5932538372e-03
2.6000144000e+01,1.2911186786e-03,1.3986395788e-03,1.4998107508e-03,1.5952174726e-03
2.7000144000e+01,1.2904594769e-03,1.3988558203e-03,1.4983116125e-03,1.5934134717e-03
2.8000144000e+01,1.2935076666e-03,1.3978563948e-03,1.4980968263e-03,1.5957631695e-03
2.9000144000e+01,1.2930696539e-03,1.4000362717e-03,1.5013804659e-03,1.5938303841e-03
