# Saved on 2025-07-21T13:33:50.072277
# Name: Shreenidhi
# Sample_ID: Batch6_Sample6_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000000
#   Max_Voltage: 7
#   IComp: 1e-06
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.001
#   max_gtarget: 0.0012
#   num_level: 3
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1000.00 uS,Conductance_Target_1100.00 uS,Conductance_Target_1200.00 uS
1.4400000000e-04,9.9426906672e-04,1.1051064212e-03,1.1985153105e-03
1.1440000000e-03,9.9445525848e-04,1.1019422527e-03,1.2012488878e-03
2.1440000000e-03,9.9418946775e-04,1.1038675439e-03,1.1988573533e-03
3.1440000000e-03,9.9478762422e-04,1.1057889787e-03,1.1980621639e-03
4.1440000000e-03,9.9346616480e-04,1.1051812908e-03,1.1992001237e-03
5.1440000000e-03,9.9370074167e-04,1.1063491547e-03,1.1981397256e-03
6.1440000000e-03,9.9425000371e-04,1.1059420649e-03,1.1977938266e-03
7.1440000000e-03,9.9439748737e-04,1.1034210911e-03,1.1984035518e-03
8.1440000000e-03,9.9483469967e-04,1.1056280346e-03,1.1966926832e-03
9.1440000000e-03,9.9461154605e-04,1.1050127068e-03,1.1950243061e-03
1.0144000000e-02,9.9460572528e-04,1.1041227117e-03,1.1982607248e-03
1.1144000000e-02,9.9458455225e-04,1.1014768825e-03,1.1998033006e-03
1.2144000000e-02,9.9482545920e-04,1.0989417933e-03,1.1986106983e-03
1.3144000000e-02,9.9503784440e-04,1.1012886534e-03,1.1974671361e-03
1.4144000000e-02,9.9497119663e-04,1.1035422358e-03,1.1993842054e-03
1.5144000000e-02,9.9442171631e-04,1.1024665582e-03,1.1987784819e-03
1.6144000000e-02,9.9452350696e-04,1.1030615860e-03,1.1988248298e-03
1.7144000000e-02,9.9384975329e-04,1.1042512779e-03,1.1992231157e-03
1.8144000000e-02,9.9513592431e-04,1.1040148820e-03,1.1999662092e-03
1.9144000000e-02,9.9445525848e-04,1.1023805564e-03,1.1996802641e-03
2.0144000000e-02,9.9431934359e-04,1.0992386524e-03,1.2006262114e-03
2.1144000000e-02,9.9476914329e-04,1.0996753554e-03,1.1975906091e-03
2.2144000000e-02,9.9403965578e-04,1.1025553249e-03,1.1995073874e-03
2.3144000000e-02,9.9450335256e-04,1.1030118912e-03,1.1971523054e-03
2.4144000000e-02,9.9442630017e-04,1.1056321091e-03,1.1978054681e-03
2.5144000000e-02,9.9417549791e-04,1.1045653810e-03,1.1976160022e-03
2.6144000000e-02,9.9475735624e-04,1.1040171375e-03,1.2007090118e-03
2.7144000000e-02,9.9471842987e-04,1.1043893755e-03,1.1958873802e-03
2.8144000000e-02,9.9442113424e-04,1.1044589337e-03,1.1946753511e-03
2.9144000000e-02,9.9429635156e-04,1.1032310431e-03,1.1977877875e-03
3.0144000000e-02,9.9485761893e-04,1.1047306907e-03,1.1988006008e-03
3.1144000000e-02,9.9460135971e-04,1.1040153186e-03,1.1987129255e-03
3.2144000000e-02,9.9481068901e-04,1.1048184388e-03,1.1974756490e-03
3.3144000000e-02,9.9420234619e-04,1.1048733722e-03,1.1981094576e-03
3.4144000000e-02,9.9478776974e-04,1.1052536865e-03,1.1983724835e-03
3.5144000000e-02,9.9463555671e-04,1.1047528096e-03,1.1981260468e-03
3.6144000000e-02,9.9467193650e-04,1.1046745203e-03,1.1992444342e-03
