# Saved on 2025-07-21T13:19:11.369036
# Name: Shreenidhi
# Sample_ID: Batch6_Sample6_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000000
#   Max_Voltage: 7
#   IComp: 1e-06
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0009
#   num_level: 3
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_700.00 uS,Conductance_Target_800.00 uS,Conductance_Target_900.00 uS
1.4400000000e-04,7.0795409556e-04,8.0765821622e-04,9.0734974947e-04
1.0001440000e+00,7.0667323598e-04,8.0784055172e-04,9.0755187557e-04
2.0001440000e+00,7.0898793638e-04,8.0869351223e-04,9.0762528998e-04
3.0001440000e+00,7.0950685767e-04,8.0824371253e-04,9.0661611466e-04
4.0001440000e+00,7.0737973147e-04,8.0805788457e-04,9.0668923804e-04
5.0001440000e+00,7.0961323217e-04,8.0730038462e-04,9.0693814855e-04
6.0001440000e+00,7.1049616963e-04,8.0749603512e-04,9.0550187451e-04
7.0001440000e+00,7.0814006904e-04,8.0821577285e-04,9.0645517048e-04
8.0001440000e+00,7.0899463026e-04,8.0654070189e-04,9.0539768280e-04
9.0001440000e+00,7.0766967838e-04,8.0695077486e-04,9.0597466624e-04
1.0000144000e+01,7.0811707701e-04,8.0665311543e-04,9.0626672318e-04
1.1000144000e+01,7.0745045377e-04,8.0755948147e-04,9.0587127488e-04
1.2000144000e+01,7.0627582318e-04,8.0725811131e-04,9.0650755737e-04
1.3000144000e+01,7.0483954914e-04,8.0770223576e-04,9.0691333753e-04
1.4000144000e+01,7.0810223406e-04,8.0826626800e-04,9.0713045211e-04
1.5000144000e+01,7.0746304118e-04,8.0760059063e-04,9.0690569778e-04
1.6000144000e+01,7.0728230639e-04,8.0699857790e-04,9.0499474027e-04
1.7000144000e+01,7.0704016252e-04,8.0711324699e-04,9.0548885055e-04
1.8000144000e+01,7.0748530561e-04,8.0661950051e-04,9.0557696240e-04
1.9000144000e+01,7.0730187872e-04,8.0767313193e-04,9.0529538284e-04
2.0000144000e+01,7.0727604907e-04,8.0716163211e-04,9.0590845502e-04
2.1000144000e+01,7.0725800470e-04,8.0939229520e-04,9.0617802925e-04
2.2000144000e+01,7.0717374911e-04,8.0619174696e-04,9.0784553322e-04
2.3000144000e+01,7.0556721766e-04,8.0679026723e-04,9.0749366791e-04
2.4000144000e+01,7.0726338890e-04,8.0700956460e-04,9.0621368145e-04
2.5000144000e+01,7.0787180448e-04,8.0708683527e-04,9.0565219580e-04
2.6000144000e+01,7.0806774602e-04,8.0789941421e-04,9.0730558441e-04
2.7000144000e+01,7.0873895311e-04,8.0744939623e-04,9.0740191808e-04
2.8000144000e+01,7.0883761509e-04,8.0706173321e-04,9.0651556093e-04
2.9000144000e+01,7.0721755037e-04,8.0746525782e-04,9.0731751698e-04
3.0000144000e+01,7.0895825047e-04,8.0902667833e-04,9.0712237579e-04
3.1000144000e+01,7.0767448051e-04,8.0780489952e-04,9.0672874649e-04
3.2000144000e+01,7.0778187364e-04,8.0684381828e-04,9.0642060968e-04
3.3000144000e+01,7.0757036156e-04,8.0725476437e-04,9.0735964477e-04
3.4000144000e+01,7.0749199949e-04,8.0885707575e-04,9.0631619969e-04
3.5000144000e+01,7.0729394793e-04,8.0772762885e-04,9.0668108896e-04
3.6000144000e+01,7.0848960604e-04,8.0661840911e-04,9.0635687229e-04
3.7000144000e+01,7.0713569585e-04,8.0584199168e-04,9.0693916718e-04
3.8000144000e+01,7.0793394116e-04,8.0691461335e-04,9.0616216767e-04
3.9000144000e+01,7.0894122473e-04,8.0663783592e-04,9.0608264145e-04
4.0000144000e+01,7.0609850809e-04,8.0594531028e-04,9.0625362645e-04
4.1000144000e+01,7.0659662015e-04,8.0631274614e-04,9.0658781119e-04
4.2000144000e+01,7.0748094004e-04,8.0655830970e-04,9.0512505267e-04
4.3000144000e+01,7.0753703767e-04,8.0584606621e-04,9.0675399406e-04
4.4000144000e+01,7.0964510087e-04,8.0779092968e-04,9.0585730504e-04
4.5000144000e+01,7.0773443440e-04,8.0817997514e-04,9.0731868113e-04
4.6000144000e+01,7.0845504524e-04,8.0660771346e-04,9.0722678578e-04
4.7000144000e+01,7.0785536082e-04,8.0728219473e-04,9.0684756287e-04
4.8000144000e+01,7.0779366069e-04,8.0786485341e-04,9.0609493782e-04
4.9000144000e+01,7.0827394666e-04,8.0594538304e-04,9.0616857051e-04
5.0000144000e+01,7.0797315857e-04,8.0749377958e-04,9.0533329058e-04
5.1000144000e+01,7.0773807238e-04,8.0584795796e-04,9.0663088486e-04
5.2000144000e+01,7.0813774073e-04,8.0682235421e-04,9.0709785582e-04
5.3000144000e+01,7.0666501415e-04,8.0767415056e-04,9.0577166702e-04
5.4000144000e+01,7.0858091931e-04,8.0653495388e-04,9.0618217655e-04
5.5000144000e+01,7.0636553573e-04,8.0738886027e-04,9.0632784122e-04
5.6000144000e+01,7.0634378062e-04,8.0594618339e-04,9.0689231001e-04
5.7000144000e+01,7.0903333835e-04,8.0696619989e-04,9.0611880296e-04
5.8000144000e+01,7.0617992606e-04,8.0712125055e-04,9.0746834758e-04
5.9000144000e+01,7.0827867603e-04,8.0677651567e-04,9.0718538559e-04
6.0000144000e+01,7.0801761467e-04,8.0609541328e-04,9.0691086370e-04
6.1000144000e+01,7.0738802606e-04,8.0662568507e-04,9.0648463811e-04
6.2000144000e+01,7.0920403232e-04,8.0651603639e-04,9.0691501100e-04
6.3000144000e+01,7.0938986028e-04,8.0622645328e-04,9.0760127932e-04
6.4000144000e+01,7.0749621955e-04,8.0619931396e-04,9.0694702521e-04
6.5000144000e+01,7.0761823736e-04,8.0490885011e-04,9.0589441243e-04
6.6000144000e+01,7.0724068792e-04,8.0700323451e-04,9.0656059911e-04
6.7000144000e+01,7.0892245276e-04,8.0685174908e-04,9.0645124146e-04
6.8000144000e+01,7.0766072895e-04,8.0621801317e-04,9.0636436653e-04
6.9000144000e+01,7.0846195740e-04,8.0492849520e-04,9.0654662927e-04
7.0000144000e+01,7.0707188570e-04,8.0833648099e-04,9.0702495072e-04
7.1000144000e+01,7.0776572102e-04,8.0550082203e-04,9.0684581664e-04
7.2000144000e+01,7.0747795689e-04,8.0547062680e-04,9.0622561402e-04
7.3000144000e+01,7.0758942456e-04,8.0475809227e-04,9.0624802397e-04
7.4000144000e+01,7.0832829806e-04,8.0602534581e-04,9.0650049970e-04
7.5000144000e+01,7.0688402047e-04,8.0542304204e-04,9.0603098215e-04
7.6000144000e+01,7.0672977017e-04,8.0597135820e-04,9.0773966804e-04
7.7000144000e+01,7.0739806688e-04,8.0616759078e-04,9.0717410785e-04
7.8000144000e+01,7.0610381954e-04,8.0402642197e-04,9.0747584181e-04
7.9000144000e+01,7.0677328040e-04,8.0514633737e-04,9.0801338956e-04
8.0000144000e+01,7.0698377385e-04,8.0582831288e-04,9.0621164418e-04
8.1000144000e+01,7.0822556154e-04,8.0439531303e-04,9.0739144071e-04
