# Saved on 2025-07-21T14:31:54.131052
# Name: Shreenidhi
# Sample_ID: Batch6_Sample9_F4_TPTE35
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000000
#   Max_Voltage: 7
#   IComp: 1e-06
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0007
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.9
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_400.00 uS,Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS
1.4400000000e-04,3.9106311306e-04,5.0468221161e-04,5.9806490754e-04,7.0407164458e-04
1.1440000000e-03,3.9318409108e-04,5.0305250625e-04,6.0129423218e-04,7.0452515502e-04
2.1440000000e-03,3.9402581024e-04,5.0579979870e-04,5.9950307332e-04,7.0347523433e-04
3.1440000000e-03,3.9341302909e-04,5.0300026487e-04,5.9941830841e-04,7.0444802986e-04
4.1440000000e-03,3.9434322389e-04,4.9834859965e-04,5.9981590312e-04,7.0370646426e-04
5.1440000000e-03,3.9460031985e-04,5.0284928875e-04,6.0036174546e-04,7.0370268077e-04
6.1440000000e-03,3.9628805098e-04,5.0040758651e-04,5.9765003243e-04,7.0333764597e-04
7.1440000000e-03,3.9421251131e-04,4.9959060561e-04,5.9936537582e-04,7.0294052421e-04
8.1440000000e-03,3.9328719140e-04,5.0404552894e-04,5.9975296608e-04,7.0371475886e-04
9.1440000000e-03,3.9341241063e-04,5.0028607802e-04,5.9760663135e-04,7.0366804721e-04
1.0144000000e-02,3.9281971112e-04,4.9942522310e-04,5.9817713918e-04,7.0358284574e-04
1.1144000000e-02,3.9378264773e-04,5.0013899454e-04,5.9762423916e-04,7.0532332757e-04
1.2144000000e-02,3.9257160097e-04,5.0007285608e-04,5.9785375925e-04,7.0436515671e-04
1.3144000000e-02,3.9259732148e-04,4.9924747145e-04,5.9815574787e-04,7.0494359534e-04
1.4144000000e-02,3.9318856579e-04,4.9916809076e-04,6.0063095589e-04,7.0358844823e-04
1.5144000000e-02,3.9339167415e-04,5.0362654292e-04,6.0098249378e-04,7.0492882514e-04
1.6144000000e-02,3.9324815589e-04,4.9877915444e-04,5.9941281506e-04,7.0562295150e-04
1.7144000000e-02,3.9275517338e-04,5.0237857067e-04,5.9778518334e-04,7.0479181886e-04
1.8144000000e-02,3.9251826820e-04,4.9961494369e-04,5.9904090449e-04,7.0349880843e-04
1.9144000000e-02,3.9298003685e-04,4.9979196774e-04,5.9965506807e-04,7.0382673584e-04
2.0144000000e-02,3.9269718400e-04,5.0193782954e-04,5.9703510487e-04,7.0428322942e-04
2.1144000000e-02,3.9200022002e-04,5.0305352488e-04,5.9805315686e-04,7.0480899012e-04
2.2144000000e-02,3.9256829041e-04,4.9641625083e-04,5.9913705627e-04,7.0397392847e-04
2.3144000000e-02,3.9187227230e-04,5.0074871979e-04,5.9951213188e-04,7.0308895374e-04
2.4144000000e-02,3.9225014916e-04,5.0072889280e-04,5.9763420722e-04,7.0390648034e-04
2.5144000000e-02,3.9193611883e-04,5.0009984989e-04,5.9788493672e-04,7.0529335062e-04
2.6144000000e-02,3.9447531890e-04,5.0337137509e-04,5.9870184486e-04,7.0434325607e-04
2.7144000000e-02,3.9188205847e-04,5.0240265409e-04,5.9935438912e-04,7.0444468292e-04
2.8144000000e-02,3.9245009248e-04,4.9482267059e-04,5.9865746152e-04,7.0436697570e-04
2.9144000000e-02,3.9250982809e-04,4.9974492867e-04,5.9851819969e-04,7.0396417868e-04
3.0144000000e-02,3.9270471461e-04,5.0299251598e-04,5.9793248511e-04,7.0452922955e-04
3.1144000000e-02,3.9308990381e-04,4.9983300414e-04,5.9979091020e-04,7.0333378972e-04
3.2144000000e-02,3.9278595068e-04,5.0372873375e-04,5.9702895669e-04,7.0490103099e-04
3.3144000000e-02,3.9282112994e-04,4.9997182941e-04,5.9690908529e-04,7.0378533565e-04
3.4144000000e-02,3.9068749174e-04,5.0069171266e-04,5.9934540332e-04,7.0438385592e-04
3.5144000000e-02,3.9342048694e-04,5.0015616580e-04,5.9649799368e-04,7.0434456575e-04
3.6144000000e-02,3.9271741116e-04,5.0354425184e-04,5.9717029217e-04,7.0546382631e-04
3.7144000000e-02,3.9282258513e-04,4.9988029787e-04,5.9937807237e-04,7.0597721788e-04
3.8144000000e-02,3.9280705096e-04,4.9457335990e-04,5.9664347646e-04,7.0449248597e-04
3.9144000000e-02,3.9205664507e-04,4.9993559514e-04,5.9729783970e-04,7.0415226219e-04
4.0144000000e-02,3.9226753870e-04,5.0328409998e-04,5.9767662606e-04,7.0449306804e-04
4.1144000000e-02,3.9314360038e-04,4.9966296501e-04,5.9967009292e-04,7.0371497713e-04
4.2144000000e-02,3.9356749767e-04,5.0292135711e-04,5.9711790527e-04,7.0539841545e-04
4.3144000000e-02,3.9269030822e-04,5.0381189794e-04,5.9730784415e-04,7.0496222179e-04
4.4144000000e-02,3.9316702896e-04,5.0006496167e-04,6.0098067479e-04,7.0477166446e-04
4.5144000000e-02,3.9285765524e-04,5.0380309403e-04,5.9986734414e-04,7.0363457780e-04
4.6144000000e-02,3.9316269977e-04,5.0286682381e-04,5.9994421463e-04,7.0467540354e-04
4.7144000000e-02,3.9284401282e-04,5.0016511523e-04,5.9898560721e-04,7.0434347435e-04
4.8144000000e-02,3.9124133764e-04,5.0207756431e-04,5.9661477280e-04,7.0292895543e-04
4.9144000000e-02,3.9137419662e-04,5.0205970183e-04,5.9796486312e-04,7.0314294135e-04
5.0144000000e-02,3.9282382204e-04,5.0319322327e-04,5.9911057178e-04,7.0420872362e-04
5.1144000000e-02,3.9282924263e-04,5.0082333473e-04,5.9728852648e-04,7.0298898208e-04
5.2144000000e-02,3.9329413994e-04,5.0254137022e-04,5.9945195972e-04,7.0458096161e-04
5.3144000000e-02,3.9274160372e-04,5.0333484978e-04,6.0045022110e-04,7.0528978540e-04
5.4144000000e-02,3.9334448957e-04,4.9961810873e-04,5.9906124079e-04,7.0494184911e-04
5.5144000000e-02,3.9189111703e-04,4.9979491450e-04,5.9881567722e-04,7.0538757427e-04
5.6144000000e-02,3.9186485083e-04,4.9641515943e-04,5.9578862420e-04,7.0531037636e-04
5.7144000000e-02,3.9308361011e-04,5.0338509027e-04,5.9943020460e-04,7.0412286732e-04
5.8144000000e-02,3.9318620111e-04,4.9903195759e-04,5.9628742747e-04,7.0460700954e-04
