# Saved on 2025-07-21T15:06:01.945702
# Name: Shreenidhi
# Sample_ID: Batch6_Sample9_F4_TPTE35
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000000
#   Max_Voltage: 7
#   IComp: 1e-06
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0012
#   num_level: 5
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.9
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_800.00 uS,Conductance_Target_900.00 uS,Conductance_Target_1000.00 uS,Conductance_Target_1100.00 uS,Conductance_Target_1200.00 uS
1.4400000000e-04,8.0233272456e-04,9.1022971901e-04,9.9180659163e-04,1.0975908663e-03,1.1985118181e-03
1.1440000000e-03,8.0146091932e-04,9.0863497462e-04,9.9132266769e-04,1.0989882867e-03,1.1985644960e-03
2.1440000000e-03,8.0065532529e-04,9.0988891316e-04,9.9191136542e-04,1.0978781211e-03,1.1988346523e-03
3.1440000000e-03,8.0118981714e-04,9.0884444944e-04,9.9188226159e-04,1.0984988330e-03,1.1981783609e-03
4.1440000000e-03,8.0090059782e-04,9.0972476755e-04,9.9169810710e-04,1.0974840552e-03,1.1993934459e-03
5.1440000000e-03,8.0269295722e-04,9.0835877927e-04,9.9235563539e-04,1.0927730909e-03,1.1998035916e-03
6.1440000000e-03,8.0259706010e-04,9.0787194495e-04,9.9228978797e-04,1.0987626592e-03,1.1987130711e-03
7.1440000000e-03,8.0269572209e-04,9.0786568762e-04,9.9197037343e-04,1.0972938617e-03,1.1988019833e-03
8.1440000000e-03,8.0162084487e-04,9.0933521278e-04,9.9195254734e-04,1.0975501209e-03,1.1987200560e-03
9.1440000000e-03,8.0204263213e-04,9.0882916993e-04,9.9160242826e-04,1.0976295744e-03,1.1989797349e-03
1.0144000000e-02,8.0077785242e-04,9.0917179477e-04,9.9213473732e-04,1.0942455265e-03,1.1985121091e-03
1.1144000000e-02,8.0150748545e-04,9.0813111456e-04,9.9169308669e-04,1.0976441263e-03,1.1988607002e-03
1.2144000000e-02,8.0171666923e-04,9.0736575658e-04,9.9214033980e-04,1.0980799561e-03,1.1983402510e-03
1.3144000000e-02,8.0211881141e-04,9.0895366156e-04,9.9139702797e-04,1.0945216491e-03,1.1983384320e-03
1.4144000000e-02,8.0054036516e-04,9.0773573902e-04,9.9153898191e-04,1.0974903125e-03,1.1978445400e-03
1.5144000000e-02,8.0136138422e-04,9.0766894573e-04,9.9155411590e-04,1.0939386993e-03,1.1978254770e-03
1.6144000000e-02,8.0262048868e-04,9.0775523859e-04,9.9117321952e-04,1.0946833208e-03,1.1979434203e-03
1.7144000000e-02,8.0231780885e-04,9.0724635811e-04,9.9107026472e-04,1.0940285574e-03,1.1971103959e-03
1.8144000000e-02,7.9998375440e-04,9.0745765192e-04,9.9016739114e-04,1.0943963571e-03,1.1981236457e-03
1.9144000000e-02,8.0128556874e-04,9.0784778877e-04,9.9112476164e-04,1.0972620657e-03,1.1981751595e-03
2.0144000000e-02,8.0219673691e-04,9.0692155936e-04,9.9063821835e-04,1.0969633877e-03,1.1985852325e-03
2.1144000000e-02,8.0248260929e-04,9.0865614766e-04,9.9042314105e-04,1.0979323270e-03,1.1979107512e-03
2.2144000000e-02,8.0138590420e-04,9.0816458396e-04,9.9044023955e-04,1.0932440637e-03,1.1979538976e-03
2.3144000000e-02,8.0111713032e-04,9.0788846137e-04,9.9101802334e-04,1.0971598385e-03,1.1984547018e-03
2.4144000000e-02,8.0204015831e-04,9.0799447207e-04,9.9182820122e-04,1.0975322220e-03,1.1984862067e-03
