# Saved on 2025-07-21T15:06:01.977700
# Name: Shreenidhi
# Sample_ID: Batch6_Sample9_F4_TPTE35
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000000
#   Max_Voltage: 7
#   IComp: 1e-06
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0012
#   num_level: 5
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.9
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_800.00 uS,Conductance_Target_900.00 uS,Conductance_Target_1000.00 uS,Conductance_Target_1100.00 uS,Conductance_Target_1200.00 uS
1.4400000000e-04,7.9949604697e-04,9.1045920271e-04,9.9027674878e-04,1.0910659330e-03,1.1985428137e-03
1.0001440000e+00,7.9815588833e-04,9.1164976766e-04,9.8935430287e-04,1.0928924166e-03,1.2001290452e-03
2.0001440000e+00,8.0010366219e-04,9.1105328465e-04,9.8941702163e-04,1.0948802083e-03,1.1998114496e-03
3.0001440000e+00,7.9816272773e-04,9.1218520538e-04,9.8976168374e-04,1.0904047667e-03,1.2014531967e-03
4.0001440000e+00,7.9779172665e-04,9.1163085017e-04,9.8929005617e-04,1.0932327132e-03,1.2012953812e-03
5.0001440000e+00,7.9860874393e-04,9.1267618700e-04,9.8927237559e-04,1.0909404227e-03,1.2011751824e-03
6.0001440000e+00,7.9744822870e-04,9.1135880211e-04,9.8861906736e-04,1.0931477300e-03,1.2017055269e-03
7.0001440000e+00,7.9780911619e-04,9.1249457910e-04,9.8889366200e-04,1.0942802328e-03,1.2000081915e-03
8.0001440000e+00,7.9818906670e-04,9.1158457508e-04,9.8949545645e-04,1.0916712199e-03,1.2000955758e-03
9.0001440000e+00,7.9760822700e-04,9.1283283837e-04,9.9020551716e-04,1.0948638374e-03,1.2001855066e-03
1.0000144000e+01,7.9970159277e-04,9.1131085355e-04,9.8826712929e-04,1.0913985170e-03,1.2025619071e-03
1.1000144000e+01,8.0027581134e-04,9.1035530204e-04,9.9047618278e-04,1.0950280557e-03,1.1995865498e-03
1.2000144000e+01,7.9668949184e-04,9.0950445156e-04,9.9056123872e-04,1.0945222311e-03,1.1985925084e-03
1.3000144000e+01,7.9771321907e-04,9.1221663752e-04,9.9085911643e-04,1.0941275832e-03,1.2015843095e-03
1.4000144000e+01,7.9774566984e-04,9.1118410637e-04,9.8908640211e-04,1.0913163715e-03,1.2020254508e-03
1.5000144000e+01,8.0031000834e-04,9.1123052698e-04,9.8897930002e-04,1.0945006943e-03,1.2004361633e-03
1.6000144000e+01,7.9824843851e-04,9.1048117611e-04,9.8888500361e-04,1.0913041478e-03,1.2010949285e-03
1.7000144000e+01,7.9903154983e-04,9.1118963610e-04,9.8953998531e-04,1.0931961879e-03,1.1983914010e-03
1.8000144000e+01,7.9745215771e-04,9.1101544967e-04,9.8890726804e-04,1.0916374595e-03,1.2000696734e-03
1.9000144000e+01,7.9876910604e-04,9.1287678515e-04,9.8903627077e-04,1.0893393483e-03,1.2008883641e-03
2.0000144000e+01,7.9814759374e-04,9.1137000709e-04,9.8964352219e-04,1.0942025256e-03,1.1993116641e-03
2.1000144000e+01,7.9788071162e-04,9.1035974037e-04,9.8823897133e-04,1.0902850772e-03,1.1992662621e-03
2.2000144000e+01,7.9721779912e-04,9.0882407676e-04,9.8918950243e-04,1.0895643936e-03,1.2002555013e-03
2.3000144000e+01,7.9532590462e-04,9.1115580290e-04,9.9005170341e-04,1.0911646677e-03,1.1988214828e-03
2.4000144000e+01,7.9736222688e-04,9.1066787718e-04,9.8928947409e-04,1.0903279326e-03,1.1986008758e-03
