# Saved on 2025-07-25T14:12:23.875410
# Name: Shreenidhi
# Sample_ID: GWC331_WGFMU_noise
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# wgfmu_readout:
#   num_read: 10
#   v_rd: 0.1
#   read_waveform: ReRAM_RTN_Evan
Time (s),Noise Readout 1uA,Noise Readout 10uA,Noise Readout 100uA,Noise Readout 1mA
1.4400000000e-04,-1.2512771264e-06,2.2729544071e-05,3.8476437112e-06,7.9112360254e-06
1.0014400000e-01,-2.3934879323e-07,2.2353744498e-05,4.3279092097e-06,6.0954757828e-06
2.0014400000e-01,-7.2769302051e-07,2.3090718969e-05,4.6768259381e-06,5.4636648201e-06
3.0014400000e-01,6.8190297497e-07,2.2294269002e-05,6.2837934820e-06,6.5516442191e-06
4.0014400000e-01,2.9523909006e-07,2.2171276214e-05,5.4913830354e-06,6.9897055255e-06
5.0014400000e-01,4.8634240102e-07,2.1569971068e-05,5.1726919992e-06,9.2855916591e-06
6.0014400000e-01,1.8102281274e-07,1.9805607735e-05,4.8553933993e-06,1.3038571524e-05
7.0014400000e-01,-9.2539096386e-08,1.7935384676e-05,3.4157112623e-06,1.6371597667e-05
8.0014400000e-01,-5.5330428950e-07,1.5622366845e-05,1.8603718388e-07,1.9822322429e-05
9.0014400000e-01,-4.6583130597e-07,1.3070747627e-05,-6.9036377681e-07,2.2697508030e-05
1.0001440000e+00,-3.4715782249e-07,1.0374825251e-05,-3.0632766084e-06,2.5857119908e-05
1.1001440000e+00,-3.6387240243e-07,8.9365357780e-06,-3.6209862628e-06,2.8707650927e-05
1.2001440000e+00,1.4754274389e-06,6.1403266045e-06,-4.3597706281e-06,3.1135863537e-05
1.3001440000e+00,1.3915760064e-06,4.9526165640e-06,-4.2105930333e-06,3.3400130633e-05
1.4001440000e+00,2.9048023862e-06,2.2268870907e-06,-4.6391824071e-06,3.4565553506e-05
1.5001440000e+00,4.2636975195e-06,4.7478150123e-07,-4.3738386921e-06,3.7262034311e-05
1.6001440000e+00,3.5066664168e-06,-5.6946169025e-07,-2.5605856990e-06,3.8707705244e-05
1.7001440000e+00,4.6910336096e-06,-2.2795022687e-06,-2.2439837721e-06,3.8771220716e-05
1.8001440000e+00,6.1166474552e-06,-3.9090341488e-06,-4.1610545054e-07,4.0482234908e-05
1.9001440000e+00,6.6746356424e-06,-5.5343875829e-06,9.5574341685e-07,4.0278038796e-05
2.0001440000e+00,5.8255354816e-06,-6.2143922150e-06,1.1375144595e-06,4.1381339543e-05
2.1001440000e+00,5.7914098761e-06,-7.2728425948e-06,2.2203405479e-06,4.1628296458e-05
2.2001440000e+00,5.2291034081e-06,-8.1957659859e-06,4.9052587201e-06,4.0840204747e-05
2.3001440000e+00,3.9997462409e-06,-9.2604841484e-06,6.2199992499e-06,4.1777475417e-05
2.4001440000e+00,3.4847980714e-06,-1.0622444279e-05,7.7560689533e-06,4.1308630898e-05
2.5001440000e+00,6.1393035367e-07,-1.0340385415e-05,9.8187874755e-06,4.0890488890e-05
2.6001440000e+00,3.5884564653e-08,-1.2680565305e-05,1.1423107935e-05,4.0743816498e-05
2.7001440000e+00,-1.2760704067e-06,-1.1558181541e-05,1.2071633137e-05,3.9044363803e-05
2.8001440000e+00,-2.5442889182e-06,-1.2101544598e-05,1.4168615962e-05,3.8814676373e-05
2.9001440000e+00,-3.8999805838e-06,-1.1926459592e-05,1.4401088265e-05,3.8311987737e-05
