Time (s),Voltage (V),Current (A)
0.11249,0.0,-7.784e-11
0.14219,0.001,-6.2259e-10
0.1719,0.002,2.3964e-10
0.20168,0.003,2.4796e-10
0.23139,0.004,4.145e-11
0.26108,0.005,1.9666e-10
0.29077,0.006,-4.2755e-10
0.32047,0.007,-5.049e-11
0.35016,0.008,6.0848e-10
0.37986,0.009,-2.0752e-10
0.40957,0.01,-4.5355e-10
0.43935,0.011,7.97e-11
0.46906,0.012,-2.549e-11
0.49877,0.013,3.0728e-10
0.52849,0.014,1.3653e-10
0.55819,0.015,-5.378e-10
0.58791,0.016,1.3579e-10
0.61761,0.017,6.0195e-10
0.64732,0.018,-2.1998e-10
0.6771,0.019,-1.5399e-10
0.70681,0.02,-1.4397e-10
0.73651,0.021,-1.8679e-10
0.76624,0.022,4.6686e-10
0.79593,0.023,-5.416e-11
0.82571,0.024,-6.0133e-10
0.85541,0.025,2.3345e-10
0.88511,0.026,3.2869e-10
0.91481,0.027,-4.14e-12
0.94452,0.028,1.316e-10
0.97422,0.029,-3.3796e-10
1.00391,0.03,-9.722e-11
1.03362,0.031,5.6347e-10
1.06332,0.032,-1.7909e-10
1.09302,0.033,-5.6444e-10
1.12271,0.034,1.4262e-10
1.15241,0.035,1.4023e-10
1.18211,0.036,1.737e-10
1.21183,0.037,1.6025e-10
1.24154,0.038,-4.5242e-10
1.27124,0.039,7.294e-11
1.30095,0.04,5.9944e-10
1.33065,0.041,-1.8383e-10
1.36034,0.042,-3.3213e-10
1.39004,0.043,-4.75e-12
1.41974,0.044,-1.0077e-10
1.44942,0.045,3.0167e-10
1.47923,0.046,6.414e-11
1.50901,0.047,-5.8695e-10
1.53872,0.048,1.7124e-10
1.56843,0.049,5.0008e-10
1.59814,0.05,-7.622e-11
1.62785,0.051,-4.184e-11
1.65756,0.052,-2.3489e-10
1.68726,0.053,-1.212e-10
1.71697,0.054,4.9248e-10
1.74666,0.055,-8.846e-11
1.77637,0.056,-6.2442e-10
1.80605,0.057,1.7841e-10
1.83576,0.058,2.9044e-10
1.86546,0.059,3.294e-11
1.89516,0.06,1.6539e-10
1.92486,0.061,-3.5499e-10
1.95457,0.062,-6.635e-11
1.98427,0.063,6.004e-10
2.01397,0.064,-1.5289e-10
2.04367,0.065,-4.9618e-10
2.07336,0.066,1.2404e-10
2.10305,0.067,7.523e-11
2.13274,0.068,1.9805e-10
2.16245,0.069,1.4275e-10
2.19216,0.07,-5.1033e-10
2.22187,0.071,7.077e-11
2.25159,0.072,6.3058e-10
2.28128,0.073,-2.2825e-10
2.31098,0.074,-2.8797e-10
2.34069,0.075,2.92e-12
2.37039,0.076,-1.7768e-10
2.40009,0.077,3.7952e-10
2.42979,0.078,7.024e-11
2.45949,0.079,-6.072e-10
2.48921,0.08,1.9197e-10
2.51893,0.081,4.7891e-10
2.54865,0.082,-1.1649e-10
2.57836,0.083,-2.446e-11
2.60806,0.084,-2.7096e-10
2.63777,0.085,-1.3758e-10
2.66747,0.086,5.4108e-10
2.69717,0.087,-1.0889e-10
2.72688,0.088,-6.2174e-10
2.75659,0.089,2.3614e-10
2.78629,0.09,2.4161e-10
2.816,0.091,5.359e-11
2.84568,0.092,1.9497e-10
2.87537,0.093,-4.0633e-10
2.90509,0.094,-2.918e-11
2.93479,0.095,5.9768e-10
2.96448,0.096,-2.0631e-10
2.99416,0.097,-4.596e-10
3.02387,0.098,8.99e-11
3.05358,0.099,2.451e-11
3.08326,0.1,2.7466e-10
3.08781,0.1,-1.692e-10
3.11752,0.099,4.9826e-10
3.1472,0.098,-7.468e-11
3.17691,0.097,-6.14e-10
3.20661,0.096,2.2638e-10
3.23631,0.095,3.1203e-10
3.26602,0.094,1.75e-12
3.29572,0.093,1.5059e-10
3.32542,0.092,-3.8003e-10
3.35512,0.091,-8.585e-11
3.38483,0.09,5.904e-10
3.41453,0.089,-2.0002e-10
3.44423,0.088,-5.2892e-10
3.47394,0.087,1.3251e-10
3.50374,0.086,4.175e-11
3.53344,0.085,2.6877e-10
3.56314,0.084,1.3712e-10
3.59284,0.083,-5.2174e-10
3.62258,0.082,1.1739e-10
3.65229,0.081,6.1142e-10
3.682,0.08,-2.0688e-10
3.71166,0.079,-2.6902e-10
3.74138,0.078,-6.85e-11
3.77108,0.077,-1.8037e-10
3.80079,0.076,3.816e-10
