Time (s),Voltage (V),Current (A)
0.08657,0.0,2.5754e-10
0.16853,0.07,6.193e-10
0.22297,0.14,1.952e-10
0.3142,0.21,-6.995e-11
0.4054,0.28,-6.723e-11
0.48508,0.35,6.169e-10
0.56367,0.42,9.772e-11
0.65488,0.49,-1.7998e-10
0.74609,0.56,9.664e-11
0.83588,0.63,6.1243e-10
0.9047,0.7,-1.071e-10
0.95886,0.77,-2.4451e-10
1.04784,0.84,-7.452e-11
1.1368,0.91,4.1132e-10
1.22517,0.98,-2.9e-12
1.31412,1.05,1.1493e-10
1.40314,1.12,6.148e-10
1.49208,1.19,-5.498e-11
1.58102,1.26,9.165e-11
1.66994,1.33,6.1353e-10
1.75886,1.4,-6.694e-11
1.84785,1.47,6.623e-11
1.93679,1.54,6.1764e-10
2.0257,1.61,-3.236e-11
2.11464,1.68,1.0114e-10
2.20585,1.75,-1.5462e-10
2.29707,1.82,1.3664e-10
2.38829,1.89,7.894e-11
2.45713,1.96,1.382e-10
2.51131,2.03,-5.9013e-10
2.60396,2.1,5.6124e-10
2.6728,2.17,-6.94e-11
2.72835,2.24,-6.0558e-10
2.82101,2.31,4.4204e-10
2.90299,2.38,5.925e-10
2.98392,2.45,-1.5815e-10
3.07518,2.52,1.8438e-10
3.16411,2.59,8.482e-11
3.25445,2.66,5.2438e-10
3.33642,2.73,5.23e-10
3.39084,2.8,2.954e-11
3.47923,2.87,-6.4158e-10
3.56817,2.94,-1.091e-11
3.65017,3.01,-2.017e-10
3.71028,3.08,-1.152e-10
3.76446,3.15,8.704e-11
3.85433,3.22,6.1897e-10
3.94329,3.29,7.08e-12
4.03477,3.36,-6.303e-11
4.126,3.43,2.3981e-10
4.21498,3.5,1.867e-10
4.30628,3.57,1.42e-11
4.37511,3.64,1.974e-10
4.42928,3.71,-6.136e-10
4.51596,3.78,9.68e-11
4.60716,3.85,-1.7556e-10
4.6984,3.92,1.1639e-10
4.7882,3.99,6.1099e-10
4.85704,4.06,-9.79e-11
4.91123,4.13,-2.5535e-10
5.00017,4.2,-6.306e-11
5.08912,4.27,3.8703e-10
5.17084,4.34,5.386e-10
5.25216,4.41,-1.957e-11
5.34337,4.48,2.1832e-10
5.4323,4.55,1.837e-10
5.52349,4.62,7.931e-11
5.5923,4.69,1.324e-10
5.64647,4.76,-5.7699e-10
5.73909,4.83,5.6982e-10
5.82106,4.9,4.671e-10
5.87068,4.97,3.9968e-10
5.95037,5.04,5.3e-11
6.00889,5.11,4.69e-11
6.06448,5.18,-4.8944e-10
6.15573,5.25,6.1289e-10
6.2377,5.32,4.097e-10
6.29189,5.39,-1.3302e-10
6.38312,5.46,1.9112e-10
6.46516,5.53,-2.873e-10
6.51958,5.6,-4.492e-11
6.60153,5.67,-1.235e-10
6.66173,5.74,-5.13e-11
6.71589,5.81,-4.636e-11
6.80711,5.88,2.6525e-10
6.89747,5.95,-5.9081e-10
6.98645,6.02,-8.461e-11
