# Saved on 2025-06-26T12:50:29.676155
# Name: Shreenidhi
# Sample_ID: Batch3_F5_TPTE11
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0003
#   max_gtarget: 0.0013
#   num_level: 11
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.6
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,3.1721207051e-04
1.1440000000e-03,3.1355837564e-04
2.1440000000e-03,3.1767493056e-04
3.1440000000e-03,3.1822513847e-04
4.1440000000e-03,3.1395771657e-04
5.1440000000e-03,3.0596307624e-04
6.1440000000e-03,3.0643852369e-04
7.1440000000e-03,3.0109811632e-04
8.1440000000e-03,3.1458737794e-04
9.1440000000e-03,3.0908497138e-04
1.0144000000e-02,3.1140825740e-04
1.1144000000e-02,3.0667673855e-04
1.2144000000e-02,3.0824776331e-04
1.3144000000e-02,3.1125757232e-04
1.4144000000e-02,3.1526979001e-04
1.5144000000e-02,3.1998450140e-04
1.6144000000e-02,3.1657575164e-04
1.7144000000e-02,3.1290001061e-04
1.8144000000e-02,3.1382031011e-04
1.9144000000e-02,3.2323034247e-04
2.0144000000e-02,3.1571835279e-04
2.1144000000e-02,3.1532010325e-04
2.2144000000e-02,3.0742077797e-04
2.3144000000e-02,3.0553248507e-04
2.4144000000e-02,3.0051623980e-04
2.5144000000e-02,3.0658724427e-04
2.6144000000e-02,3.1134903111e-04
2.7144000000e-02,3.0648276152e-04
2.8144000000e-02,3.0596791476e-04
2.9144000000e-02,3.0895676900e-04
3.0144000000e-02,3.1697909435e-04
3.1144000000e-02,3.1606741686e-04
3.2144000000e-02,3.2214182283e-04
3.3144000000e-02,3.0795526982e-04
3.4144000000e-02,3.1375388062e-04
3.5144000000e-02,3.1304221920e-04
3.6144000000e-02,3.1651314202e-04
3.7144000000e-02,3.1504754588e-04
3.8144000000e-02,3.1300136470e-04
3.9144000000e-02,3.0855626392e-04
4.0144000000e-02,3.0345914638e-04
4.1144000000e-02,3.0659248296e-04
4.2144000000e-02,3.1021139876e-04
4.3144000000e-02,3.0904397136e-04
4.4144000000e-02,3.0012675779e-04
4.5144000000e-02,3.0893213989e-04
4.6144000000e-02,3.0985698686e-04
4.7144000000e-02,3.1724812288e-04
4.8144000000e-02,3.1800882425e-04
4.9144000000e-02,3.2306947105e-04
5.0144000000e-02,3.1656487408e-04
5.1144000000e-02,3.1300052797e-04
5.2144000000e-02,3.1639734516e-04
5.3144000000e-02,3.1805182516e-04
5.4144000000e-02,3.1429095543e-04
5.5144000000e-02,3.0702929507e-04
5.6144000000e-02,3.0730541766e-04
5.7144000000e-02,3.0135555789e-04
5.8144000000e-02,3.1498606404e-04
5.9144000000e-02,3.0873423384e-04
6.0144000000e-02,3.1030529499e-04
6.1144000000e-02,3.0610601243e-04
6.2144000000e-02,3.0687268008e-04
6.3144000000e-02,3.1052299164e-04
6.4144000000e-02,3.1402658351e-04
6.5144000000e-02,3.1949944969e-04
6.6144000000e-02,3.1632200262e-04
6.7144000000e-02,3.1211398891e-04
6.8144000000e-02,3.1305015000e-04
6.9144000000e-02,3.2315940189e-04
7.0144000000e-02,3.1570973078e-04
7.1144000000e-02,3.1417104765e-04
7.2144000000e-02,3.0600833270e-04
7.3144000000e-02,3.0554405384e-04
7.4144000000e-02,2.9957554943e-04
7.5144000000e-02,3.0652601708e-04
7.6144000000e-02,3.1173367461e-04
7.7144000000e-02,3.0693274311e-04
7.8144000000e-02,3.0555765989e-04
7.9144000000e-02,3.0991890526e-04
8.0144000000e-02,3.1636329368e-04
8.1144000000e-02,3.1665633287e-04
8.2144000000e-02,3.2219933928e-04
8.3144000000e-02,3.0787385185e-04
8.4144000000e-02,3.1441733881e-04
8.5144000000e-02,3.1330517231e-04
8.6144000000e-02,3.1750554626e-04
8.7144000000e-02,3.1613810279e-04
8.8144000000e-02,3.1420739106e-04
8.9144000000e-02,3.0976058042e-04
9.0144000000e-02,3.0361847166e-04
9.1144000000e-02,3.0729846912e-04
9.2144000000e-02,3.1046900403e-04
9.3144000000e-02,3.0931132642e-04
