# Saved on 2025-06-26T13:15:00.279790
# Name: Shreenidhi
# Sample_ID: Batch3_F5_TPTE11
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.1
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S),Conductance_Target_4 (S),Conductance_Target_5 (S)
1.4400000000e-04,3.8074846088e-04,4.8366087867e-04,5.9652309574e-04,7.1593640314e-04,7.9759265645e-04
1.1440000000e-03,3.9280665078e-04,4.8594756663e-04,6.0116046370e-04,7.1346003097e-04,7.8693745309e-04
2.1440000000e-03,3.8732090616e-04,4.8178615543e-04,5.9498372138e-04,7.1741756983e-04,7.9028737673e-04
3.1440000000e-03,3.8731002860e-04,4.9470290833e-04,6.0272104747e-04,7.0297923230e-04,7.8956072684e-04
4.1440000000e-03,3.8136087824e-04,4.8777488701e-04,6.0444494011e-04,7.1266949817e-04,7.8794299043e-04
5.1440000000e-03,3.8576428778e-04,4.8965612223e-04,6.0214879340e-04,7.0936017437e-04,7.9050914792e-04
6.1440000000e-03,3.8563761336e-04,4.8905149015e-04,6.0454756749e-04,7.0897847763e-04,7.8788179962e-04
7.1440000000e-03,3.8895050238e-04,4.8699977924e-04,6.0130791098e-04,7.1293878136e-04,7.8687822679e-04
8.1440000000e-03,3.9527170884e-04,4.9073038099e-04,6.0476682847e-04,7.1084541560e-04,7.8349141404e-04
9.1440000000e-03,3.9624490455e-04,4.9182614021e-04,6.0761998611e-04,7.1028713137e-04,7.9611054389e-04
1.0144000000e-02,3.9120124711e-04,4.9827151088e-04,6.1205406382e-04,7.0290203439e-04,7.9033867223e-04
1.1144000000e-02,3.9037280658e-04,4.9299105740e-04,5.9922709625e-04,7.1063092037e-04,7.8996970842e-04
1.2144000000e-02,3.9821676182e-04,4.9118672905e-04,6.0428490542e-04,7.0889902418e-04,7.8030803706e-04
1.3144000000e-02,3.9501144784e-04,4.9408823543e-04,6.0719117755e-04,7.0631416747e-04,7.9196615843e-04
1.4144000000e-02,3.9357837522e-04,5.0112041208e-04,6.1128317611e-04,6.9807188993e-04,7.9365228885e-04
1.5144000000e-02,3.8143876736e-04,4.9446440244e-04,6.0599759308e-04,7.0775713539e-04,7.9439188994e-04
1.6144000000e-02,3.8445308746e-04,4.9331534683e-04,6.0528313043e-04,7.0781621616e-04,7.9818288214e-04
1.7144000000e-02,3.7803951273e-04,4.8552457883e-04,6.0484726419e-04,7.1428607043e-04,7.9906814790e-04
