Pulse Number,Gate Time,Gate Current,Drain Time,Drain Current,Measured Conductance,Applied Voltage
0.0,0.06561,-5.5e-05,0.06561,0.0,5.8808e-07,-10.0
1.0,0.06501,-5.5e-05,0.06501,0.0,5.8718e-07,-10.0
2.0,0.06483,-5.5e-05,0.06483,0.0,5.8704e-07,-10.0
3.0,0.06482,-5.5e-05,0.06482,5e-06,5.8686e-07,-10.0
4.0,0.06441,-5e-05,0.06441,5e-06,5.8682e-07,-10.0
5.0,0.06516,-5.5e-05,0.06516,0.0,5.8708e-07,-10.0
6.0,0.07268,-5.5e-05,0.07268,-5e-06,5.8646e-07,-10.0
7.0,0.07272,-5e-05,0.07272,5e-06,5.8622e-07,-10.0
8.0,0.06442,-5.5e-05,0.06442,0.0,5.862e-07,-10.0
9.0,0.07256,-5.5e-05,0.07256,0.0,5.8598e-07,-10.0
10.0,0.06548,-5.5e-05,0.06548,5e-06,5.8618e-07,-10.0
11.0,0.06506,-5.5e-05,0.06506,0.0,5.8646e-07,-10.0
12.0,0.06464,-5e-05,0.06464,5e-06,5.8532e-07,-10.0
13.0,0.0724,-5e-05,0.0724,-5e-06,5.858e-07,-10.0
14.0,0.06526,-5e-05,0.06526,0.0,5.8644e-07,-10.0
15.0,0.06491,-5.5e-05,0.06491,0.0,5.856e-07,-10.0
16.0,0.06458,-5.5e-05,0.06458,5e-06,5.8576e-07,-10.0
17.0,0.06478,-5.5e-05,0.06478,0.0,5.86e-07,-10.0
18.0,0.07217,-5.5e-05,0.07217,0.0,5.8538e-07,-10.0
19.0,0.0645,-5e-05,0.0645,-5e-06,5.856e-07,-10.0
20.0,0.06451,-5.5e-05,0.06451,5e-06,5.8576e-07,-10.0
21.0,0.06493,-5.5e-05,0.06493,0.0,5.8576e-07,-10.0
22.0,0.06501,-5e-05,0.06501,0.0,5.852e-07,-10.0
23.0,0.06494,-5.5e-05,0.06494,0.0,5.8484e-07,-10.0
24.0,0.06456,-5.5e-05,0.06456,0.0,5.8524e-07,-10.0
25.0,0.06504,-5.5e-05,0.06504,0.0,5.853e-07,-10.0
26.0,0.06687,-5.5e-05,0.06687,0.0,5.85e-07,-10.0
27.0,0.0647,-5.5e-05,0.0647,0.0,5.8528e-07,-10.0
28.0,0.0646,-5.5e-05,0.0646,-5e-06,5.8484e-07,-10.0
29.0,0.06479,-5.5e-05,0.06479,0.0,5.8456e-07,-10.0
30.0,0.06503,-5.5e-05,0.06503,0.0,5.8482e-07,-10.0
31.0,0.06606,-5.5e-05,0.06606,5e-06,5.8508e-07,-10.0
32.0,0.06455,-5.5e-05,0.06455,5e-06,5.8442e-07,-10.0
33.0,0.07244,-5.5e-05,0.07244,5e-06,5.848e-07,-10.0
34.0,0.06469,-5.5e-05,0.06469,0.0,5.8478e-07,-10.0
