Pulse Number,Gate Time,Gate Current,Drain Time,Drain Current,Measured Conductance,Applied Voltage
0.0,0.06852,-5e-05,0.06852,0.0,5.8952e-07,-10.0
1.0,0.06571,-5.5e-05,0.06571,0.0,5.8868e-07,-10.0
2.0,0.07186,-5.5e-05,0.07186,0.0,5.8826e-07,-10.0
3.0,0.06475,-5.5e-05,0.06475,5e-06,5.878e-07,-10.0
4.0,0.06443,-5.5e-05,0.06443,0.0,5.881e-07,-10.0
5.0,0.06579,-5e-05,0.06579,0.0,5.8788e-07,-10.0
6.0,0.07234,-5.5e-05,0.07234,0.0,5.8788e-07,-10.0
7.0,0.07244,-5.5e-05,0.07244,0.0,5.8774e-07,-10.0
8.0,0.06545,-5e-05,0.06545,0.0,5.876e-07,-10.0
9.0,0.07186,-5e-05,0.07186,5e-06,5.875e-07,-10.0
10.0,0.06477,-5.5e-05,0.06477,-5e-06,5.8706e-07,-10.0
11.0,0.07207,-5.5e-05,0.07207,0.0,5.8756e-07,-10.0
12.0,0.06486,-5.5e-05,0.06486,0.0,5.8708e-07,-10.0
13.0,0.06627,-6.5e-05,0.06627,0.0,5.8702e-07,-10.0
14.0,0.0706,-5.5e-05,0.0706,0.0,5.8668e-07,-10.0
15.0,0.06586,-5.5e-05,0.06586,0.0,5.8644e-07,-10.0
16.0,0.06488,-5.5e-05,0.06488,0.0,5.8646e-07,-10.0
17.0,0.07094,-5.5e-05,0.07094,5e-06,5.8614e-07,-10.0
18.0,0.06436,-5e-05,0.06436,0.0,5.8614e-07,-10.0
19.0,0.06528,-5e-05,0.06528,5e-06,5.8618e-07,-10.0
20.0,0.07255,-5.5e-05,0.07255,0.0,5.8626e-07,-10.0
21.0,0.06454,-5.5e-05,0.06454,0.0,5.8624e-07,-10.0
22.0,0.06444,-5.5e-05,0.06444,-5e-06,5.8604e-07,-10.0
23.0,0.07143,-6.5e-05,0.07143,0.0,5.861e-07,-10.0
24.0,0.07249,-5.5e-05,0.07249,0.0,5.8636e-07,-10.0
25.0,0.07206,-5.5e-05,0.07206,0.0,5.8588e-07,-10.0
26.0,0.06541,-5e-05,0.06541,0.0,5.8612e-07,-10.0
27.0,0.06612,-5e-05,0.06612,5e-06,5.8582e-07,-10.0
28.0,0.07277,-5e-05,0.07277,5e-06,5.8564e-07,-10.0
29.0,0.07137,-5.5e-05,0.07137,5e-06,5.8582e-07,-10.0
30.0,0.07217,-5.5e-05,0.07217,-5e-06,5.8562e-07,-10.0
31.0,0.07245,-5e-05,0.07245,0.0,5.8558e-07,-10.0
32.0,0.07209,-5.5e-05,0.07209,0.0,5.8596e-07,-10.0
33.0,0.06569,-5.5e-05,0.06569,5e-06,5.843e-07,-10.0
34.0,0.06466,-5.5e-05,0.06466,5e-06,5.8536e-07,-10.0
35.0,0.07183,-5e-05,0.07183,5e-06,5.858e-07,-10.0
36.0,0.07187,-5.5e-05,0.07187,5e-06,5.8562e-07,-10.0
37.0,0.06451,-5e-05,0.06451,0.0,5.8582e-07,-10.0
38.0,0.07194,-5.5e-05,0.07194,5e-06,5.8626e-07,-10.0
39.0,0.07258,-5.5e-05,0.07258,-5e-06,5.8636e-07,-10.0
40.0,0.06441,-5.5e-05,0.06441,0.0,5.8636e-07,-10.0
41.0,0.06478,-5.5e-05,0.06478,0.0,5.8558e-07,-10.0
